Phase,Count,Frequency
001-002-020-021-101,1,1e-4
001-020,1,1e-4
001-200,1,1e-4
002,1065,0.1065
002-010,1,1e-4
002-011,1,1e-4
002-011-012-021-211,1,1e-4
002-011-210,1,1e-4
002-012,2,2e-4
002-012-020-022,1,1e-4
002-012-020-022-102-120,1,1e-4
002-012-020-102-112-121-200,1,1e-4
002-012-020-102-202-210-212,1,1e-4
002-012-102,1,1e-4
002-012-102-112,1,1e-4
002-012-102-112-200,1,1e-4
002-012-200-202-212,1,1e-4
002-020,496,0.0496
002-020-021-120-121-220-221,1,1e-4
002-020-021-120-211,1,1e-4
002-020-022-200-220,1,1e-4
002-020-102,1,1e-4
002-020-102-112-200,1,1e-4
002-020-111,1,1e-4
002-020-200,221,0.0221
002-020-201,26,0.0026
002-020-202,6,6e-4
002-020-210,28,0.0028
002-020-220,8,8e-4
002-021,243,0.0243
002-021-022-101-112-120-201,1,1e-4
002-021-022-112-122-211-220,1,1e-4
002-021-022-120-201-220,1,1e-4
002-021-120,1,1e-4
002-021-120-210,1,1e-4
002-021-121,1,1e-4
002-021-121-201-210-220-221,1,1e-4
002-021-121-220-221,1,1e-4
002-021-200,17,0.0017
002-021-201,8,8e-4
002-021-201-211-220,1,1e-4
002-021-202,1,1e-4
002-021-210,4,4e-4
002-021-210-211,1,1e-4
002-021-211,2,2e-4
002-022,38,0.0038
002-022-120-200,1,1e-4
002-022-200,3,3e-4
002-100,1,1e-4
002-101,1,1e-4
002-102,2,2e-4
002-102-112-200,1,1e-4
002-110,3,3e-4
002-111-120-121-202,1,1e-4
002-111-201-210-211,1,1e-4
002-120,38,0.0038
002-120-121,1,1e-4
002-120-121-200,2,2e-4
002-120-121-221,1,1e-4
002-120-200,26,0.0026
002-120-201,8,8e-4
002-120-202,5,5e-4
002-120-210,2,2e-4
002-120-220,1,1e-4
002-121,3,3e-4
002-121-201,1,1e-4
002-121-202,1,1e-4
002-200,465,0.0465
002-200-201-210-211,1,1e-4
002-200-220,3,3e-4
002-201,202,0.0202
002-201-202-211-212,1,1e-4
002-201-210,1,1e-4
002-201-210-220,1,1e-4
002-201-220,2,2e-4
002-202,26,0.0026
002-202-220,1,1e-4
002-210,26,0.0026
002-211,2,2e-4
002-211-221,3,3e-4
002-220,30,0.003
010-200,1,1e-4
011-012,1,1e-4
012,250,0.025
012-020,219,0.0219
012-020-022-102-112-120-210,1,1e-4
012-020-022-112-122,1,1e-4
012-020-102-202-222,1,1e-4
012-020-200,23,0.0023
012-020-201,14,0.0014
012-020-201-202-210,1,1e-4
012-020-201-202-210-211,1,1e-4
012-020-202,2,2e-4
012-020-202-211-212,1,1e-4
012-020-210,8,8e-4
012-020-211,2,2e-4
012-020-220,1,1e-4
012-021,68,0.0068
012-021-022-102,1,1e-4
012-021-022-102-112-121,1,1e-4
012-021-022-102-120-121,1,1e-4
012-021-022-120-121-200,1,1e-4
012-021-102,2,2e-4
012-021-111-121,1,1e-4
012-021-200,5,5e-4
012-021-202,2,2e-4
012-021-210,1,1e-4
012-021-212,1,1e-4
012-021-220,1,1e-4
012-022,25,0.0025
012-022-102-112-121-122,1,1e-4
012-022-102-112-202-212,1,1e-4
012-022-112-122-200,1,1e-4
012-022-121-122,1,1e-4
012-022-122,1,1e-4
012-022-200,2,2e-4
012-022-200-202,1,1e-4
012-102,9,9e-4
012-102-112-202,1,1e-4
012-102-120,1,1e-4
012-102-121,1,1e-4
012-102-211,1,1e-4
012-110-112,1,1e-4
012-111-120-201,1,1e-4
012-111-201,1,1e-4
012-112-120-121-220,1,1e-4
012-112-200,1,1e-4
012-112-201,1,1e-4
012-112-210-212,1,1e-4
012-120,41,0.0041
012-120-200,7,7e-4
012-120-201,4,4e-4
012-120-202,2,2e-4
012-120-210,3,3e-4
012-120-211,2,2e-4
012-121,1,1e-4
012-121-122,1,1e-4
012-200,32,0.0032
012-201,48,0.0048
012-201-202-211,1,1e-4
012-201-210,1,1e-4
012-201-220,2,2e-4
012-202,7,7e-4
012-202-220,2,2e-4
012-210,17,0.0017
012-210-220,1,1e-4
012-211,8,8e-4
012-220,15,0.0015
020,1051,0.1051
020-021-200,1,1e-4
020-021-200-201,1,1e-4
020-022,38,0.0038
020-022-102-122,1,1e-4
020-022-120-121-122-220,1,1e-4
020-022-122,1,1e-4
020-022-200,2,2e-4
020-022-201,4,4e-4
