Phase,Count,Frequency
0002,6,6e-4
0002-0021-1020,1,1e-4
0002-0021-2020,1,1e-4
0002-1020,2,2e-4
0002-2000,2,2e-4
0002-2001-2020,2,2e-4
0002-2010,1,1e-4
0002-2020,34,0.0034
0012,3,3e-4
0012-0020-0202,1,1e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,4,4e-4
0012-0102-2020,1,1e-4
0012-0202,10,0.001
0012-0202-1020,2,2e-4
0012-0202-2011-2020,1,1e-4
0012-0202-2020,43,0.0043
0012-0202-2021,1,1e-4
0012-0212-2020,1,1e-4
0012-1020,1,1e-4
0012-1021,1,1e-4
0012-2020,31,0.0031
0012-2021,1,1e-4
0020,8,8e-4
0020-0022,1,1e-4
0020-0200,1,1e-4
0020-0201-0210,1,1e-4
0020-0202,44,0.0044
0020-0212,1,1e-4
0021,4,4e-4
0021-0022-0202-2020,1,1e-4
0021-0102,2,2e-4
0021-0102-2020,2,2e-4
0021-0202,27,0.0027
0021-0202-0211-2020,2,2e-4
0021-0202-1020,1,1e-4
0021-0202-2020,41,0.0041
0021-2020,3,3e-4
0022,4,4e-4
0022-0202,11,0.0011
0022-0202-2020,28,0.0028
0022-0202-2021,1,1e-4
0022-0212-2020,1,1e-4
0022-2020,8,8e-4
0102,9,9e-4
0102-1020,4,4e-4
0102-1021-2020,1,1e-4
0102-1100-2020,1,1e-4
0102-2000,1,1e-4
0102-2001,3,3e-4
0102-2001-2020,2,2e-4
0102-2002,1,1e-4
0102-2010,1,1e-4
0102-2020,82,0.0082
0102-2020-2100,1,1e-4
0112,1,1e-4
0112-0120-0202-2020,2,2e-4
0112-0121-0202-2020,1,1e-4
0112-0122-0202-2020,1,1e-4
0112-0202-1012-2020,1,1e-4
0112-0202-1020,1,1e-4
0112-0202-1120-2020,1,1e-4
0112-0202-2020,12,0.0012
0112-0212-2020,1,1e-4
0112-1120-2020,1,1e-4
0112-2011-2020,1,1e-4
0112-2012,1,1e-4
0112-2020,6,6e-4
0120,3,3e-4
0120-0200,1,1e-4
0120-0200-2020,2,2e-4
0120-0201-1020,1,1e-4
0120-0201-2020,2,2e-4
0120-0202,22,0.0022
0120-0202-0210,1,1e-4
0120-0202-0210-2020,2,2e-4
0120-0202-2020,38,0.0038
0120-0210,1,1e-4
0120-0210-2020,1,1e-4
0120-2020,6,6e-4
0121,2,2e-4
0121-0202,10,0.001
0121-0202-0211,1,1e-4
0121-0202-0211-2020,1,1e-4
0121-0202-2020,27,0.0027
0122,1,1e-4
0122-0202,3,3e-4
0122-0202-0222,1,1e-4
0122-0202-0222-2020,1,1e-4
0122-0202-2020,13,0.0013
0122-0212-2020,3,3e-4
0122-2020,3,3e-4
0200,13,0.0013
0200-1020,3,3e-4
0200-1120,1,1e-4
0200-2010,2,2e-4
0200-2020,47,0.0047
0200-2020-2100,1,1e-4
0200-2100,1,1e-4
0201,10,0.001
0201-0220-2020,1,1e-4
0201-1020,2,2e-4
0201-1021,1,1e-4
0201-1101,1,1e-4
0201-2010,1,1e-4
0201-2020,75,0.0075
0201-2020-2101,1,1e-4
0201-2120,1,1e-4
0202,1066,0.1066
0202-0210,4,4e-4
0202-0210-0220-2020,1,1e-4
0202-0210-1020,2,2e-4
0202-0210-1020-1110,1,1e-4
0202-0210-1120-2020,1,1e-4
0202-0210-2020,40,0.004
0202-0210-2120,1,1e-4
0202-0211,1,1e-4
0202-0211-1021-2020,1,1e-4
0202-0211-2020,8,8e-4
0202-0211-2020-2110,1,1e-4
0202-0212-2020,4,4e-4
0202-0220,14,0.0014
0202-0220-1020,1,1e-4
0202-0220-1120-2020,1,1e-4
0202-0220-2020,24,0.0024
0202-0220-2120,1,1e-4
0202-0221,1,1e-4
0202-0221-2020,10,0.001
0202-0222-2020,2,2e-4
0202-1002,3,3e-4
0202-1002-1020,1,1e-4
0202-1002-2001,1,1e-4
0202-1002-2001-2020,1,1e-4
0202-1002-2010,1,1e-4
0202-1002-2011,1,1e-4
0202-1002-2020,50,0.005
0202-1012,3,3e-4
0202-1012-2011,1,1e-4
0202-1012-2011-2020,1,1e-4
0202-1012-2020,18,0.0018
0202-1020,82,0.0082
0202-1020-1022,1,1e-4
0202-1021,9,9e-4
0202-1021-2020,12,0.0012
0202-1021-2021,1,1e-4
0202-1022,4,4e-4
0202-1022-2020,9,9e-4
0202-1022-2021,2,2e-4
0202-1102,1,1e-4
0202-1102-2020,9,9e-4
0202-1102-2100,2,2e-4
0202-1112-2020,1,1e-4
0202-1120,10,0.001
0202-1120-1200-2020,1,1e-4
0202-1120-1210,1,1e-4
0202-1120-1210-2020,2,2e-4
0202-1120-2020,9,9e-4
0202-1120-2120,1,1e-4
0202-1200,3,3e-4
0202-1200-2000,2,2e-4
0202-1200-2020,49,0.0049
0202-1200-2020-2100,1,1e-4
0202-1201-1220-2020-2201,1,1e-4
0202-1201-2020,10,0.001
0202-1201-2020-2201,1,1e-4
0202-1202-2020,3,3e-4
0202-1210-2020,19,0.0019
0202-1220,1,1e-4
0202-1220-2020,10,0.001
0202-2000,28,0.0028
0202-2001,28,0.0028
0202-2001-2020,38,0.0038
0202-2002,10,0.001
0202-2002-2010,2,2e-4
0202-2002-2020,20,0.002
0202-2010,79,0.0079
0202-2010-2100,1,1e-4
0202-2010-2200,1,1e-4
0202-2011,7,7e-4
0202-2011-2020,9,9e-4
0202-2011-2020-2101,1,1e-4
0202-2012,4,4e-4
0202-2012-2020,7,7e-4
0202-2012-2020-2102,1,1e-4
0202-2020,5691,0.5691
0202-2020-2021,3,3e-4
0202-2020-2022,1,1e-4
0202-2020-2100,37,0.0037
0202-2020-2101,24,0.0024
0202-2020-2102,9,9e-4
0202-2020-2110,9,9e-4
0202-2020-2111,1,1e-4
0202-2020-2112,1,1e-4
0202-2020-2120,5,5e-4
0202-2020-2200,29,0.0029
0202-2020-2201,16,0.0016
0202-2020-2202,1,1e-4
0202-2020-2210,15,0.0015
0202-2020-2211,1,1e-4
0202-2020-2220,1,1e-4
0202-2021,45,0.0045
0202-2022,4,4e-4
0202-2100,27,0.0027
0202-2100-2120,2,2e-4
0202-2101,9,9e-4
0202-2102,4,4e-4
0202-2110,3,3e-4
0202-2111,1,1e-4
0202-2120,52,0.0052
0202-2200,11,0.0011
0202-2201,2,2e-4
0202-2210,1,1e-4
0202-2220,2,2e-4
0210,2,2e-4
0210-1020,1,1e-4
0210-2020,35,0.0035
0210-2020-2110,2,2e-4
0211,1,1e-4
0211-2020,1,1e-4
0212,2,2e-4
0212-0220,2,2e-4
0212-1012-2020,1,1e-4
0212-1022-2020,2,2e-4
0212-1220-2020,1,1e-4
0212-2012,1,1e-4
0212-2012-2020,2,2e-4
0212-2020,44,0.0044
0212-2020-2120,1,1e-4
0212-2021,1,1e-4
0212-2120,1,1e-4
0212-2220,1,1e-4
0220,3,3e-4
0220-2020,17,0.0017
0221,1,1e-4
0221-2020,3,3e-4
0221-2220,1,1e-4
0222-1220-2020,1,1e-4
0222-1220-2120,1,1e-4
0222-2020,4,4e-4
0222-2120,1,1e-4
1002,2,2e-4
1002-1202,1,1e-4
1002-1202-2020,2,2e-4
1002-2001-2020,4,4e-4
1002-2002,1,1e-4
1002-2010,1,1e-4
1002-2020,27,0.0027
1012,1,1e-4
1012-1102-2020,1,1e-4
1012-1202-2020,1,1e-4
1012-2020,12,0.0012
1020,10,0.001
1021-2020,3,3e-4
1022,1,1e-4
1022-2020,3,3e-4
1102-1202-2020,1,1e-4
1102-2010,1,1e-4
1102-2020,3,3e-4
1112-1202-2020,1,1e-4
1120-1201,1,1e-4
1120-1201-2020,1,1e-4
1120-2020,1,1e-4
1200,4,4e-4
1200-1202-2020,1,1e-4
1200-2000,1,1e-4
1200-2010,1,1e-4
1200-2020,28,0.0028
1200-2020-2100,2,2e-4
1201-2001,1,1e-4
1201-2020,7,7e-4
1202,5,5e-4
1202-1220-2020,1,1e-4
1202-2002,1,1e-4
1202-2012-2020,1,1e-4
1202-2020,43,0.0043
1202-2020-2101,2,2e-4
1202-2021,2,2e-4
1202-2120,3,3e-4
1202-2120-2200,1,1e-4
1202-2200,1,1e-4
1210,1,1e-4
1210-2020,9,9e-4
1210-2120,1,1e-4
1220,1,1e-4
1220-2020,2,2e-4
1220-2220,1,1e-4
2000,1,1e-4
2001,3,3e-4
2001-2020,5,5e-4
2002,3,3e-4
2002-2020,11,0.0011
2002-2020-2202,1,1e-4
2010,14,0.0014
2010-2200,1,1e-4
2011,1,1e-4
2011-2020,1,1e-4
2012,1,1e-4
2012-2020,6,6e-4
2020,1012,0.1012
2020-2100,3,3e-4
2020-2101,2,2e-4
2020-2102,3,3e-4
2020-2110,1,1e-4
2020-2120-2201,1,1e-4
2020-2200,11,0.0011
2020-2201,4,4e-4
2020-2202,4,4e-4
2020-2210,3,3e-4
2021,7,7e-4
2100,3,3e-4
2101,1,1e-4
2102,2,2e-4
2120,3,3e-4
2200,6,6e-4
2202,1,1e-4
2220,1,1e-4
