1.356,0.349	64.350,0.004	0.045,34.896
1.055,0.495	80.168,0.006
0.676,1.201	17.134,1.201
8.260,0.089	108.106,0.001	8.260,5.974
4.157,2.580	117.909,0.430	4.157,18.086
126.175,0.012	0.394,65.309
63.041,0.434	0.056,38.564
2.955,6.654	127.852,0.114	0.159,123.400
1.549,3.836	99.366,0.042	0.016,97.106
2.470,0.880	38.905,0.163	38.905,14.893	0.097,80.191
60.629,0.062	0.077,3.590	0.077,105.864
0.379,0.838	0.005,30.133
0.869,2.999	76.002,0.049	0.020,54.206
81.626,0.113	0.043,48.843
3.684,0.052	166.640,0.052	0.041,58.395
2.656,1.068	233.737,0.016	0.107,104.809
314.937,0.021	0.695,66.669
35.179,0.100	0.019,48.843
0.659,1.452	43.486,0.038
91.435,0.105	0.071,1.040	0.071,64.572
0.625,2.240	56.983,0.027	0.116,73.656
205.710,0.003
0.446,1.062	25.759,1.062	0.005,77.155
1.004,5.150	42.295,0.052	0.010,117.448
0.441,0.198	22.035,0.002	0.441,13.025
0.367,1.608	28.949,0.017	0.005,150.089
237.933,0.041	2.300,113.029
2.114,0.017	141.639,0.017	0.033,52.953
1.818,3.694	144.515,0.067	0.185,203.640
0.330,3.909	0.018,191.101
277.885,0.030	0.289,90.004
165.415,0.072
0.502,1.345	47.352,0.026	0.063,105.479
4.170,1.000	25.759,1.000	0.081,77.155
1.904,5.671	39.892,0.109	0.026,35.028
1.153,1.937	101.161,0.087	0.028,67.436
0.834,1.513	0.022,97.039
85.765,0.057	0.156,4.493	0.156,70.864
0.024,208.880
0.548,1.249	54.504,0.022	0.024,97.706
0.297,0.848	15.078,0.016	0.003,50.768
230.220,0.116	0.518,135.581
0.781,9.060	65.842,0.095	0.013,342.634
2.197,5.775	66.335,0.148	0.673,90.156
167.090,0.115	0.042,108.106
0.047,1.262	0.000,102.678
95.067,0.010	0.986,44.841	9.680,44.841
0.013,159.735
1.172,0.443	101.480,0.005	0.025,33.337
1.696,5.307	163.109,0.054	0.177,180.313
42.404,0.012	0.061,26.660
121.837,0.017	0.187,1.567	0.187,63.248
3.190,0.682	60.280,0.013	0.127,29.154
4.251,0.033	397.702,0.033	0.197,88.869
0.653,1.744	47.894,0.172	0.008,88.572
0.032,8.129	2.154,8.129	0.006,111.870
0.063,58.037
0.758,0.027	63.164,0.027	0.758,2.620	63.164,2.620	0.014,88.006
0.887,2.251	65.864,0.029	0.012,149.979
8.300,0.919	663.688,0.018	0.184,65.913
0.481,2.226	35.179,0.026	0.046,48.843
0.449,1.208	30.835,0.016	0.013,77.882
110.359,0.194	0.043,203.498	3.831,203.498
0.749,1.275	51.924,0.452	0.014,102.529
3.599,0.281	170.435,0.003	0.052,27.213
0.762,0.130	63.239,0.002
147.332,4.236	0.081,13.278	0.081,164.303
96.442,0.145	0.014,72.330
84.467,0.873	0.017,57.256
1.161,5.772	105.132,0.103	0.056,345.274
0.381,2.871	32.406,0.074	0.045,105.521
7.434,0.692	181.231,0.019	7.434,17.134
0.268,0.359	0.007,32.510
1.830,0.456	114.985,0.013	0.046,24.331
1.457,8.481	50.466,0.106	0.016,31.207
0.329,6.254	28.372,0.194	0.106,151.755
2.075,2.760	108.528,0.087	0.405,93.126
2.002,1.181	149.787,0.015	0.026,104.671
1.513,1.318	103.669,0.594	0.016,106.119
1.634,2.655	141.496,0.040	141.496,3.230	0.065,215.437
1.486,1.273	104.809,0.016	0.241,93.177	16.969,93.177
5.743,0.599	155.023,0.015	0.177,59.880
88.681,0.007	0.150,54.094	5.188,54.094
0.442,2.335	21.625,0.054	0.011,209.256
2.944,2.078	34.582,0.038	0.038,60.799
0.005,46.797
1.883,8.032	105.132,0.134	0.021,345.274
31.843,1.493	0.044,663.688
0.169,1.735	0.008,89.460
9.012,2.835	395.204,0.053	0.161,95.308
0.754,1.056	60.519,0.031	0.011,72.551
1.592,1.099	135.500,0.026	0.018,53.104
0.740,0.710	66.584,0.020	0.334,70.015
2.674,1.523	94.175,0.048	0.060,90.164
404.450,0.546	0.221,122.023
0.872,1.759	45.921,0.021	0.017,41.631
1.627,2.283	70.625,0.162	0.075,148.534
0.543,4.969	37.739,0.058	0.007,31.423
0.851,1.614	75.871,0.018	0.015,21.238
239.273,0.176	0.116,9.517	0.116,444.091
56.605,0.432	56.605,7.056	0.017,183.404
3.031,0.191	220.552,0.002	3.031,19.018
1.985,0.873	25.299,0.873	0.030,76.727
0.878,2.012	37.925,0.161	37.925,9.410	0.012,117.708
3.470,1.110	144.937,0.013	0.061,28.700
2.908,0.822	133.072,0.010	0.064,73.224
1.958,0.398	103.171,0.005	0.053,33.521
0.709,0.111
458.538,0.070	0.097,6.033	0.097,51.225
8.997,0.404	125.739,0.022	4.398,34.405
1.250,0.017	120.158,0.017	0.014,23.329
124.897,1.347	124.897,18.276	0.347,67.792
2.612,2.683	222.258,0.029	0.051,133.258
2.473,0.029	187.502,0.001
0.352,0.536	27.911,0.013	0.017,42.415
8.032,3.150	56.770,0.089	0.135,50.473
270.289,0.256	1.470,12.727	1.470,160.606
0.404,0.223	34.849,0.007	0.004,17.438
92.371,0.249	0.125,12.362	0.125,464.547
1.124,0.937	92.599,0.030	0.018,77.425
1.691,0.233	35.895,0.002	0.110,17.397
20.632,1.840	28.089,0.081	4.237,138.321
1.119,4.871	12.910,4.871	0.022,362.383
158.140,0.006	0.119,26.715	3.077,26.715
1.041,1.486	56.140,0.038	0.068,77.619
0.206,0.161
47.145,0.016	0.028,1.552	0.028,130.580
102.451,0.001
588.733,0.010
4.248,0.751	102.151,0.008	0.312,25.145
1.611,4.075	82.114,0.079	0.021,192.052
0.394,3.944	27.192,0.284	0.005,24.884
0.551,3.288	45.681,0.160	0.006,181.540
9.138,1.276	676.632,0.013	0.103,101.097
3.885,2.411	371.866,0.120	0.230,166.908
1.183,0.836	108.447,0.013	0.068,27.362
3.012,0.685	116.809,0.013
1.665,2.488	48.100,0.028	0.017,168.302
2.051,3.809	145.800,0.199	0.028,199.467
3.658,4.588	58.576,0.596	0.284,227.466
2.048,1.732	126.802,0.028	0.046,99.683
141.303,0.026	0.027,2.050	0.027,37.354
0.001,63.424
1.165,2.576	68.740,0.057	0.012,232.579
6.269,0.021	111.698,0.021	0.143,135.053
10.701,17.554	0.863,193.323
0.651,1.860	9.818,0.019	0.020,163.606
0.485,0.603	36.634,0.011	0.048,56.366
1.139,8.224	53.804,0.101	0.039,159.937
2.010,0.854	99.678,0.010	0.032,73.372
67.691,0.068	67.691,5.193	0.084,321.261
0.066,0.448	0.003,40.280
60.388,0.102	60.388,7.877	0.009,448.647
103.373,0.087	0.020,162.573
2.004,1.014	168.219,0.084	0.041,69.990
1.667,0.478	139.739,0.019	0.111,37.827
0.578,7.550	21.363,7.550	0.010,255.519
0.790,3.921	50.630,0.167	50.630,4.578	0.024,107.527
75.064,0.039	1.193,75.594
0.403,0.778	37.971,0.009	0.006,36.785
0.001,243.412
3.119,0.451	73.142,0.009
0.751,9.139	51.801,0.226	0.008,652.562
2.092,1.496	96.605,0.048	0.122,75.618
140.351,0.044	0.621,108.157
2.190,1.884	184.840,0.032	0.044,65.197
67.782,0.101	0.030,126.397
0.135,1.934	0.022,149.056
1.792,1.233	62.203,0.024	0.020,87.553
0.710,3.600	65.007,0.174	0.010,310.757
2.040,2.589	157.277,0.048	0.134,138.033
1.636,1.759	82.094,0.085	0.035,48.185
0.423,2.458	32.433,0.029	0.008,92.147
278.928,0.029	0.050,112.735	3.638,112.735
155.163,0.616	0.236,80.725	4.862,80.725
6.017,0.906	154.378,0.014	0.271,37.279
0.483,0.102	44.301,0.002
0.585,2.483	20.780,0.105	0.040,114.510
1.469,3.710	0.168,247.459
7.407,0.140	43.384,0.140	7.407,7.819	43.384,7.819	0.433,156.368
3.069,10.506	44.372,0.821	0.132,49.081
3.549,1.785	82.023,0.086	0.111,146.578
6.810,4.211	276.263,0.142	0.228,152.092
2.060,2.665	132.464,0.043	0.040,191.050
2.062,3.499	27.369,0.095	27.369,6.713	0.029,248.399
59.415,0.030	0.047,57.681
5.294,3.972	65.828,0.041	0.059,287.468
1.429,0.263	131.907,0.004	0.044,21.944
0.787,6.904	49.703,0.103	0.025,217.596
1.189,2.106	101.459,0.071	0.056,83.653	4.761,83.653
95.702,0.164	95.702,10.992	0.028,256.761
0.015,126.890
2.324,0.902	210.311,0.012	0.086,48.384	7.788,48.384
1.587,1.619	105.329,0.034	0.034,160.992
4.709,0.143	131.173,0.007
182.669,0.668	0.037,94.268
0.046,1.107	0.001,39.464
1.301,2.183	59.020,0.034	0.056,62.436
3.067,1.043	149.683,0.017	0.033,85.239
35.430,0.014	0.315,94.889
16.617,6.436	0.046,113.555
110.672,0.020	0.771,91.011
6.823,1.487	507.719,0.042	0.146,127.569
19.750,0.355	637.974,0.355
2.518,0.739	71.767,0.015	0.040,17.183
2.883,1.455	245.665,0.016	0.030,102.760
158.279,0.113	0.273,177.148
