parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,94,-2.621398,6.375956,01
1,2,01-10,01-10,2,6,3.888231,1.023775,10
2,2,01-10,01-10,2,63,1.046781,5.862499,01
2,2,01-10,01-10,2,37,6.735116,-0.037893,10
3,2,01-10,01-10,2,98,6.654824,-1.996043,10
3,2,01-10,01-10,2,2,1.408507,4.362717,01
4,2,01-10,01-10,2,89,0.936467,7.210929,01
4,2,01-10,01-10,2,11,5.902723,3.291567,10
5,1,10,10,1,100,4.32639,-0.098146,10
6,1,01,01,1,100,-0.870914,6.710979,01
7,2,01-10,01-10,2,61,0.523643,5.524664,01
7,2,01-10,01-10,2,39,6.188917,-0.379279,10
8,2,01-10,01-10,2,96,-1.721674,7.052319,01
8,2,01-10,01-10,2,4,4.362717,1.869029,10
9,1,10,10,1,100,6.268715,-2.6552,10
10,1,10,10,1,100,3.934678,-2.856707,10
11,1,10,01-10,1,100,7.137936,-1.916413,10
12,2,01-10,01-10,2,83,6.148622,-0.746475,10
12,2,01-10,01-10,2,17,2.782911,5.667402,01
13,1,01,01,1,100,1.416035,7.247491,01
14,1,01,01-10,1,100,0.897874,6.803233,01
15,2,01-10,01-10,2,38,-0.400502,6.368778,01
15,2,01-10,01-10,2,62,5.00218,1.122283,10
16,2,01-10,01-10,2,77,5.592105,0.147286,10
16,2,01-10,01-10,2,23,0.904759,6.197057,01
17,2,01-10,01-10,2,99,-1.569504,7.231524,01
17,2,01-10,01-10,2,1,4.771951,3.60814,10
18,1,10,10,1,100,7.084327,-2.094945,10
19,1,01,01,1,100,0.845727,6.832091,01
20,1,10,10,1,100,6.870105,-2.341445,10
21,1,01,01,1,100,2.206933,6.628981,01
22,1,01,01,1,100,2.086491,7.548992,01
23,1,11,11,1,100,0.745646,-0.192503,11
24,2,01-10,01-10,2,89,-0.525765,5.99763,01
24,2,01-10,01-10,2,11,5.879233,-0.089773,10
25,1,10,10,1,100,6.575117,-4.595808,10
26,1,01,01,1,100,0.099485,8.131523,01
27,2,01-10,01-10,2,35,4.233918,0.920764,10
27,2,01-10,01-10,2,65,-1.94795,4.45493,01
28,1,01,01,1,100,-2.25662,6.028813,01
29,1,10,10,1,100,6.41146,-1.624584,10
30,2,01-10,01-10,2,95,6.582739,1.593743,10
30,2,01-10,01-10,2,5,1.176514,4.253388,01
31,2,01-10,01-10,2,88,-1.545308,5.427154,01
31,2,01-10,01-10,2,12,4.265717,-0.68332,10
32,1,01,01,1,100,-0.465458,7.13015,01
33,1,10,10,1,100,7.25727,-2.802773,10
34,1,10,10,1,100,7.175392,1.394315,10
35,1,10,10,1,100,6.572837,-3.275355,10
36,2,01-10,01-10,2,96,4.265717,-0.346669,10
36,2,01-10,01-10,2,4,-1.84679,5.427154,01
37,1,01,01,1,100,-2.992404,7.91853,01
38,2,01-10,01-10,2,86,1.32076,7.925835,01
38,2,01-10,01-10,2,14,6.986034,2.021892,10
39,2,01-10,01-10,2,59,7.419001,0.364405,10
39,2,01-10,01-10,2,41,1.48217,5.006284,01
40,2,01-10,01-10,2,79,1.217029,5.937367,01
40,2,01-10,01-10,2,21,5.919607,1.728703,10
41,2,01-10,01-10,2,50,1.530173,7.130666,01
41,2,01-10,01-10,2,50,7.13442,0.513614,10
42,1,01,01,1,100,-1.994028,7.85508,01
43,1,01,01,1,100,-1.18067,6.565711,01
44,2,01-10,01-10,2,97,6.850065,0.326595,10
44,2,01-10,01-10,2,3,1.701773,4.725183,01
45,2,01-10,01-10,2,48,1.530173,7.130666,01
45,2,01-10,01-10,2,52,7.13442,0.513614,10
46,2,01-10,01-10,2,1,-0.690222,5.113921,01
46,2,01-10,01-10,2,99,5.666688,-1.330455,10
47,2,01-10,01-10,2,52,5.709629,1.227625,10
47,2,01-10,01-10,2,48,-0.45357,7.337794,01
48,2,01-10,01-10,2,83,6.831349,0.178585,10
48,2,01-10,01-10,2,17,2.444414,5.754485,01
49,1,11,11,1,100,5.286941,2.678981,11
50,2,01-10,01-10,2,59,5.37591,-0.495795,10
50,2,01-10,01-10,2,41,2.038522,3.849317,01
51,2,01-10,01-10,2,93,8.423025,-0.916401,10
51,2,01-10,01-10,2,7,1.837925,4.811407,01
52,1,01,01,1,100,1.707479,5.576018,01
53,2,01-10,01-10,2,90,7.443628,-0.892139,10
53,2,01-10,01-10,2,10,1.535327,4.5603,01
54,1,01,01,1,100,-0.840392,8.328328,01
55,2,01-10,01-10,2,68,-1.124022,4.785575,01
