1.830,1.787	93.100,0.079	0.020,94.853
1.217,0.370	89.814,0.005	0.015,28.954
0.963,0.309	78.259,0.013	0.035,17.647	2.825,17.647
1.617,0.711	107.578,0.013	0.073,62.819
17.396,0.234	0.075,4.706	0.075,203.838
4.642,2.114	106.001,0.034	0.126,77.915
103.905,0.025	103.905,1.537	0.019,25.419	1.244,25.419
83.223,0.640	0.030,38.567	2.686,38.567
181.375,0.124
46.505,0.015	0.178,5.085
2.498,2.356	133.395,0.102	0.895,36.741
115.810,0.149	115.810,2.531	0.040,195.429
0.099,57.682
6.108,0.044	149.519,0.044	0.111,115.749
101.014,0.012	0.128,32.588
115.715,0.078	0.019,1.589	0.019,97.656
0.018,164.392	0.494,164.392
0.595,0.099	47.088,0.001	0.015,6.585
0.609,0.099	48.207,0.001	0.015,6.585
1.530,1.324	121.888,0.048	121.888,2.235	0.028,62.103
171.394,0.009
105.323,0.149	0.029,263.915
62.106,1.550	0.014,156.611
1.274,0.141	32.588,0.141	0.013,84.642
166.740,0.189	166.740,5.532	0.038,125.441
286.447,0.046	0.167,318.610	14.783,3.497
104.413,0.012
79.969,1.634	0.027,91.044
134.097,0.033	134.097,1.003	0.148,88.791
2.044,0.557	181.640,0.010	0.023,31.613
0.016,330.549	1.137,330.549
120.826,0.093	0.071,535.478
0.155,206.814	13.604,15.689
206.395,1.421	0.288,777.711	28.364,30.395
40.457,0.153	0.230,188.924
11.393,0.013	11.393,1.199	0.120,101.744
0.630,220.027	14.562,6.155
0.435,316.790	7.034,254.678
7.715,0.046	0.002,168.358
615.091,0.017	0.096,12.842
475.236,0.569	0.182,182.357	11.250,13.071
179.849,0.297	0.073,651.659	2.071,13.437
2.729,0.008	165.971,0.008	0.101,54.578
1.734,2.390	37.267,0.058	0.022,75.263
1.051,2.099	87.267,0.029	0.041,138.125
0.725,1.452	16.909,0.017	0.011,91.694
62.460,0.010	0.295,36.872
1.357,1.085	31.059,0.020	0.018,6.938
54.959,0.003	0.041,14.454	1.056,14.454
0.196,0.265	6.672,0.005	0.002,26.142
97.079,0.004	0.125,13.116
110.901,0.025	0.049,106.633	2.749,106.633
108.159,0.016	2.753,46.375
11.812,3.169	0.558,114.582	11.812,33.811
1.492,0.047	44.391,0.047	0.017,136.317
118.113,0.015	0.022,68.046	1.243,68.046
233.129,0.053	0.124,90.019	4.922,3.808
61.365,0.049	61.365,1.532	0.222,151.777
1.671,3.086	17.837,0.076	0.091,105.071
87.377,0.022	0.014,48.577	0.992,48.577
45.537,0.460	45.537,2.112	0.009,202.811
170.097,0.008	0.967,57.600
0.649,2.457	64.543,0.027	0.014,27.961
0.430,0.905	39.211,0.010	0.009,52.857
13.268,0.078	0.020,186.107
2.171,0.326	108.413,0.004	0.082,31.693
45.274,0.027	45.274,1.651	0.033,84.730
47.122,0.011	0.082,1.001	3.919,1.001	0.082,55.095	3.919,55.095
138.345,0.034	0.423,119.538
88.191,0.002	1.323,9.731
1.118,1.148	86.875,0.103	0.037,98.636	2.872,8.848
0.982,0.801	51.974,0.024	0.124,70.414
196.046,0.019	196.046,1.410	0.266,113.203
1.266,0.044	101.749,0.044	0.020,40.744
0.662,1.024	57.387,0.013	0.014,96.823
40.530,0.009	0.144,0.342	5.029,0.342	0.144,30.094	5.029,30.094
82.762,0.010	0.050,71.926	2.760,71.926
1.966,4.018	179.603,0.116	0.030,143.703
248.692,0.006	2.090,45.201
88.044,0.202	88.044,0.464	0.206,24.431
61.766,0.013	2.536,29.478
140.679,0.015	0.183,42.556
212.558,0.808	0.375,209.179	14.566,78.879
93.934,1.208	0.067,174.883
0.153,0.409	10.258,0.012	0.138,36.568
426.245,0.001
455.479,0.022	0.052,1.918	0.052,79.855
188.220,0.066	188.220,3.856	0.047,315.862
37.162,0.016	0.205,84.332	1.451,84.332
1.807,0.133	135.028,0.002	0.020,10.067
4.122,0.006	338.785,0.006	0.069,32.781
0.039,76.744
1.575,0.737	156.712,0.016	156.712,1.316	0.023,59.192
99.026,0.027	99.026,1.410	0.012,119.931
0.426,0.467	39.013,0.012	0.007,46.059
345.735,0.297	0.070,3.868	0.070,210.684
69.719,0.020	0.141,127.057	0.851,127.057
1.863,2.091	76.763,0.132	0.075,141.700
4.077,0.991	131.249,0.026	0.072,47.731
107.268,0.020	0.060,59.705	1.339,59.705
0.045,1.435	0.001,35.290
49.059,0.046	0.014,2.654	0.014,88.918
0.060,1.124	5.079,1.124	0.001,83.950
2.289,1.205	121.921,0.030	0.031,71.424
16.972,2.147	0.038,132.844
27.141,0.047	0.009,3.978	0.009,113.925
88.500,0.209	0.019,5.113	0.019,305.526
57.482,0.173	0.012,146.364
126.057,0.021	0.141,86.906
0.106,1.036	1.145,1.036	0.001,102.180
156.915,0.238	0.258,377.191	6.755,8.774
96.514,1.754	0.014,146.760
