parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-1010,0300-1010,2,2,1
2,0303-1010,0303-1010-1013-1113,2,4,1
3,0300-0303-1010,0300-0303-1003-1010,3,4,1
4,0010-0011-0300-0301,0010-0011-0300-0301,4,4,1
5,0300-1010,0300-0303-1003-1010,2,4,1
6,0300-0303-1010,0300-0303-1003-1010,3,4,1
7,0303-1010,0303-1010,2,2,1
8,0300-1010,0300-1010,2,2,1
9,1010,0300-1010,1,2,1
10,0300-0303-1010,0300-0303-1010,3,3,1
11,1010-1303,1003-1010-1303,2,3,1
12,1001-1301-1303,1001-1301-1303,3,3,1
13,0302-0303-1002-1003,0302-0303-1002-1003,4,4,1
14,0301-1001,0301-1001,2,2,1
15,0010-0300-0303,0010-0300-0303,3,3,1
16,0303,0303,1,1,1
17,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
18,0313-1010-1013-1113,0313-1010-1013-1113,4,4,1
19,1010-1303,1010-1013-1303,2,3,1
20,0302-1012,0300-0302-1010-1012,2,4,1
21,0300-0303-1010,0300-0303-1010,3,3,1
22,0303,0010-0300-0303,1,3,1
23,0310-1010,0310-1010,2,2,1
24,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
25,0010-0300-0303,0010-0300-0303,3,3,1
26,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
27,0302-0310-1010,0302-1002-1010,3,3,0.6666666666666666
28,0303-1003,0300-0303-1003-1010,2,4,1
29,0303-1013,0303-1013-1113,2,3,1
30,0010-0013-0310-0313,0010-0013-0313,4,3,0.75
31,0010-0303,0010-0210-0303,2,3,1
32,0110-0300-1010,0110-0300-1010,3,3,1
33,0300-0303-1003-1010,-1,4,2,0
34,0303-1013,0301-0303-1011-1013,2,4,1
35,0301-1011,0301-1011,2,2,1
36,1003-1010-1303,1003-1010-1303,3,3,1
37,0300-1010,0300-0303-1010-1013-1103,2,5,1
38,0300-1010,0300-0303-1010,2,3,1
39,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
40,0300-1010,0300-0303-1003-1010,2,4,1
41,0300-1010,0300-1010,2,2,1
42,0313-1010-1013,0210-0313-1010-1013,3,4,1
43,0010-0100-0300-0303,0010-0100-0300-0303,4,4,1
44,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
45,0301-0303-1011,-1,3,2,0
46,0302-0303-1012,0302-0303,3,2,0.6666666666666666
47,1010,0310-1010,1,2,1
48,0010-0303,0003-0010-0303,2,3,1
49,0300-1010,0300-1010,2,2,1
50,0303-1013,0210-0300-0303-1010-1013,2,5,1
51,0302-1010-1012,0302-1010-1012,3,3,1
52,0300-0303-1010,0300-0303-1010,3,3,1
53,0303-1103,0303-1103,2,2,1
54,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
55,0300-1010,0300-0301-1010-1011,2,4,1
56,0303,0303,1,1,1
57,1010-1013,1010-1013,2,2,1
58,0303-1013,0303-1010-1013,2,3,1
59,1003-1010-1303,1003-1010-1303,3,3,1
60,0303-1003-1010,0303-1003-1010,3,3,1
61,1103-1303,1001-1103-1303,2,3,1
62,0312-1010-1012,0312-1010-1012,3,3,1
63,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
64,0010-0303,0010-0013-0303,2,3,1
65,0010-0300-0303,-1,3,2,0
66,0303-1010-1013,0303-1010-1013,3,3,1
67,0300-0303-1010,0300-0303-1003-1010,3,4,1
68,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
69,0302-1010-1012,0300-0302-1002-1010,3,4,0.6666666666666666
70,0303,0303,1,1,1
71,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
72,0303-1010,0303-1010-1103,2,3,1
73,0303-1003,0303-1003,2,2,1
74,0303-1003-1010,0300-0303-1003-1010,3,4,1
75,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
76,0010-0300-0303,0010-0300-0303,3,3,1
77,0300-1010,0300-0303-1003-1010,2,4,1
78,0300-0303-1010,0300-0303-1010-1013,3,4,1
79,0303-0310-1010-1013,0113-0303-0310-1010-1013,4,5,1
80,0010-0013-0300-0303,0010-0013-0300-0303,4,4,1
81,0010-0303,0010-0013-0303,2,3,1
82,0300-1010,0300-0303-1003-1010,2,4,1
83,0303-1003-1010,0303-1003-1010,3,3,1
84,1010,1010,1,1,1
85,0300-0303-1010-1013-1103,0300-0303-1010-1103,5,4,0.8
86,0303-1003,0303-1003,2,2,1
87,0301-0303-1003-1011,0300-0303-1003-1010,4,4,0.5
88,1010,1010,1,1,1
89,0313-1010-1013,0313-1010-1013,3,3,1
90,0303-1003,0303-1003-1010,2,3,1
91,0300-0303-1010-1113,0300-0303-1010-1013-1113,4,5,1
92,0300-1010,0300-0303-1003-1010,2,4,1
93,1010,1010,1,1,1
94,0300-0303,0010-0300-0303,2,3,1
95,0010-0300-0303,0010-0300-0303,3,3,1
96,0300-1010,0300-1010,2,2,1
97,1010-1303,1010-1303,2,2,1
98,0300-1010,0300-1010,2,2,1
99,0303-1010-1013,0113-0303-1010-1013,3,4,1
100,0301-0302-1011-1012,0301-0302-1011-1012,4,4,1
101,0301-0303-1001-1003,0301-0303-1001-1003,4,4,1
102,0210-0300-1010,0210-0300-1010,3,3,1
103,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
104,0303-1013,0303-1013-1203,2,3,1
105,1010-1300-1303,1010-1103-1300-1303,3,4,1
106,0303-1010-1013,0303-1010-1013,3,3,1
107,0303,0300-0303-1010,1,3,1
108,0010-0303,0010-0303,2,2,1
109,1010-1013,1010-1013,2,2,1
110,1010,0312-1010-1012,1,3,1
111,0313-1013,0313-1010-1013,2,3,1
112,0300-0303-1010,0300-0303-1010,3,3,1
113,0300-0302-1010-1012,0300-0302-1002-1010,4,4,0.75
114,0300-0303-1010,0300-0303-1010-1013-1113,3,5,1
115,0300-1010,0300-1010,2,2,1
116,0300-1010,0300-0303-1003-1010,2,4,1
117,0300-0303-1010,0300-0303-1003-1010,3,4,1
118,0303-1010-1013,0303-1010-1013,3,3,1
119,0301-0303,0301-0303,2,2,1
120,0210-0300-1010,0102-0210-0300-0302-1002-1010,3,6,1
121,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
122,0303,0300-0303-1010,1,3,1
123,0303-1003,0303-0311-1003-1011-1103,2,5,1
124,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
125,0210-0300-0303-1010,0210-0300-0303-1010-1013,4,5,1
126,0300-1010,0300-1010,2,2,1
