parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-1010,0300-1010,2,2,1
2,0303-1010-1013,0303-1010-1013,3,3,1
3,1010-1013,1010-1013,2,2,1
4,0300-1010,0300-1010,2,2,1
5,1010-1011,1010-1011,2,2,1
6,0010,0010,1,1,1
7,0300-1010,0300-1010,2,2,1
8,1003-1010-1303,1003-1010-1303,3,3,1
9,0303-1010,0303-1003-1010,2,3,1
10,0300-0303-1003-1010,0300-0303-1003-1010-1203,4,5,1
11,1010,1010,1,1,1
12,0010-0013-0313,0010-0013-0303,3,3,0.6666666666666666
13,0300-1010,0300-0302-1002-1010,2,4,1
14,0300-0303-1000,0300-0303-1000-1003,3,4,1
15,1010-1013,1003-1010-1303,2,3,0.5
16,0303-1010-1013,0303-1010-1013-1103,3,4,1
17,1003-1010-1303,1003-1010-1303,3,3,1
18,0303,0300-0303-1003-1010,1,4,1
19,0300-0303-1000,0300-0303-1000-1103,3,4,1
20,0300-0303-1010,0300-0303-1010-1103,3,4,1
21,0303-1003-1010-1013,0303-1010-1013,4,3,0.75
22,0303-1010-1013,0303-1010-1013,3,3,1
23,1010,1010,1,1,1
24,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
25,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
26,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
27,0303-1010-1013,0303-1010-1013,3,3,1
28,1010,0300-1010,1,2,1
29,0303-1013,0303-1010-1013,2,3,1
30,0303-1013,0203-0303-1013,2,3,1
31,0300-1010-1200,0300-1010-1200,3,3,1
32,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
33,0302-0303-1012,0302-0303,3,2,0.6666666666666666
34,1013-1303,1013-1303,2,2,1
35,0303-1010-1013,0303-1010-1013,3,3,1
36,1010-1103-1303,1010-1103-1303,3,3,1
37,0303-1010,0303-1010,2,2,1
38,0300-0303-1010-1013,0300-0303-1010-1013-1103,4,5,1
39,0303-1010-1013,0303-1010-1013,3,3,1
40,0310-0311-1010-1011,0310-0311-1010-1011,4,4,1
41,0303-1010-1013,0303-1010-1013,3,3,1
42,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
43,0303-0310-1010-1013,0303-0310-1003-1010,4,4,0.75
44,0010-0210-0300,0010-0210-0300,3,3,1
45,0303-0310-1003-1010,-1,4,2,0
46,0310-0313-1010,0310-0313-1010,3,3,1
47,0010-0013-0300-0303,0010-0013-0100-0300-0303,4,5,1
48,0100-0300-0303,0000-0300-0303,3,3,0.6666666666666666
49,0303,0301-0303-1011,1,3,1
50,0010-0110-0300-0303,0010-0110-0300-0303,4,4,1
51,0300-0303-1010,0210-0300-0303-1010,3,4,1
52,0302-1010-1012,0102-0302-1002-1010,3,4,0.6666666666666666
53,0303-1010,0203-0303-1010,2,3,1
54,0300-0303-1010,0300-0303-1010,3,3,1
55,0303-0310-1010,0303-1010-1013-1113,3,4,0.6666666666666666
56,0312-1010-1012,0312-1010-1012,3,3,1
57,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
58,0303-1013,0303-0311-1011-1013,2,4,1
59,0300-0303-1010,0300-0303-1003-1010,3,4,1
60,0300-0303-1100,0300-0303-1100,3,3,1
61,0010-0303-0310,0010-0303-0310,3,3,1
62,0303-1010,0303-1010,2,2,1
63,0303-1010-1013,0303-1010-1013,3,3,1
64,0303-1010-1013,0303-1010-1013,3,3,1
65,0313-1010-1013,0303-1010-1013,3,3,0.6666666666666666
66,1010-1013-1303,1003-1010-1303,3,3,0.6666666666666666
67,0303-1010-1013,0303-1010-1013,3,3,1
68,0300-1010,0300-1010,2,2,1
69,0010-0300,0010-0300,2,2,1
70,0011-0311-0313,0011-0013-0303-0311,3,4,0.6666666666666666
71,0303-0310-1010,0303-0310-1010,3,3,1
72,1010-1013-1303,1010-1013-1303,3,3,1
73,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
