parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0200-0300-1010,0200-0300-1010,3,3,1
2,0300-1010,-1,2,2,0
3,1010-1303,1010-1013-1303,2,3,1
4,0010-0300-0303,0010-0300-0303,3,3,1
5,0300-0303-1010,0300-0303-1010,3,3,1
6,0303-1010-1013,0303-1010-1013,3,3,1
7,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
8,1010,1010-1013-1303,1,3,1
9,0310-1010,0310-1010,2,2,1
10,0303-1010-1013,0303-1010-1013,3,3,1
11,0303-0310-1010-1013,0113-0303-0310-1010-1013,4,5,1
12,1010,1010,1,1,1
13,0303,0010-0300-0303,1,3,1
14,0300-1010,0300-1010,2,2,1
15,0303-1010-1013,0303-1010-1013,3,3,1
16,0303-1010-1013,0303-1010-1013,3,3,1
17,0113-0303-1010,0113-0303-1010-1013,3,4,1
18,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
19,0301-0303,0301-0303-1001-1003,2,4,1
20,0010-0300-0303,0010-0100-0300-0303,3,4,1
21,1010,0303-0310-1010-1013,1,4,1
22,0303-1010,0303-1010,2,2,1
23,1010-1013-1303,1010-1013-1303,3,3,1
24,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
25,0300-1010,0300-1010,2,2,1
26,0303-1013,0303-1010-1013,2,3,1
27,1010-1013-1303,1010-1013-1113-1303,3,4,1
28,0303-0310-1110,0303-0310-1010-1110,3,4,1
29,0310-0313-1010-1013,0310-0313-1010-1013,4,4,1
30,0300-0302-1002-1010,0300-0302-1002-1010,4,4,1
31,0303-1010-1013,0303-1010-1013,3,3,1
32,1010-1013-1303,1010-1013-1303,3,3,1
33,0303-1010-1013,0303-1010-1013,3,3,1
34,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
35,1010,1010,1,1,1
36,0010,0010,1,1,1
37,0010-0013-0303,0010-0013-0303,3,3,1
38,1010,1010,1,1,1
39,0300-1010,0300-1010,2,2,1
40,0303-1010-1013,0303-1010-1013,3,3,1
41,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
42,0300-0303-1010,0300-0303-1010,3,3,1
43,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
44,0300-0303,0300-0303-1010,2,3,1
45,1010,1010,1,1,1
46,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
