parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,3,002-020-201,002,002-020-201,3,0.57,0.379964,-1.300728,6.907123,0.57
1,3,002-020-201,020,002-020-201,3,0.07,0.122934,3.747992,0.35385,0.07
1,3,002-020-201,201,002-020-201,3,0.36,6.282301,-7.406736,1.366208,0.36
2,2,022-220,022,022-220,2,0.49,-4.224988,2.656659,2.165361,0.49
2,2,022-220,220,022-220,2,0.51,2.234848,5.279781,-3.582388,0.51
3,1,202,202,202,1,1,3.259576,-7.007837,2.358887,1
4,2,020-210,020,020-210,2,0.88,-1.227208,6.712868,-1.613861,0.88
4,2,020-210,210,020-210,2,0.12,5.217302,0.707538,-6.294338,0.12
5,3,012-021-220,012,012-021,3,0.71,-4.152947,-0.078764,5.775782,0.71
5,3,012-021-220,220,012-021,3,0.04,1.935564,1.385738,-2.588862,0.04
5,3,012-021-220,021,012-021,3,0.25,-4.152947,5.675729,0.641564,0.25
6,2,120-200,200,120-200,2,0.77,6.513261,-0.353244,-3.531897,0.77
6,2,120-200,120,120-200,2,0.23,1.508048,3.598702,-10.016721,0.23
7,2,002-200,002,002-200,2,0.36,-0.092401,0.402089,6.49637,0.36
7,2,002-200,200,002-200,2,0.64,5.364086,0.848173,0.747205,0.64
8,2,002-202,202,002,2,0.45,3.926053,-5.873923,1.061652,0.45
8,2,002-202,002,002,2,0.55,-0.381715,-0.156285,6.818184,0.55
9,2,002-021,021,002-021,2,0.82,-5.316285,4.456538,-0.601455,0.82
9,2,002-021,002,002-021,2,0.18,0.880496,-1.532525,4.445131,0.18
10,1,022,022,022,1,1,-6.484506,1.887132,1.971024,1
11,2,022-102,102,022-102,2,0.46,0.242351,0.317756,5.675729,0.46
11,2,022-102,022,022-102,2,0.54,-5.511999,3.951052,2.801663,0.54
12,3,102-201-210,210,102-201-210,3,0.43,3.467968,0.051402,-5.294369,0.43
12,3,102-201-210,201,102-201-210,3,0.36,3.467968,-6.197235,0.954268,0.36
12,3,102-201-210,102,102-201-210,3,0.21,-1.8355,-5.890628,7.06575,0.21
13,1,021,021,021,1,1,-1.753439,2.437126,1.161016,1
14,2,012-020,012,012-020,2,0.77,-8.906864,-2.563225,5.835677,0.77
14,2,012-020,020,012-020,2,0.23,-3.12339,3.129107,-0.648172,0.23
15,2,202-220,220,202,2,0.14,1.296712,2.304471,0.078189,0.14
15,2,202-220,202,202,2,0.86,3.11397,-6.924362,6.143461,0.86
16,2,021-102,102,021-102,2,0.79,-0.476185,-4.256098,5.675729,0.79
16,2,021-102,021,021-102,2,0.21,-4.682564,6.299921,-0.46756,0.21
17,2,102-120,120,102-120,2,0.13,0.439685,6.568983,-3.965654,0.13
17,2,102-120,102,102-120,2,0.87,0.197031,1.287634,1.599118,0.87
18,1,002,002,002,1,1,-3.53183,0.680658,6.483618,1
19,1,020,020,020,1,1,-0.044056,7.312484,-1.460698,1
20,2,120-201,120,120-201,2,0.37,0.650118,5.759277,-5.586629,0.37
20,2,120-201,201,120-201,2,0.63,6.793407,-3.544854,0.823164,0.63
21,2,021-202,202,021-202,2,0.87,1.194371,-6.511062,4.412847,0.87
21,2,021-202,021,021-202,2,0.13,-4.080601,5.805305,1.576203,0.13
22,1,021,021,021,1,1,-1.63546,4.379085,0.954533,1
23,2,202-220,202,202-220,2,0.45,2.532186,-6.100363,0.823164,0.45
23,2,202-220,220,202-220,2,0.55,5.344144,0.179356,-3.981875,0.55
24,1,200,200,200,1,1,8.027966,0.058764,0.672653,1
25,1,202,202,202,1,1,3.270543,-7.007154,3.697135,1
26,2,021-102,102,021,2,0.47,1.80207,-1.528468,4.931574,0.47
26,2,021-102,021,021,2,0.53,-4.785859,5.503771,0.077651,0.53
27,1,200,200,200,1,1,6.818702,-1.171342,0.234824,1
28,2,201-220,220,201-220,2,0.75,1.820869,0.535099,-4.630926,0.75
28,2,201-220,201,201-220,2,0.25,8.180065,-4.366518,0.650118,0.25
29,3,022-202-210,202,022-202-210,3,0.35,0.604225,-3.764612,6.967952,0.35
29,3,022-202-210,210,022-202-210,3,0.15,6.44481,0.441842,-2.94325,0.15
29,3,022-202-210,022,022-202-210,3,0.5,-5.955173,2.594585,2.327314,0.5
30,3,022-202-210,210,022-202-210,3,0.24,6.44481,0.441842,-3.767612,0.24
30,3,022-202-210,202,022-202-210,3,0.31,0.604225,-3.764612,6.953588,0.31
30,3,022-202-210,022,022-202-210,3,0.45,-5.955169,2.594637,1.983284,0.45
31,2,002-201,201,002-201,2,0.33,6.055448,-7.172074,-0.087674,0.33
31,2,002-201,002,002-201,2,0.67,-0.366074,-0.605889,6.342925,0.67
32,2,022-120,022,022-120,2,0.24,-2.933492,3.463229,2.175252,0.24
32,2,022-120,120,022-120,2,0.76,0.77662,8.509814,-3.913906,0.76
