Phase,Count,Frequency
0002-2020,1,1e-4
0012,1,1e-4
0012-0021,1,1e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,11,0.0011
0012-0021-2020,1,1e-4
0012-0102-2020,1,1e-4
0012-0202,13,0.0013
0012-0202-1020,1,1e-4
0012-0202-1201-2011-2020,1,1e-4
0012-0202-2011,1,1e-4
0012-0202-2011-2020,8,8e-4
0012-0202-2011-2020-2201,1,1e-4
0012-0202-2012-2020,1,1e-4
0012-0202-2020,55,0.0055
0012-2020,4,4e-4
0020-0202,2,2e-4
0021-0202,3,3e-4
0021-0202-0211-2020,9,9e-4
0021-0202-0211-2020-2210,2,2e-4
0021-0202-2020,54,0.0054
0021-2020,7,7e-4
0022,2,2e-4
0022-0202,23,0.0023
0022-0202-1020,1,1e-4
0022-0202-1210-2020,1,1e-4
0022-0202-2020,142,0.0142
0022-0202-2020-2101,2,2e-4
0022-0202-2020-2201,2,2e-4
0022-0202-2021,8,8e-4
0022-0212-2020,7,7e-4
0022-2020,26,0.0026
0022-2021,2,2e-4
0102-1002-1021-2020,1,1e-4
0102-1002-2020,1,1e-4
0102-1021,1,1e-4
0102-2001-2020,1,1e-4
0102-2020,4,4e-4
0112-0120-0202-1012-2020,1,1e-4
0112-0120-0202-2011-2020,1,1e-4
0112-0120-0202-2020,8,8e-4
0112-0121-0202-1120-2020,1,1e-4
0112-0121-0202-2012-2020,1,1e-4
0112-0121-0202-2012-2021,1,1e-4
0112-0121-0202-2020,10,0.001
0112-0121-2020,2,2e-4
0112-0202,8,8e-4
0112-0202-1012-2011-2020,2,2e-4
0112-0202-1012-2020,11,0.0011
0112-0202-1120,1,1e-4
0112-0202-1120-1200-2020,1,1e-4
0112-0202-1120-2012-2020,1,1e-4
0112-0202-1120-2020,8,8e-4
0112-0202-2011-2020,6,6e-4
0112-0202-2011-2020-2201,1,1e-4
0112-0202-2012,6,6e-4
0112-0202-2012-2020,11,0.0011
0112-0202-2012-2021,1,1e-4
0112-0202-2020,28,0.0028
0112-0202-2021,1,1e-4
0112-0202-2120,1,1e-4
0112-0212-2020,1,1e-4
0112-1120-2020,1,1e-4
0112-2020,9,9e-4
0120-0201-2020,1,1e-4
0120-0202,7,7e-4
0120-0202-0210-2020,11,0.0011
0120-0202-1020,2,2e-4
0120-0202-2020,58,0.0058
0120-0210-2020,2,2e-4
0120-0212-2020,1,1e-4
0120-2020,11,0.0011
0121,1,1e-4
0121-0122-0202-2020,2,2e-4
0121-0202,4,4e-4
0121-0202-0211,1,1e-4
0121-0202-0211-1021-2020,1,1e-4
0121-0202-0211-2020,5,5e-4
0121-0202-0211-2020-2210,1,1e-4
0121-0202-1021-2020,7,7e-4
0121-0202-1120-2020,5,5e-4
0121-0202-2020,86,0.0086
0121-0202-2020-2200,1,1e-4
0121-0202-2021,2,2e-4
0121-0202-2120,1,1e-4
0121-1021-2020,1,1e-4
0121-2020,10,0.001
0122,4,4e-4
0122-0202,10,0.001
0122-0202-1022,1,1e-4
0122-0202-1022-2020,12,0.0012
0122-0202-1022-2020-2210,1,1e-4
0122-0202-1022-2021,1,1e-4
0122-0202-1120-1201-2020,1,1e-4
0122-0202-1120-2020,18,0.0018
0122-0202-2020,118,0.0118
0122-0202-2020-2200,1,1e-4
0122-0202-2021,12,0.0012
0122-0202-2022,3,3e-4
0122-0202-2120,3,3e-4
0122-0212,1,1e-4
0122-0212-1022-2020,2,2e-4
0122-0212-1120-2020,2,2e-4
0122-0212-2020,10,0.001
0122-0212-2021,1,1e-4
0122-0212-2120,1,1e-4
0122-0222-2020,1,1e-4
0122-1022-2020,4,4e-4
0122-1120-2020,4,4e-4
0122-2020,19,0.0019
0122-2021,1,1e-4
0122-2022,1,1e-4
0122-2120,1,1e-4
0200-2120,1,1e-4
0201-0210-2020,1,1e-4
0201-0220,1,1e-4
0201-2020,7,7e-4
0201-2020-2120-2200,1,1e-4
0201-2020-2200,3,3e-4
0201-2100-2110,1,1e-4
0202,675,0.0675
0202-0210,3,3e-4
0202-0210-0220-2020,1,1e-4
0202-0210-1102-2020-2110,1,1e-4
0202-0210-2001-2020,1,1e-4
0202-0210-2020,57,0.0057
0202-0210-2020-2101-2110,1,1e-4
0202-0210-2020-2102-2110,1,1e-4
0202-0210-2020-2110,7,7e-4
0202-0210-2101-2110,1,1e-4
0202-0211,8,8e-4
0202-0211-0221-2020,1,1e-4
0202-0211-1021-2020,5,5e-4
0202-0211-1021-2020-2210,1,1e-4
0202-0211-1102-1111-2020-2110,1,1e-4
0202-0211-1210,1,1e-4
0202-0211-1210-2020,5,5e-4
0202-0211-2020,29,0.0029
0202-0211-2020-2102-2110,3,3e-4
0202-0211-2020-2210,20,0.002
0202-0211-2120-2210,1,1e-4
0202-0212-1012-2020,1,1e-4
0202-0212-1022-2020,1,1e-4
0202-0212-1201-1211-1220-2020,1,1e-4
0202-0212-2020,3,3e-4
0202-0212-2220,1,1e-4
0202-0220,25,0.0025
0202-0220-1020,1,1e-4
0202-0220-2002-2020,1,1e-4
0202-0220-2020,112,0.0112
0202-0220-2120,8,8e-4
0202-0221,12,0.0012
0202-0221-1012-1021-2020,1,1e-4
0202-0221-1012-1102-2020,1,1e-4
