parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0303-1003-1010,0303-1003-1010,3,3,1
2,0300-0303-1010,0300-0303-1010,3,3,1
3,1011-1211-1303,1011-1211-1303,3,3,1
4,0303-1010-1113,0303-1010-1013-1113,3,4,1
5,0303-1010-1013-1113,0303-1010-1013-1113,4,4,1
6,0010-0210-0300-0303,0010-0210-0300-0303,4,4,1
7,1010-1303,1010-1303,2,2,1
8,0010-0303-0310,0010-0303-0310,3,3,1
9,0302-0303-1012-1013,0302-0303-1012-1013,4,4,1
10,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
11,0303-1010,0303-1010,2,2,1
12,0300-0303-1010,0300-0303-1010,3,3,1
13,1010-1013-1303,1010-1013-1303,3,3,1
14,0300-0303-1010,0300-0303-1010,3,3,1
15,0210-0310,0210-0310-1010,2,3,1
16,0301-0303-1001-1003,0301-0303-1001-1003,4,4,1
17,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
18,0303,0303,1,1,1
19,0303-0310-1010-1013,-1,4,2,0
20,0303,0303,1,1,1
21,0010-0300-0303,0010-0300-0303,3,3,1
22,0010-0013-0313,0010-0013-0313,3,3,1
23,0300-0303-1010,0300-0303-1010,3,3,1
24,0303-0310-1010,0303-0310-1010,3,3,1
25,1010-1103-1300-1303,1010-1103-1300-1303,4,4,1
26,0300-0303-1010-1013-1103,0300-0303-1010-1013-1103,5,5,1
27,0303-1010,0303-1003-1010,2,3,1
28,0303-1010-1013,0303-1010-1013,3,3,1
29,0303-1010-1013,0303-1010-1013,3,3,1
30,0303-0310-1010-1013-1103,0303-0310-1010-1013-1103,5,5,1
31,0300-1010-1110,0300-1010-1110,3,3,1
32,0313-1013,0313-1010-1013,2,3,1
33,0300-0303-1010-1013,0300-0303-1010-1013-1110,4,5,1
34,0300-0303-1003,0200-0300-0303-1003-1010,3,5,1
35,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
36,0303-1010,0303-1010-1013,2,3,1
37,0303-1010-1013,0303-1010-1013,3,3,1
38,0303-1010-1013,0303-1010-1013,3,3,1
39,0300-0303-1010,0300-0303-1010,3,3,1
40,0303-1003-1010,0303-1003-1010,3,3,1
41,0303-0310-1010,0303-0310-1010-1013-1210,3,5,1
42,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
43,0300-0303-1010-1200,0300-0303-1010-1200,4,4,1
44,0303-0310-1110,0303-0310-1010-1110,3,4,1
45,0011-0013-0303,0011-0013-0303,3,3,1
46,0303-1010-1013,0303-1010-1013,3,3,1
47,0303-1010,0303-1010,2,2,1
48,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
49,0303-1013,0303-1013,2,2,1
50,0113-0303-1010-1013,0113-0303-1010-1013,4,4,1
51,0303-1013,0303-1013,2,2,1
52,0210-0310-1010,0210-0310-1010,3,3,1
53,0310-0313-1010-1013,0310-0313-1010-1013,4,4,1
54,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
55,1010-1013,1010-1013,2,2,1
56,0302-0310-1002-1010,0302-1002-1010-1102,4,4,0.75
57,0113-0301-0303-1011-1013,0113-0301-0303-1011-1013,5,5,1
58,1010,1010,1,1,1
59,0300-0303-1010-1013,0110-0300-0303-1010-1013,4,5,1
60,0210-0300-0303-1010,0210-0300-0303-1010,4,4,1
61,0303,0303,1,1,1
62,1010-1303-1310,1010-1303-1310,3,3,1
63,0010-0300-0303,0010-0300-0303,3,3,1
64,0303-0310-1010,-1,3,2,0
65,0300-0303-1010-1013,0300-0303-1010-1013-1113,4,5,1
66,0300-0303-1010,0300-0303-1010,3,3,1
67,0010-0303,0010-0303,2,2,1
68,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
69,0303,-1,1,2,0
70,0303-1010-1013,0303-1010-1013,3,3,1
71,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
72,0300-1010,0300-1010,2,2,1
73,0303-1010-1013,0303-1010-1013,3,3,1
74,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
75,0300-0303-1010,0300-0303-1010-1200,3,4,1
76,1010,1010,1,1,1
77,1010-1303,1003-1010-1303,2,3,1
78,0303-1003,0303-1003,2,2,1
79,1010-1303,1003-1010-1303,2,3,1
80,0313-1013,0313-1013,2,2,1
81,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
82,0303-1003-1010,0300-0303-1003-1010,3,4,1
83,0303,0303,1,1,1
84,0300-1010,0300-0302-1010-1012,2,4,1
85,0110-0303-0310,0110-0303-0310,3,3,1
86,1010,1010,1,1,1
87,1010,1010,1,1,1
88,0303-1003,0303-1003,2,2,1
89,1010-1013-1303,1010-1013-1303,3,3,1
90,0210-1010-1012,0210-0212-0302-1010-1012,3,5,1
91,1001-1003-1303,1001-1003-1303,3,3,1
92,0300-0303-1010,0300-0303-1010,3,3,1
93,1013-1303,1013-1303,2,2,1
94,0303-1010-1013,0303-1010-1013,3,3,1
95,0010-0300-0303,0010-0300-0303,3,3,1
96,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
97,0303-1010,0303-1010,2,2,1
98,1011-1301,1011-1301,2,2,1
99,0113-0303-0310-1010-1013,-1,5,2,0
100,0313-1013,0313-1010-1013,2,3,1
101,0311-0313-1011-1013,0311-0313-1011-1013,4,4,1
102,0300-1010,0300-1010,2,2,1
103,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
104,1010,1010,1,1,1
105,0303-1013,0303-1010-1013,2,3,1
106,0303-1013,0303-1013-1103,2,3,1
107,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
108,0303-0311-1011-1013,0303-0311-1011-1013-1111-1113,4,6,1
109,0312-1010-1012,0312-1010-1012,3,3,1
110,0303-1003,-1,2,2,0
111,1303,1103-1303,1,2,1
112,0303-1010-1013,0303-1010-1013,3,3,1
113,0303-0310-1003-1010,0303-0310-1003-1010,4,4,1
114,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
115,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
116,1010-1013-1303,1010-1013-1303,3,3,1
117,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
118,0010-0303,0010-0303,2,2,1
119,0010-0300-0303,0010-0300-0303,3,3,1
120,0302-1002-1010,0302-1002-1010,3,3,1
121,0300-0303-1010,0300-0303-1003-1010,3,4,1
122,0300-0303,0300-0303,2,2,1
123,0303-1003-1010,0303-1003-1010,3,3,1
124,0303-1010,0303-1010-1013,2,3,1
125,0303-1013,0303-1013,2,2,1
126,0300-0303-1010,0300-0303-1010,3,3,1
127,0303-1010-1013,0303-1010-1013,3,3,1
128,0301-0303,0301-0303,2,2,1
129,0303-1010-1013,0303-1010-1013,3,3,1
130,0010,0010-0210,1,2,1
131,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
132,1002-1010,1002-1010,2,2,1
133,0300-1010,0300-1010,2,2,1
134,1003-1303,1003-1303,2,2,1
135,0303-1013,0303-1013,2,2,1
136,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
137,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
138,0303-1003-1010,0303-1003-1010,3,3,1
139,0300-0303-1010,0300-0303-1010,3,3,1
140,0303-1010-1013,0303-1010-1013-1113,3,4,1
141,1010,1010,1,1,1
142,0010-0113-0300-0303,0010-0113-0300-0303,4,4,1
143,1010-1013-1303,1010-1013-1303,3,3,1
144,1010-1013-1103-1303,1010-1013-1103-1303,4,4,1
145,1303,1303,1,1,1
146,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
147,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
148,0303,0300-0303-1010,1,3,1
149,0301-0303-1001,0301-0303-1001,3,3,1
150,0303-1010-1013,0303-1010-1013,3,3,1
151,0303-1010-1013,0303-1010-1013,3,3,1
152,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
153,0210-1010,0210-1010,2,2,1
154,0010-0300-0303,0010-0300-0303,3,3,1
155,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
156,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
157,0310-1010,0310-1010,2,2,1
158,1010-1013-1303,1010-1013-1303,3,3,1
159,1203-1303,1203-1303,2,2,1
160,1010-1303,1010-1303,2,2,1
161,0300-0303-1010-1013,0300-0303-1010-1013-1113,4,5,1
162,0300-0303-1010,0300-0303-1010,3,3,1
163,0210-1010,0210-1010,2,2,1
164,0303-1003-1010,0303-1003-1010,3,3,1
165,0300-0303-1010,0300-0303-1010,3,3,1
166,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
167,1010-1013-1303,1010-1013-1303,3,3,1
168,0113-0303-1010-1013,0113-0303-1010-1013,4,4,1
169,0303-1010-1013,0303-1010-1013-1113,3,4,1
170,0300-0303-1010,0300-0303-1010,3,3,1
171,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
172,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
173,1010,1010,1,1,1
174,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
175,0300-0302-1010,0300-0302-1010,3,3,1
176,0303-1010-1013,0303-1010-1013,3,3,1
177,0303-0311-1003-1011,0303-0311-1003-1011,4,4,1
178,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
179,1003-1010-1303,1003-1010-1303,3,3,1
180,1010,1010,1,1,1
181,0113-0303-1010-1013,0113-0303-1010-1013,4,4,1
182,0302-0303-1013,0302-0303-1012-1013,3,4,1
183,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
184,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
185,0303-0310-1010-1210,0303-0310-1010-1210,4,4,1
186,1010-1013-1303,1010-1013-1303,3,3,1
187,0310-0313-1010,0310-0313-1010-1110,3,4,1
188,1010-1013-1303,1010-1013-1303,3,3,1
189,0303-1003,0303-1003,2,2,1
190,0303-1003-1010-1203,0303-1003-1010-1203,4,4,1
191,0303-1010-1013,0303-1010-1013,3,3,1
192,1303,1303,1,1,1
193,0303-1010-1013,0303-1010-1013,3,3,1
194,0110-0303-0310,0010-0110-0303,3,3,0.6666666666666666
195,0002-0010-0300-0302,0002-0010-0300-0302,4,4,1
196,0310-0312-1010-1012-1310,0310-0312-1010-1012,5,4,0.8
197,0303,0303,1,1,1
198,0300-0302-1010-1012,0300-0302-1010-1012,4,4,1
199,0301-0303-1001,0201-0301-0303-1001,3,4,1
200,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
201,0300-0302-1010-1012,0300-0302-1010-1012,4,4,1
202,0303-1010-1013,0303-1010-1013,3,3,1
203,0303,0211-0303-0311,1,3,1
204,0300-0303-1010-1013,0300-0303-1010-1013-1113,4,5,1
205,0300-0303-1010,0300-0303-1010,3,3,1
206,0303-1010-1013,0303-1010-1013,3,3,1
207,1010-1300-1303,1010-1110-1300-1303,3,4,1
208,0300-1010,0300-1010,2,2,1
209,0010,0010,1,1,1
210,0300-1010,0300-1010,2,2,1
211,0303-1010-1013,0303-1010-1013,3,3,1
212,1010-1011,1010-1011,2,2,1
213,0303-1003,0303-1003,2,2,1
214,0300-0303,0300-0303-1010,2,3,1
215,0302-1002-1010,0302-1002-1010-1102,3,4,1
216,0300-0302-1010,0300-0302-1010-1012-1110,3,5,1
217,0303-1013-1103,0303-1013-1103,3,3,1
218,0303-1010-1013,0303-1010-1013,3,3,1
219,1010,1010,1,1,1
220,1010-1200-1303,1010-1103-1200-1303,3,4,1
221,1113-1303,1013-1113-1303,2,3,1
222,0010-0013-0300-0303,0010-0013-0300-0303,4,4,1
223,0310-1010,0310-1010,2,2,1
224,1010-1113-1303,1010-1013-1113-1303,3,4,1
225,1010-1013-1303,1010-1013-1303,3,3,1
226,0303-1013,0303-1013,2,2,1
227,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
228,0303-0310-1010,0303-0310-1010,3,3,1
229,1010-1103-1300-1303,1010-1103-1300-1303,4,4,1
230,0303-1013,0303-1013,2,2,1
231,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
232,0303-1010-1013,0303-1010-1013,3,3,1
233,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
234,0303-1003,0303-1003,2,2,1
235,1010-1013-1303,1010-1013-1303,3,3,1
236,0303,0303,1,1,1
237,1010-1013-1303,1010-1013-1303,3,3,1
238,0303,0303,1,1,1
239,1001-1003-1303,1001-1003-1303,3,3,1
240,0303-1003-1010,0303-1003-1010,3,3,1
241,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
242,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
243,0313-1010-1013,0313-1010-1013,3,3,1
