parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0010,0010-0013-0113-0303,1,4,1
2,1010,1010,1,1,1
3,0303-1003-1010,0303-1003-1010,3,3,1
4,0011,0010-0012,1,2,0
5,0303,0303-1003,1,2,1
6,0013-0303,0012-0013-0302-0303,2,4,1
7,1012,0303-1010-1013,1,3,0
8,1010,1010,1,1,1
9,1013,0203-0303-1010-1013,1,4,1
10,0303-1013,0300-0303-1003-1010,2,4,0.5
11,1303,1010-1013-1303,1,3,1
12,0303-1010,0303-1003-1010,2,3,1
13,0210-0311,0010-0110-0303,2,3,0
14,0303,0303-1003-1010,1,3,1
15,0300-0303-1010,0300-0303-1003-1010,3,4,1
16,1013,0203-0303-1010-1013,1,4,1
17,0303,0300-0303-1010,1,3,1
18,1010,1010,1,1,1
19,0303,0301-0303-1001-1003-1103,1,5,1
20,1013,0303-1010-1013,1,3,1
21,1002,1002-1010,1,2,1
22,0110,0010-0300-0303,1,3,0
23,0303,0303,1,1,1
24,1010,1010,1,1,1
25,0303,-1,1,2,0
26,0301-0303,0101-0301-0303-1001-1003,2,5,1
27,0112-0302-1012,0300-0303-1010-1013,3,4,0
28,1012,0303-1003-1010,1,3,0
29,0303,0303-1103,1,2,1
30,0010,0010-0013-0300-0303,1,4,1
31,0300-1010,0300-1010,2,2,1
32,1010,1010,1,1,1
33,0300-1010,0300-0303-1003-1010,2,4,1
34,1011,1003-1011,1,2,1
35,1010,0300-0302-1002-1010,1,4,1
36,1013,0303-1010-1013,1,3,1
37,1010,1010,1,1,1
38,0302-1012,0202-0302-1010-1012,2,4,1
39,0303,0003-0010-0300-0303,1,4,1
40,0303-1013,0303-1003-1010,2,3,0.5
41,0303,0103-0303-1003-1010,1,4,1
42,0303-1010-1013,0300-0303-1003-1010,3,4,0.6666666666666666
43,1000,0300-0302-1000-1002,1,4,1
44,1010,0300-1010,1,2,1
45,0303-1013,0303-1003-1010-1103,2,4,0.5
46,0303-1013,0103-0303-1003-1010,2,4,0.5
47,0310-1010,0310-1010,2,2,1
48,1010,1010,1,1,1
49,0300-0303-1000,0300-0303-1000-1003,3,4,1
50,0303,0303-1003,1,2,1
51,0303-1013,0300-0303-1010-1013,2,4,1
52,0303-1003-1010,0303-1003-1010-1203,3,4,1
53,0010-0303,0003-0010-0303,2,3,1
54,1010,1010,1,1,1
55,1010,1010,1,1,1
56,1010,1010,1,1,1
57,0303-1013,0303-1003-1010,2,3,0.5
58,0310-1010,0110-1010,2,2,0.5
59,0303,0303-1013-1113,1,3,1
60,0302-0303-1002-1003,0302-0303-1002-1003,4,4,1
61,0302-1000,0300-0303-1000-1003,2,4,0.5
62,0303-1013,0303-1003-1010,2,3,0.5
63,0300-0303-1010-1110,0300-0303-1010,4,3,0.75
64,1011,0303-1003-1010,1,3,0
65,1010,0300-0303-1010-1013,1,4,1
66,0010,0010-0300,1,2,1
67,0303,0300-0303-1010-1013,1,4,1
68,0303,0010-0300-0303,1,3,1
69,0011,0003-0010-0303,1,3,0
70,1010,0300-1010,1,2,1
71,0303-1013,0303-1003-1010,2,3,0.5
72,1013,0303-1010-1013,1,3,1
73,1013,1010-1013,1,2,1
74,0301-1011,0301-0303-1003-1011-1103,2,5,1
75,1010,0303-1003-1010,1,3,1
76,0300-1010,0300-0303-1003-1010,2,4,1
77,0303-1003,0303-1003-1010,2,3,1
78,0303-1003,0303-1003-1203,2,3,1
79,1013,0303-1010-1013,1,3,1
80,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
81,1010,0300-0301-1010-1011,1,4,1
