parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,1010,1010,1,1,1
2,0010-0303,0003-0010-0303,2,3,1
3,0010,0010-0300,1,2,1
4,1010,1010,1,1,1
5,0010-0303,0003-0010-0303,2,3,1
6,1010,1010,1,1,1
7,0010,0010-0200,1,2,1
8,0010,0010-0013-0303,1,3,1
9,1010,0300-0303-1003-1010,1,4,1
10,0010,0010-0013-0110-0303,1,4,1
11,0010-0303,0010-0303,2,2,1
12,0000-0300-0303,0000-0300-0303,3,3,1
13,0303,0011-0301-0303,1,3,1
14,1010,0300-0303-1003-1010,1,4,1
15,0303-1013,0200-0300-0303-1010-1013-1103,2,6,1
16,0303-1010-1013,0300-0303-1010-1013,3,4,1
17,0300-1010,0300-0302-1002-1010-1102,2,5,1
18,0013-0303,0010-0103-0300-0303,2,4,0.5
19,0303,0300-0303-1003-1010,1,4,1
20,1010,1010-1011,1,2,1
21,0303,0303-1103,1,2,1
22,0300-0303,0010-0300-0303,2,3,1
23,0303,0301-0303,1,2,1
24,0303-1003,0303-1003-1010,2,3,1
25,0300-1010,0300-1010,2,2,1
26,0300-1010,0300-0303-1003-1010,2,4,1
27,1010,1010,1,1,1
28,0300,0300,1,1,1
29,0300-0303-1010,0300-0303-1003-1010,3,4,1
30,0303,0010-0303-0310,1,3,1
31,1010,0303-1010-1013,1,3,1
32,0300-0303,0000-0300-0303,2,3,1
33,0301-1011,1010-1011,2,2,0.5
34,1010,0300-1010,1,2,1
35,0303-1010-1013,-1,3,2,0
36,0303,0203-0301-0303-1001-1003,1,5,1
37,0303,0101-0301-0303-1001-1003,1,5,1
38,0012-0302,0002-0010-0102,2,3,0
39,0313-1010-1013,0303-1010-1013,3,3,0.6666666666666666
40,1013-1303,1003-1303,2,2,0.5
41,0303-1010-1013,0300-0303-1003-1010,3,4,0.6666666666666666
42,1010-1303,1003-1010-1303,2,3,1
43,0303,0303-1003,1,2,1
44,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
45,1010,0300-0303-1003-1010-1103,1,5,1
46,0010-0300-0303,0010-0013-0110-0300-0303,3,5,1
47,1010,1010,1,1,1
48,0303-1010,0103-0303-1003-1010,2,4,1
49,0300-0303-1010,0300-0303-1003-1010,3,4,1
50,0303,0010-0300-0303,1,3,1
51,0303,0303-1010,1,2,1
52,1010,0300-0303-1010-1013,1,4,1
53,0303-1003,0303-1003-1010,2,3,1
54,1010,1010,1,1,1
55,0300-0303-1010,0200-0300-0303-1010-1103,3,5,1
56,0303,0300-0303-1010,1,3,1
57,0303,0010-0300-0303,1,3,1
58,0303-1013,0103-0301-0303-1003-1011,2,5,0.5
59,1010-1303,1010-1303,2,2,1
60,0302-1012,0300-0303-1003-1010-1103,2,5,0
61,0303,0303-1010,1,2,1
62,0300-0303-1010,0300-0303-1003-1010,3,4,1
63,0010,0010,1,1,1
64,1010,1010,1,1,1
65,0010,0010,1,1,1
66,0300-1010,0300-1010,2,2,1
67,0300-1010,0300-1010,2,2,1
68,0010-0300,0010-0300,2,2,1
69,1010,1010-1011,1,2,1
70,1010,0300-1010,1,2,1
71,0302-1010-1012,0203-0303-1003-1010,3,4,0.3333333333333333
72,0303,0303-0310-1003-1010,1,4,1
73,0303-1003,0203-0303-1003-1010,2,4,1
74,1010,1010-1012,1,2,1
75,0300-1010,0200-0300-1010,2,3,1
76,1010,0300-1010,1,2,1
77,0303-0310-1010,0303-1003-1010,3,3,0.6666666666666666
78,1010,1010-1013-1303,1,3,1
79,0010,0010,1,1,1
80,1010,0300-0301-1010-1011,1,4,1
81,0300-0303-1010,0300-0303-1003-1010,3,4,1
82,0300-1010,0300-1010,2,2,1
83,0303,0010-0300-0303,1,3,1
84,1013-1303,1003-1010-1303,2,3,0.5
85,0303,0301-0303-1003-1011,1,4,1
86,0303,0303-1013,1,2,1
87,0303-1013,0303-1010-1013,2,3,1
88,1010-1013,0303-1003-1010,2,3,0.5
89,0010-0012-0302,0010-0012-0302,3,3,1
90,1001,0301-1001,1,2,1
91,1010,1010,1,1,1
92,0303-1010,0300-0303-1003-1010,2,4,1
93,0310-1010,0303-1003-1010,2,3,0.5
94,1010,1010,1,1,1
95,1003,1003-1010,1,2,1
96,0302-1010-1012,0300-0302-1002-1010,3,4,0.6666666666666666
97,1010,0212-1010-1012,1,3,1
98,0010-0013,0003-0010-0303,2,3,0.5
99,0303,0300-0303-1003-1010,1,4,1
100,0303,0010-0300-0303,1,3,1
101,1010,0303-1010-1013,1,3,1
102,0300-0303-1010,0300-0303-1003-1010,3,4,1
103,0303-1003-1010,0303-1003-1010,3,3,1
104,1010,1010-1011,1,2,1
105,1010,1002-1010-1102,1,3,1
106,0010,0010-0013-0303,1,3,1
107,1010,1003-1010,1,2,1
108,0303-1010,0303-1003-1010,2,3,1
109,0303-1003,0103-0303-1003-1010,2,4,1
110,0303-1003,0302-0303-1002-1003,2,4,1
111,0303-1003,0300-0303-1003-1010,2,4,1
112,0010,0010,1,1,1
113,0303,0303-1013-1113,1,3,1
114,1010,-1,1,2,0
115,1010,1010,1,1,1
116,0303,0303-1003,1,2,1
117,0010,0003-0010-0303,1,3,1
118,0303,0300-0303-1003-1010,1,4,1
119,0303,0303-1003,1,2,1
120,0303-1010,-1,2,2,0
121,0010-0300-0303,0010-0300-0303,3,3,1
122,0300-1010,0300-0303-1010,2,3,1
123,0303-1010,0303-1003-1010,2,3,1
124,1010,1010,1,1,1
125,0303,0303,1,1,1
126,0303-1010,0303-1010,2,2,1
127,1010,1010-1011,1,2,1
128,0010,0010-0300,1,2,1
129,0300-1010,0303-1003-1010,2,3,0.5
130,0300-1010,0300-1010,2,2,1
131,0303,0101-0301-0303-1001,1,4,1
132,1010,0303-1010-1013,1,3,1
133,1010,1010,1,1,1
134,1012,1002-1010,1,2,0
135,1010,1010,1,1,1
136,1003,1000-1003,1,2,1
137,0300-1010,0300-1010,2,2,1
138,0303-1013,0303-1003-1010,2,3,0.5
139,0303,0303-0311-1003-1011,1,4,1
140,0211-1010-1011,0300-0301-1010-1011,3,4,0.6666666666666666
141,1010,0300-0303-1003-1010,1,4,1
142,0303,0201-0203-0301-0303-1003-1011,1,6,1
143,1010,0303-1003-1010,1,3,1
144,1010,0303-1003-1010,1,3,1
145,0303-1013,0303-1003-1010,2,3,0.5
146,0301-1011,0300-0301-1010-1011,2,4,1
147,0303,0303-1003,1,2,1
148,0303,0300-0303-1003-1010,1,4,1
149,0303-1010,0300-0303-1003-1010,2,4,1
150,1010,1010,1,1,1
151,0303-1013,0303-1003-1010,2,3,0.5
152,1003-1303,1003-1010,2,2,0.5
153,0303-1003-1010,0300-0303-1003-1010,3,4,1
154,0300-0302-1010-1012,0300-0302-1002-1010,4,4,0.75
155,0302-1010-1012,0300-0302-1002-1010,3,4,0.6666666666666666
156,1010,1010,1,1,1
157,0303-1010-1013,0300-0303-1003-1010,3,4,0.6666666666666666
158,0303-1010,0303-1003-1010,2,3,1
159,0010,0010-0103-0303,1,3,1
160,1010,0302-1010-1012,1,3,1
161,0010,0010-0303,1,2,1
162,0010,0010-0300,1,2,1
163,0303-1010-1013,0203-0303-1010-1013,3,4,1
164,1013,1003-1010-1103,1,3,0
165,0301-1011,1010-1011,2,2,0.5
166,0303-1013,0303-1010-1013,2,3,1
167,0010-0300-0302,0010-0012-0300-0302,3,4,1
168,1010,0300-0303-1010-1013-1203,1,5,1
169,0300,0010-0200,1,2,0
170,0303-1013,0303-0311-1011-1013,2,4,1
171,0010-0300,0010-0300-0303,2,3,1
172,0010,0010,1,1,1
173,0303-1000-1003,0303-1000-1003,3,3,1
174,0010-0303,0010-0300-0303,2,3,1
175,0303-1003-1010,0300-0303-1003-1010,3,4,1
176,0013-0303,0010-0300-0303,2,3,0.5
177,0313,0313-1013,1,2,1
178,0300-1010,0200-0300-1010,2,3,1
179,1013-1203,1010-1013-1203,2,3,1
180,0303,0303-1003,1,2,1
181,0302-1002-1010,1002-1010,3,2,0.6666666666666666
182,0303-1010-1013,0103-0303-1003-1010,3,4,0.6666666666666666
183,0303-1003,0203-0303-1003-1010,2,4,1
184,0010-0303,0010-0303,2,2,1
185,0010,0010,1,1,1
186,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
187,0303,0303-1010,1,2,1
188,1013,0303-1010-1013,1,3,1
189,1303,1003-1010-1303,1,3,1
190,1000,1003-1010,1,2,0
191,1010,0303-1003-1010,1,3,1
192,0303-1003-1010,0303-1003-1010,3,3,1
193,0010,0010,1,1,1
194,0010-0013-0303,0003-0010-0303,3,3,0.6666666666666666
195,1010,1010,1,1,1
196,1010,1010,1,1,1
197,1003-1303,1003-1010,2,2,0.5
198,1010-1013,1010-1013-1303,2,3,1
199,1010,1010,1,1,1
200,0303,0111-0201-0301-0303,1,4,1
201,0303,0303-1003-1103,1,3,1
202,1010,1010,1,1,1
203,1010,0300-1010,1,2,1
204,0303,0300-0303-1003-1010,1,4,1
205,0010,0003-0010-0303,1,3,1
206,1010-1013-1303,1010-1013-1303,3,3,1
207,1010,0300-0303-1003-1010,1,4,1
208,1010,0300-0302-1002-1010,1,4,1
209,0313-1013,0103-0303-1003-1010,2,4,0
210,0303,0301-0303-1001,1,3,1
211,1003-1010,1003-1010-1303,2,3,1
212,1010,0300-1010,1,2,1
213,0311-1011,0311-1011,2,2,1
214,1010-1303,1010-1303,2,2,1
215,1010,1010-1012,1,2,1
216,0010,0010-0203-0303,1,3,1
217,0300-0303-1010,0300-0303-1010,3,3,1
218,0303-1000-1003,0303-1000-1003,3,3,1
219,1010,1010,1,1,1
220,0010-0303,0010-0300-0303,2,3,1
221,0303,0010-0200-0300-0303,1,4,1
222,1010,0303-1003-1010,1,3,1
223,0303,0303,1,1,1
224,0303-1010-1013,0300-0303-1010,3,3,0.6666666666666666
225,0303,0300-0303-1003-1010,1,4,1
226,1010,0300-1010,1,2,1
227,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
228,0303-1013,0303-1003,2,2,0.5
229,0010-0303,0010-0103-0303,2,3,1
230,0010-0302,0010-0012-0300-0302,2,4,1
231,0310-1010,0303-0310-1010-1013,2,4,1
232,0303-1013,0303-1010-1013,2,3,1
233,0303-1013,0303-1013,2,2,1
234,0300-0303-1010,0300-0303-1010,3,3,1
235,0303,0301-0303-1011-1111,1,4,1
236,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
237,0010-0303,0010-0203-0303,2,3,1
238,0303,0300-0303-1000,1,3,1
