parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-1010,0300-1010,2,2,1
2,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
3,1010,1010,1,1,1
4,0300-0303-1010,0300-0303-1010,3,3,1
5,0300-0303-1010-1013,0300-0303-1010-1103,4,4,0.75
6,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
7,1010,1010,1,1,1
8,0300-1010,0300-1010,2,2,1
9,1010,1010,1,1,1
10,1003-1010-1303,1003-1010-1303,3,3,1
11,0211-0303-0311-1011-1013,0211-0303-0311-1011-1013,5,5,1
12,1010,1010,1,1,1
13,0303,0303,1,1,1
14,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
15,0301-0303-1011-1013,0301-0303-1011-1013-1113,4,5,1
16,0310-1010,0303-0310-1010-1013,2,4,1
17,0302-1010-1012,1010-1012,3,2,0.6666666666666666
18,0300-0303-1010-1013,0300-0303-1010-1013-1103,4,5,1
19,1010-1013,1010-1013,2,2,1
20,0303-1010-1013,0303-1010-1013,3,3,1
21,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
22,0010-0210-0303,0010-0210-0303,3,3,1
23,0113-0300-0303-1010,0113-0300-0303-1010,4,4,1
24,0303-1010-1013,0303-1010-1013,3,3,1
25,0303-0310-1010-1013,0113-0303-0310-1010-1013,4,5,1
26,0310-1010,0303-0310-1010-1013,2,4,1
27,0300-0303-1010-1013,0300-0303-1010-1013-1113,4,5,1
28,0303-1010-1013,0303-1010-1013-1113,3,4,1
29,0300-0303-1010,0300-0303-1010,3,3,1
30,0303-1010,0303-1010-1013,2,3,1
31,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
32,0113-0303-0310-1010-1013,0113-0303-0310-1010-1013,5,5,1
33,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
34,0303,0300-0303-1003-1010,1,4,1
35,0300-0303-1010,0300-0303-1010,3,3,1
36,0303-1010-1013,0303-1010-1013-1103,3,4,1
37,0303-1013,0303-1013-1103,2,3,1
38,0303-1010-1013,0303-1010-1013,3,3,1
39,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
40,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
41,0010,0010,1,1,1
42,0303-1003,0303-1003,2,2,1
43,0300-0303-1010,0300-0303-1010-1013-1100,3,5,1
44,1010,1010,1,1,1
45,0300-0303-1003-1010,-1,4,2,0
46,0303-1003-1010,-1,3,2,0
47,1010-1013-1303,1010-1013-1303,3,3,1
48,0300-0303-1010-1200,0300-0303-1010-1200,4,4,1
49,0310-1010,0310-1010,2,2,1
50,0300-1010,0300-1010,2,2,1
51,0310-1010,0310-1010,2,2,1
52,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
53,1010,1010,1,1,1
54,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
55,1010-1012,1010-1012,2,2,1
56,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
57,0303-1010-1013,0213-0303-1010-1013,3,4,1
58,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
59,0210-0300-0303-1010,0210-0300-0303-1010,4,4,1
60,1010-1300-1303,1010-1300-1303,3,3,1
61,1010-1013-1303,1010-1013-1303,3,3,1
62,0303-1013,0301-0303-1011-1013,2,4,1
63,0303-0311-1011-1013-1103,0303-0311-1011-1013-1103,5,5,1
64,0303-0310-1010-1013,0303-1010-1013,4,3,0.75
65,0303-1003-1010,0303-1003-1010,3,3,1
66,0303,0303-1003,1,2,1
67,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
68,0010-0110-0303,0010-0210-0303,3,3,0.6666666666666666
69,0301-0303-1011-1013,0301-0303-1011-1013-1103,4,5,1
70,0300-0303-1010,0300-0303-1010,3,3,1
71,1013-1303,1013-1303,2,2,1
72,0013-0303,0013-0303,2,2,1
73,1003-1010-1303,1003-1010-1303,3,3,1
74,1010,1010,1,1,1
75,0300-0303-1010-1013,0300-0303-1010-1013-1200,4,5,1
76,1011-1103-1303,1011-1103-1303,3,3,1
77,0310-1010,0310-1010,2,2,1
78,0303-1010-1013,0303-1010-1013,3,3,1
79,0111-0301-0303,0111-0301-0303-1011,3,4,1
80,0300-0302-1002-1010,0300-0302-1002-1010,4,4,1
81,0013-0303,0010-0013-0303,2,3,1
82,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
83,0300-0303-1010,0300-0303-1010,3,3,1
84,0300-0302-1010,0200-0300-0302-1010,3,4,1
85,0303-0310-1010-1013,0303-1010-1013-1113,4,4,0.75
86,0303,0303,1,1,1
87,0300-1010,0300-1010,2,2,1
88,0200-0300-1010,0200-0300-1010,3,3,1
89,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
90,1003-1010-1300-1303,1003-1010-1303,4,3,0.75
91,0010-0013-0303,0010-0013-0303,3,3,1
92,0303,0303-1013,1,2,1
93,0303-1003,0303-1003-1010,2,3,1
94,1010,1010,1,1,1
95,1010,1010,1,1,1
96,0303-1010-1013,0210-0303-1010-1013,3,4,1
97,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
98,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
99,0313-1013,0313-1013,2,2,1
100,0303,0303,1,1,1
101,0303,0303,1,1,1
102,1010-1013-1303,1010-1013-1303,3,3,1
103,0303-1010,0303-1010,2,2,1
104,1010-1013,0313-1010-1013,2,3,1
105,1010-1011,0310-0311-1010-1011,2,4,1
106,0303-1003-1010,0303-1003-1010,3,3,1
107,1010-1013-1303,1010-1013-1303,3,3,1
108,0303-1010-1013,0303-1010-1013,3,3,1
109,0310-1010,0310-1010,2,2,1
110,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
111,0300-1010,0300-1010,2,2,1
112,0300-0303-1010,0300-0303-1010,3,3,1
113,1010,1010,1,1,1
114,1010-1013-1303,1010-1013-1303,3,3,1
115,1011-1013-1311-1313,1011-1013-1311-1313,4,4,1
116,0303,0303,1,1,1
117,0213-0303-1010-1013,0213-0303-1010-1013,4,4,1
118,0303,0013-0303,1,2,1
119,0300-1010,0210-0300-1010,2,3,1
120,0303-1010-1013,0303-1010-1013,3,3,1
121,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
122,0300-0303-1010,0200-0300-0303-1010,3,4,1
123,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
124,0010-0303-0310,0010-0303,3,2,0.6666666666666666
125,0310-0311-1010-1011,0310-0311-1010-1011,4,4,1
126,0303-1013,0303-1013,2,2,1
127,0303-1010-1013,0303-1010-1013,3,3,1
128,0310-1010,0310-1010,2,2,1
129,0310-1010,0310-1010,2,2,1
130,0303-1010-1013,0303-1010-1013,3,3,1
131,0300-0303-1010,0300-0303-1010,3,3,1
