parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,022-200,022,022-200,2,0.96,-8.896848,3.658416,1.095153,0.96
1,2,022-200,200,022-200,2,0.04,2.382135,0.640671,-1.228388,0.04
2,3,002-020-200,002,002-020-200,3,0.19,-2.165796,-2.99553,4.491657,0.19
2,3,002-020-200,020,002-020-200,3,0.56,-1.660424,3.581859,-1.572378,0.56
2,3,002-020-200,200,002-020-200,3,0.25,3.897794,-1.119735,0.199395,0.25
3,1,202,202,202,1,1,2.742079,-10.259298,1.791997,1
4,1,002,002,002,1,1,-1.620499,-0.179878,6.35072,1
5,2,021-102,021,021-102,2,0.23,-4.881646,5.676081,0.9772,0.23
5,2,021-102,102,021-102,2,0.77,1.651343,-0.869956,1.436281,0.77
6,1,220,220,021-220,1,1,2.908153,6.4683,-4.566318,1
7,1,120,120,120,1,1,1.761418,1.962077,-1.922643,1
8,2,020-200,200,020-200,2,0.12,3.151734,0.292065,-4.305699,0.12
8,2,020-200,020,020-200,2,0.88,-3.358465,6.585842,-4.761439,0.88
9,2,120-210,210,120-210,2,0.77,7.053622,0.174997,-5.584441,0.77
9,2,120-210,120,120-210,2,0.23,0.766398,5.567272,-5.56406,0.23
10,1,022,022,022,1,1,-7.613494,1.365234,3.998842,1
11,2,012-020,020,012-020,2,0.34,-1.715625,4.382828,-1.725636,0.34
11,2,012-020,012,012-020,2,0.66,-7.940401,0.354781,3.866357,0.66
12,2,022-200,200,022-200,2,0.73,5.755936,-0.059429,0.151293,0.73
12,2,022-200,022,022-200,2,0.27,-1.293102,1.712356,1.771563,0.27
13,2,120-201,201,120-201,2,0.53,6.992555,-3.258861,0.782447,0.53
13,2,120-201,120,120-201,2,0.47,0.406905,7.116942,-5.709254,0.47
14,2,120-210,210,120-210,2,0.73,6.164452,1.394683,-5.687666,0.73
14,2,120-210,120,120-210,2,0.27,0.395643,5.634541,-5.687847,0.27
15,1,021,021,021,1,1,-6.355682,6.444277,0.606469,1
16,1,120,120,022-120,1,1,-0.209572,7.189898,-2.037348,1
17,1,102,102,102,1,1,0.871029,-7.971513,8.476075,1
18,2,002-200,200,002-200,2,0.95,5.418572,-1.904559,-2.250029,0.95
18,2,002-200,002,002-200,2,0.05,-1.093735,-1.759074,3.895327,0.05
19,1,002,002,002,1,1,-2.110161,0.532855,5.450041,1
20,2,002-210,002,-1,2,0.88,-0.67278,-0.974829,8.13788,0.88
20,2,002-210,210,-1,2,0.12,5.907146,1.209696,-4.178302,0.12
21,2,012-210,012,012-210,2,0.42,-3.548517,0.784096,4.558739,0.42
21,2,012-210,210,012-210,2,0.58,1.903855,0.449155,-1.092916,0.58
22,2,022-202,202,022-202,2,0.14,0.729854,-1.847322,2.084281,0.14
22,2,022-202,022,022-202,2,0.86,-5.859591,1.592576,3.679499,0.86
23,1,022,022,022,1,1,-6.360629,2.731854,1.198344,1
24,1,200,200,200,1,1,8.632261,-3.166298,0.123296,1
25,1,210,210,210,1,1,6.704771,0.688909,-3.974351,1
26,2,012-022,012,012,2,0.86,-7.155003,-0.009516,7.601444,0.86
26,2,012-022,022,012,2,0.14,-7.127665,2.724599,1.796248,0.14
27,2,022-220,022,201-220,2,0.08,-2.268022,1.444165,3.37135,0.08
27,2,022-220,220,201-220,2,0.92,2.882714,3.857752,-5.708416,0.92
28,2,021-201,201,021-201,2,0.04,6.49359,-2.099088,1.074347,0.04
28,2,021-201,021,021-201,2,0.96,0.123556,1.430165,1.432339,0.96
29,2,112-220,112,112-220,2,0.26,0.511834,0.082366,5.637876,0.26
29,2,112-220,220,112-220,2,0.74,6.546004,1.84541,-5.672537,0.74
30,2,120-202,120,120-202,2,0.22,-0.069538,4.049769,-1.5549,0.22
30,2,120-202,202,120-202,2,0.78,5.250105,-6.827998,3.791462,0.78
31,2,201-220,201,201-220,2,0.36,7.317225,-3.27161,-0.189254,0.36
31,2,201-220,220,201-220,2,0.64,1.604065,2.625428,-6.659987,0.64
32,2,021-102,102,021-102,2,0.19,0.497227,-2.566402,7.274624,0.19
32,2,021-102,021,021-102,2,0.81,-5.558456,7.56467,1.645734,0.81
33,1,021,021,021,1,1,-5.299148,7.020998,1.46706,1
34,4,012-021-202-220,012,012-021-202-220,4,0.14,-3.25293,0.240698,6.73596,0.14
34,4,012-021-202-220,220,012-021-202-220,4,0.43,2.81513,1.199004,-2.514712,0.43
34,4,012-021-202-220,202,012-021-202-220,4,0.4,1.387758,-5.39832,1.911143,0.4
34,4,012-021-202-220,021,012-021-202-220,4,0.03,-3.262217,6.860036,0.449819,0.03
35,1,202,202,202,1,1,4.116599,-4.285341,2.814419,1
36,2,202-220,220,202-220,2,0.36,2.318172,2.828553,-1.371084,0.36
36,2,202-220,202,202-220,2,0.64,1.991575,-2.999153,5.189449,0.64
37,3,022-120-201,201,022-120-201,3,0.06,4.394444,-2.193669,-0.102057,0.06
37,3,022-120-201,120,022-120-201,3,0.43,0.219816,8.253042,-5.914453,0.43
37,3,022-120-201,022,022-120-201,3,0.51,-3.285143,2.904586,0.285728,0.51
38,3,022-201-220,220,022-201-220,3,0.47,1.170133,2.690273,-2.810943,0.47
38,3,022-201-220,022,022-201-220,3,0.49,-5.252497,3.524317,1.961541,0.49
38,3,022-201-220,201,022-201-220,3,0.04,6.048051,-1.844152,1.524373,0.04
39,1,022,022,022,1,1,-6.517129,2.638095,-0.651146,1
40,2,022-102,022,022-102,2,0.88,-4.856721,1.83774,3.300366,0.88
40,2,022-102,102,022-102,2,0.12,1.468962,-0.59101,8.165021,0.12
41,1,202,202,202,1,1,1.492349,-6.567368,5.095053,1
42,3,022-112-210,210,022-112-210,3,0.09,6.493004,1.196702,-1.20269,0.09
42,3,022-112-210,112,022-112-210,3,0.61,1.030767,0.356364,4.003589,0.61
42,3,022-112-210,022,022-112-210,3,0.3,-5.039421,6.516345,4.003107,0.3
43,1,020,020,020,1,1,1.474687,7.250769,-1.055349,1
44,1,220,220,220,1,1,2.547994,1.33073,-9.35191,1
45,1,020,020,020,1,1,1.087411,7.617494,-1.011988,1
46,1,020,020,020,1,1,-1.759362,7.827062,-2.335724,1
47,1,210,210,210,1,1,6.361152,0.503219,-3.334245,1
48,1,022,022,022-201,1,1,-4.286178,3.801659,2.582325,1
49,1,202,202,202,1,1,3.633417,-5.950903,2.231225,1
50,2,022-220,022,022-220,2,0.92,-1.303187,1.408833,2.17167,0.92
50,2,022-220,220,022-220,2,0.08,3.518625,2.767935,-2.696981,0.08
51,1,202,202,202,1,1,4.193215,-8.152029,0.934197,1
52,1,102,102,102,1,1,1.612473,0.213021,6.594522,1
53,1,202,202,202,1,1,3.310321,-6.57953,3.716232,1
54,2,021-210,021,021-210,2,0.77,-6.535206,7.360406,-0.521146,0.77
54,2,021-210,210,021-210,2,0.23,6.455684,1.176615,-6.490556,0.23
55,2,021-102,021,021-102,2,0.25,-4.141426,6.595292,1.541859,0.25
55,2,021-102,102,021-102,2,0.75,1.121699,-4.720167,8.032116,0.75
56,3,022-202-220,022,220,3,0.17,-3.798937,4.45707,1.828926,0.17
