parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,93,-1.015459,6.491087,01
1,2,01-10,01-10,2,7,5.456232,1.096361,10
2,2,01-10,01-10,2,97,5.340112,-1.653703,10
2,2,01-10,01-10,2,3,2.360761,4.6315480000000004,01
3,2,01-10,01-10,2,63,2.775164,5.771821,01
3,2,01-10,01-10,2,37,6.36182,-0.157001,10
4,2,01-10,01-10,2,93,6.311468,-0.804882,10
4,2,01-10,01-10,2,7,-0.023984,5.456232,01
5,1,01,01,1,100,-2.067881,6.847902,01
6,2,01-10,01-10,2,43,0.910083,6.37605,01
6,2,01-10,01-10,2,57,6.513751,0.391238,10
7,2,01-10,01-10,2,11,5.808113,0.9742,10
7,2,01-10,01-10,2,89,0.026287,5.301475,01
8,1,10,10,1,100,6.735978,0.638282,10
9,2,01-10,01-10,2,86,2.425288,5.755317,01
9,2,01-10,01-10,2,14,5.542652,0.361237,10
10,2,01-10,01-10,2,94,7.684993,2.3529,10
10,2,01-10,01-10,2,6,1.651004,7.464463,01
11,2,01-10,01-10,2,95,6.636982,-1.076729,10
11,2,01-10,01-10,2,5,2.377263,4.942756,01
12,2,01-10,01-10,2,90,5.825069,0.195403,10
12,2,01-10,01-10,2,10,-0.199297,5.533671,01
13,1,10,10,1,100,6.774406,1.538521,10
14,2,01-10,01-10,2,63,6.36777,-1.186335,10
14,2,01-10,01-10,2,37,2.84184,4.818151,01
15,2,01-10,01-10,2,41,-0.468708,5.916481,01
15,2,01-10,01-10,2,59,5.966382,0.615847,10
16,2,01-10,01-10,2,86,5.333189,0.254208,10
16,2,01-10,01-10,2,14,0.249149,6.412361,01
17,2,01-10,01-10,2,51,1.251968,5.850326,01
17,2,01-10,01-10,2,49,6.884359,1.183742,10
18,2,01-10,01-10,2,75,6.945931,-1.106282,10
18,2,01-10,01-10,2,25,3.022899,4.767203,01
19,2,01-10,01-10,2,67,0.690867,6.537771,01
19,2,01-10,01-10,2,33,5.754587,0.038298,10
20,2,01-10,01-10,2,81,6.958434,-1.334574,10
20,2,01-10,01-10,2,19,1.163675,3.833005,01
21,2,01-10,01-10,2,76,0.833659,6.7031790000000004,01
21,2,01-10,01-10,2,24,7.159788,2.564174,10
22,2,01-10,01-10,2,42,1.872801,6.347903,01
22,2,01-10,01-10,2,58,6.103886,0.183821,10
23,2,01-10,01-10,2,90,7.06341,0.022389,10
23,2,01-10,01-10,2,10,0.76618,5.201903,01
24,1,01,01-10,1,100,-1.340533,6.942144,01
25,1,10,10,1,100,7.447037,3.151004,10
26,1,10,10,1,100,7.426781,0.244197,10
27,2,01-10,01-10,2,30,-0.196954,6.263308,01
27,2,01-10,01-10,2,70,5.950647,1.284076,10
28,2,01-10,01-10,2,64,0.495855,5.452879,01
28,2,01-10,01-10,2,36,6.929385,1.94824,10
29,2,01-10,01-10,2,98,6.651464,-0.709886,10
29,2,01-10,01-10,2,2,1.667312,5.047292,01
30,2,01-10,01-10,2,77,5.271475,-0.783632,10
30,2,01-10,01-10,2,23,-0.3803,4.99808,01
31,1,11,11,1,100,3.905154,3.155011,11
32,2,01-10,01-10,2,85,7.601734,1.602985,10
32,2,01-10,01-10,2,15,2.283153,6.449867,01
33,2,01-10,01-10,2,59,0.752065,6.139285,01
33,2,01-10,01-10,2,41,7.329664,-0.070042,10
34,2,01-10,01-10,2,93,7.508592,0.904943,10
34,2,01-10,01-10,2,7,1.993537,5.113201,01
35,1,01,01,1,100,0.746042,8.439834,01
36,2,01-10,01-10,2,56,5.788701,-1.506077,10
36,2,01-10,01-10,2,44,1.09149,4.869419,01
37,2,01-10,01-10,2,73,-2.238085,6.896088,01
