parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,01,01,1,100,-1.191559,5.296031,01
2,1,10,10,1,100,6.081986,-4.05161,10
3,2,01-10,01-10,2,87,5.972119,1.635165,10
3,2,01-10,01-10,2,13,0.716772,5.913709,01
4,1,01,01,1,100,-1.373541,4.331604,01
5,2,01-10,01-10,2,28,0.397548,5.596292,01
5,2,01-10,01-10,2,72,5.515025,0.886554,10
6,2,01-10,01-10,2,20,6.815515,-1.586462,10
6,2,01-10,01-10,2,80,1.053758,4.893076,01
7,1,10,10,1,100,6.081986,-5.10404,10
8,2,01-10,01-10,2,53,4.506835,0.610903,10
8,2,01-10,01-10,2,47,1.224791,5.692809,01
9,1,10,10,1,100,7.297749,-4.117362,10
10,1,10,01-10,1,100,6.480917,-0.882379,10
11,1,11,11,1,100,5.587894,1.223479,11
12,2,01-10,01-10,2,84,0.800759,5.348271,01
12,2,01-10,01-10,2,16,7.424922,-0.877129,10
13,2,01-10,01-10,2,80,6.996857,-0.308732,10
13,2,01-10,01-10,2,20,3.855856,5.685875,01
14,2,01-10,01-10,2,94,-0.851767,6.613022,01
14,2,01-10,01-10,2,6,5.405772,0.605967,10
15,2,01-10,01-10,2,68,5.055331,0.231166,10
15,2,01-10,01-10,2,32,-0.057551,6.259288,01
16,2,01-10,01-10,2,10,1.588558,6.827066,01
16,2,01-10,01-10,2,90,5.122998,0.834708,10
17,2,01-10,01-10,2,80,2.924836,7.053108,01
17,2,01-10,01-10,2,20,6.856903,1.044003,10
18,2,01-10,01-10,2,98,0.597274,6.851749,01
18,2,01-10,01-10,2,2,4.643998,0.869114,10
19,1,01,01,1,100,-0.79401,7.92444,01
20,2,01-10,01-10,2,71,0.044141,5.366622,01
20,2,01-10,01-10,2,29,6.298272,1.967588,10
21,1,10,10,1,100,7.558772,2.130536,10
22,2,01-10,01-10,2,90,0.464246,7.458091,01
22,2,01-10,01-10,2,10,6.412183,1.166189,10
23,1,01,01,1,100,0.512153,4.573916,01
24,1,01,01,1,100,-2.22022,6.10144,01
