parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,002-020,002,002-020,2,0.15,-2.644313,0.547553,4.532181,0.15
1,2,002-020,020,002-020,2,0.85,-1.240267,6.418015,-1.567373,0.85
2,1,020,020,020,1,1,-2.136328,5.896346,-0.591551,1
3,1,002,002,002,1,1,0.042904,-0.908635,6.59957,1
4,2,120-200,200,120-200,2,0.73,6.274644,-0.407506,-1.607347,0.73
4,2,120-200,120,120-200,2,0.27,0.025927,5.692049,-7.009451,0.27
5,1,202,202,202,1,1,2.965137,-5.524983,3.002393,1
6,2,002-020,002,002-020,2,0.93,-0.320683,-1.043034,4.729049,0.93
6,2,002-020,020,002-020,2,0.07,-0.474899,4.415224,-1.518383,0.07
7,2,021-120,021,021-120,2,0.73,-3.456978,7.562882,1.429242,0.73
7,2,021-120,120,021-120,2,0.27,0.364819,8.045537,-2.018533,0.27
8,1,102,102,102,1,1,1.152617,-6.803103,5.212884,1
9,2,021-120,120,021-120,2,0.36,0.002395,7.05511,-4.372538,0.36
9,2,021-120,021,021-120,2,0.64,-5.803757,7.054874,0.489793,0.64
10,1,022,022,022,1,1,-7.776808,3.86882,2.257761,1
11,2,102-220,220,102-220,2,0.78,2.073893,2.414996,-5.919363,0.78
11,2,102-220,102,102-220,2,0.22,-0.093493,-3.39255,6.391792,0.22
12,3,020-200-202,202,020-200,3,0.49,1.323895,-8.505532,3.626698,0.49
12,3,020-200-202,020,020-200,3,0.04,-0.658426,2.793663,-0.273829,0.04
12,3,020-200-202,200,020-200,3,0.47,5.4436,-2.73918,0.228254,0.47
13,3,022-202-220,220,022-202-220,3,0.44,2.046601,0.89557,-3.919848,0.44
13,3,022-202-220,022,022-202-220,3,0.46,-3.362197,2.080772,1.592759,0.46
13,3,022-202-220,202,022-202-220,3,0.1,4.167591,-4.153801,0.850515,0.1
14,1,002,002,002,1,1,-1.359053,-0.947988,7.543232,1
15,1,220,220,220,1,1,2.629726,2.25776,-4.797776,1
16,2,012-220,012,012-220,2,0.07,-5.264093,1.497739,5.375837,0.07
