parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,13,0.688856,5.365777,01
1,2,01-10,01-10,2,87,7.12541,0.071856,10
2,2,01-10,01-10,2,63,0.563372,6.200252,01
2,2,01-10,01-10,2,37,6.037507,1.309425,10
3,2,01-10,01-10,2,80,-0.349054,5.938583,01
3,2,01-10,01-10,2,20,6.088916,-0.521072,10
4,2,01-10,01-10,2,87,-1.132857,6.652061,01
4,2,01-10,01-10,2,13,5.338742,1.008175,10
5,1,01,01,1,100,-1.903729,5.821596,01
6,2,01-10,01-10,2,72,5.913025,1.171684,10
6,2,01-10,01-10,2,28,-0.323487,6.578061,01
7,1,01,01,1,100,-0.233923,7.016266,01
8,1,10,10,1,100,7.071571,-0.077333,10
9,2,01-10,01-10,2,99,5.436253,-1.687268,10
9,2,01-10,01-10,2,1,2.237697,4.534103,01
10,2,01-10,01-10,2,47,0.505929,6.260106,01
10,2,01-10,01-10,2,53,6.54483,0.96971,10
11,2,01-10,01-10,2,53,7.095693,-0.550293,10
11,2,01-10,01-10,2,47,2.67241,5.828468,01
12,2,01-10,01-10,2,70,0.892662,6.779922,01
12,2,01-10,01-10,2,30,6.292496,2.355738,10
13,2,01-10,01-10,2,88,7.387871,0.147747,10
13,2,01-10,01-10,2,12,3.964843,5.582347,01
14,1,01,01,1,100,-0.181007,6.542724,01
15,1,10,10,1,100,7.078696,0.796985,10
16,2,01-10,01-10,2,92,-1.912198,6.812349,01
16,2,01-10,01-10,2,8,4.534103,1.263316,10
17,1,01,01,1,100,-0.878054,6.061993,01
18,1,10,10,1,100,5.783682,0.038766,10
19,1,01,01-10,1,100,1.379989,7.493573,01
20,2,01-10,01-10,2,78,1.40608,7.676651,01
20,2,01-10,01-10,2,22,7.473297,1.230118,10
21,1,10,01-10,1,100,6.455436,-2.427887,10
22,1,10,10,1,100,7.782112,1.736148,10
23,1,11,11,1,100,3.61036,4.288361,11
24,1,01,01,1,100,1.031824,6.602749,01
25,2,01-10,01-10,2,92,-1.572007,7.114379,01
25,2,01-10,01-10,2,8,5.000685,1.403456,10
26,2,01-10,01-10,2,10,0.936372,5.797285,01
26,2,01-10,01-10,2,90,7.514779,-0.671842,10
27,2,01-10,01-10,2,91,2.481099,8.519265,01
27,2,01-10,01-10,2,9,6.431051,3.931279,10
28,2,01-10,01-10,2,34,-0.850795,4.485152,01
28,2,01-10,01-10,2,66,3.442892,-2.090072,10
29,1,01,01,1,100,0.609626,7.798593,01
30,2,01-10,01-10,2,97,7.708499,-1.397672,10
30,2,01-10,01-10,2,3,3.46037,4.457976,01
31,2,01-10,01-10,2,94,7.108807,1.206734,10
31,2,01-10,01-10,2,6,0.828822,4.101963,01
32,1,10,10,1,100,7.272571,1.247394,10
33,1,01,01,1,100,0.643489,7.215152,01
34,1,01,01,1,100,-2.044292,6.218104,01
35,1,11,11,1,100,5.42998,5.199479,11
36,1,01,01,1,100,0.963233,6.692431,01
37,1,01,01,1,100,1.912242,6.143857,01
38,2,01-10,01-10,2,82,0.283887,6.021127,01
38,2,01-10,01-10,2,18,6.520143,-0.479018,10
39,2,01-10,01-10,2,78,1.466529,3.702363,01
39,2,01-10,01-10,2,22,4.394868,0.630797,10
40,2,01-10,01-10,2,76,7.018291,2.598215,10
40,2,01-10,01-10,2,24,1.441607,5.078396,01
41,1,01,01,1,100,-3.554322,5.710039,01
