parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,10,10,1,100,4.28096,-0.801529,10
2,2,01-10,01-10,2,82,1.351346,5.47672,01
2,2,01-10,01-10,2,18,6.102399,-1.031369,10
3,1,01,01,1,100,1.232554,6.060243,01
4,2,01-10,01-10,2,69,6.503197,-0.329501,10
4,2,01-10,01-10,2,31,0.906507,5.919617,01
5,1,10,01-10,1,100,6.467406,-2.355372,10
6,1,01,01,1,100,-0.357202,9.024474,01
7,2,01-10,01-10,2,79,-0.04902,6.744676,01
7,2,01-10,01-10,2,21,5.206043,1.992315,10
8,2,01-10,01-10,2,70,1.299861,5.310347,01
8,2,01-10,01-10,2,30,6.59307,-0.999,10
9,2,01-10,01-10,2,97,-1.053162,7.500575,01
9,2,01-10,01-10,2,3,5.030125,1.230946,10
10,2,01-10,01-10,2,93,0.244751,7.120007,01
10,2,01-10,01-10,2,7,6.516869,3.678659,10
11,1,01,01-10,1,100,-1.238064,7.289001,01
12,1,01,01,1,100,2.187487,6.897972,01
13,2,01-10,01-10,2,79,0.009672,6.528568,01
13,2,01-10,01-10,2,21,6.324741,1.29097,10
14,2,01-10,01-10,2,68,1.285256,7.368529,01
14,2,01-10,01-10,2,32,7.233472,1.342542,10
15,1,01,01-10,1,100,-1.498512,6.710902,01
16,2,01-10,01-10,2,87,2.141312,7.279223,01
16,2,01-10,01-10,2,13,7.353563,2.499493,10
17,2,01-10,01-10,2,61,1.501535,7.851064,01
17,2,01-10,01-10,2,39,7.103239,1.922949,10
18,1,01,01-10,1,100,-0.406264,7.781471,01
19,2,01-10,01-10,2,44,5.662937,0.800655,10
19,2,01-10,01-10,2,56,0.32921,6.002409,01
20,1,01,01,1,100,1.920209,5.954884,01
21,2,01-10,01-10,2,49,8.172013,0.072612,10
21,2,01-10,01-10,2,51,1.661321,6.346764,01
22,1,01,01-10,1,100,-1.28648,6.542969,01
23,2,01-10,01-10,2,84,7.781471,1.264454,10
23,2,01-10,01-10,2,16,2.377295,6.67742,01
24,1,01,01-10,1,100,-0.492585,7.713606,01
25,2,01-10,01-10,2,99,1.130681,7.009002,01
25,2,01-10,01-10,2,1,6.109033,0.95519,10
26,1,01,01,1,100,-2.453555,6.677571,01
27,2,01-10,01-10,2,71,1.931317,8.425946,01
27,2,01-10,01-10,2,29,6.33123,1.866112,10
28,2,01-10,01-10,2,96,7.179204,1.255923,10
28,2,01-10,01-10,2,4,1.226653,6.702117,01
29,2,01-10,01-10,2,29,6.049437,0.394269,10
29,2,01-10,01-10,2,71,0.101551,6.558842,01
30,2,01-10,01-10,2,89,2.172659,7.043997,01
30,2,01-10,01-10,2,11,8.027898,0.482408,10
31,2,01-10,01-10,2,76,0.128633,6.897985,01
31,2,01-10,01-10,2,24,6.427606,0.908838,10
32,2,01-10,01-10,2,56,7.505576,0.677106,10
