Phase,Count,Frequency
0001-0301-0303,4,4e-4
0002-0010,1,1e-4
0002-0010-0300,1,1e-4
0002-0010-0300-0302,1,1e-4
0010,33,0.0033
0010-0011,1,1e-4
0010-0011-0200-0201-0300-0301,1,1e-4
0010-0011-0300-0301,3,3e-4
0010-0011-0310-0311,3,3e-4
0010-0012-0300-0302,1,1e-4
0010-0012-0302,1,1e-4
0010-0012-0302-0310,2,2e-4
0010-0012-0312,1,1e-4
0010-0013-0113-0303,1,1e-4
0010-0013-0210-0303,2,2e-4
0010-0013-0300-0303,13,0.0013
0010-0013-0303,39,0.0039
0010-0013-0303-0310,4,4e-4
0010-0013-0313,2,2e-4
0010-0100-0300,2,2e-4
0010-0100-0300-0303,7,7e-4
0010-0102-0300-0302,1,1e-4
0010-0103-0303,1,1e-4
0010-0110-0303,1,1e-4
0010-0112-0210-0300-0302,1,1e-4
0010-0112-0302,1,1e-4
0010-0112-0312,1,1e-4
0010-0113,1,1e-4
0010-0113-0303,7,7e-4
0010-0113-0303-0310,2,2e-4
0010-0113-0313,3,3e-4
0010-0200-0202-0300-0302,1,1e-4
0010-0200-0300,2,2e-4
0010-0200-0300-0303,5,5e-4
0010-0210,1,1e-4
0010-0210-0300,1,1e-4
0010-0210-0300-0303,1,1e-4
0010-0210-0303,12,0.0012
0010-0210-0313,2,2e-4
0010-0300,20,0.002
0010-0300-0302,6,6e-4
0010-0300-0303,120,0.012
0010-0303,62,0.0062
0010-0303-0310,62,0.0062
0010-0310,13,0.0013
0010-0310-0312,1,1e-4
0010-0310-0313,4,4e-4
0010-0312,1,1e-4
0010-0313,3,3e-4
0011-0012-0301-0302,1,1e-4
0011-0013-0201-0301-0303,2,2e-4
0011-0013-0211-0301-0303,1,1e-4
0011-0013-0301-0303,3,3e-4
0011-0013-0303,1,1e-4
0011-0013-0303-0311,4,4e-4
0011-0013-0311-0313,1,1e-4
0011-0101-0301,1,1e-4
0011-0301-0303,10,0.001
0011-0303,1,1e-4
0012-0013-0302-0303,2,2e-4
0012-0302,1,1e-4
0013-0110-0303,1,1e-4
0013-0213-0303,1,1e-4
0013-0300-0303-1010-1013,1,1e-4
0013-0303,9,9e-4
0100-0300-0303,1,1e-4
0101-0301,1,1e-4
0101-0301-0303,3,3e-4
0101-0301-0303-1001,5,5e-4
0101-0301-0303-1001-1003,1,1e-4
0103-0303-1001-1003,1,1e-4
0103-0303-1003,1,1e-4
0103-0303-1003-1010,2,2e-4
0110-0111-0300-0301-1010-1011,2,2e-4
0110-0113-0303-0310-1010-1013,2,2e-4
0110-0200-0300-0303,1,1e-4
0110-0210-0310-1010,1,1e-4
0110-0213-0303-0310,1,1e-4
0110-0300,1,1e-4
0110-0300-0302,1,1e-4
0110-0300-0302-1002-1010,1,1e-4
0110-0300-0302-1010,2,2e-4
0110-0300-0302-1010-1012,2,2e-4
0110-0300-0303,13,0.0013
0110-0300-0303-1003-1010,3,3e-4
0110-0300-0303-1010,23,0.0023
0110-0300-0303-1010-1013,7,7e-4
0110-0300-1010,9,9e-4
0110-0303,13,0.0013
0110-0303-0310,13,0.0013
0110-0303-0310-1010,12,0.0012
0110-0303-0310-1010-1013,11,0.0011
0110-0303-1010,7,7e-4
0110-0303-1010-1013,3,3e-4
0110-0310,4,4e-4
0110-0310-0312,1,1e-4
0110-0310-0313,2,2e-4
0110-0310-0313-1010-1013,1,1e-4
0110-0310-1010,3,3e-4
0110-1010,3,3e-4
0111-0113-0301-0303-1011-1013,3,3e-4
0111-0113-0303-0311,1,1e-4
0111-0113-0303-0311-1011-1013,3,3e-4
0111-0301-0303,1,1e-4
0111-0301-0303-1011,5,5e-4
0111-0303-0311,2,2e-4
0111-0303-0311-1011,1,1e-4
0111-0303-0311-1011-1013,1,1e-4
0111-0311-1011,1,1e-4
0112-0113-0302-0303,1,1e-4
0112-0300-0302-1010-1012,2,2e-4
0112-0301-0302-1011-1012,1,1e-4
0112-0302-1010-1012,1,1e-4
0112-0312-1010-1012,4,4e-4
