parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,012-020,012,012-020,2,0.47,-6.827753,0.340588,6.515638,0.47
1,2,012-020,020,012-020,2,0.53,-1.352967,6.240956,0.60874,0.53
2,2,012-020,012,-1,2,0.62,-6.28201,0.24166,4.727258,0.62
2,2,012-020,020,-1,2,0.38,-0.819812,6.175586,-1.332819,0.38
3,2,012-020,020,012-020,2,0.72,-2.107333,6.780619,1.607919,0.72
3,2,012-020,012,012-020,2,0.28,-6.394445,1.333035,6.073509,0.28
4,2,012-021,021,012-021,2,0.23,-6.94601,5.902788,0.671236,0.23
4,2,012-021,012,012-021,2,0.77,-6.946042,-0.006237,6.539662,0.77
5,1,120,120,120,1,1,1.637233,6.934614,-5.973422,1
6,3,102-201-210,201,102-201-210,3,0.41,6.581492,-5.171745,0.447987,0.41
6,3,102-201-210,210,102-201-210,3,0.39,6.581494,0.895175,-5.460931,0.39
6,3,102-201-210,102,102-201-210,3,0.2,0.058694,-5.171747,6.316412,0.2
7,1,002,002,002,1,1,-0.723391,0.314759,6.35687,1
8,2,021-102,021,021-102,2,0.8,-6.324832,7.037862,0.249489,0.8
8,2,021-102,102,021-102,2,0.2,-0.038658,-4.154411,6.291046,0.2
9,2,002-021,021,002-021,2,0.5,-5.104062,5.845779,1.316178,0.5
9,2,002-021,002,002-021,2,0.5,-0.127358,0.190115,5.991937,0.5
10,1,002,002,002,1,1,-0.067962,0.735373,6.76508,1
11,1,200,200,200,1,1,6.540162,0.208733,-0.687048,1
12,1,120,120,120,1,1,0.808534,7.217988,-5.521573,1
13,2,021-102,021,021-102,2,0.02,-3.47049,1.938672,1.288095,0.02
13,2,021-102,102,021-102,2,0.98,1.787887,-8.38268,7.042487,0.98
14,2,022-102,102,022-102,2,0.72,0.745668,-5.183611,5.624929,0.72
14,2,022-102,022,022-102,2,0.28,-4.837572,0.495758,2.447534,0.28
15,2,102-200,200,102-200,2,0.66,6.979712,-0.271397,1.487915,0.66
