parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,1,202,202,202,1,1,1.316358,-2.729069,2.998035,1
2,2,120-200,200,120-200,2,0.33,4.145193,-0.554261,-3.077966,0.33
2,2,120-200,120,120-200,2,0.67,0.662452,5.406345,-8.61592,0.67
3,3,002-020-200,002,002-020-200,3,0.1,-1.157958,-0.253419,4.699717,0.1
3,3,002-020-200,020,002-020-200,3,0.68,0.188059,5.637767,-1.19147,0.68
3,3,002-020-200,200,002-020-200,3,0.22,5.136532,-0.696109,-0.756833,0.22
4,3,002-020-210,002,002-020,3,0.23,-1.805829,-0.645632,2.835947,0.23
4,3,002-020-210,020,002-020,3,0.59,-1.520245,5.406345,-3.446589,0.59
4,3,002-020-210,210,002-020,3,0.18,1.997536,-0.174263,-1.619152,0.18
5,1,200,200,200,1,1,6.534785,-0.195,0.901977,1
6,3,120-201-210,120,120-201-210,3,0.49,0.088832,6.928746,-5.648148,0.49
6,3,120-201-210,201,120-201-210,3,0.39,6.04942,-4.523146,0.897684,0.39
6,3,120-201-210,210,120-201-210,3,0.12,6.049142,1.390715,-5.647641,0.12
7,2,202-220,220,202-220,2,0.14,1.663774,4.151323,-5.478794,0.14
7,2,202-220,202,202-220,2,0.86,0.492667,-1.718814,3.021826,0.86
8,1,020,020,020,1,1,-4.520335,6.780833,-1.864667,1
9,1,002,002,002,1,1,-4.423993,-0.192791,7.428368,1
10,1,220,220,220,1,1,2.049123,2.685565,-3.15751,1
11,2,012-201,201,012-201,2,0.47,6.606495,-1.923006,0.34382,0.47
11,2,012-201,012,012-201,2,0.53,-2.944921,0.930146,5.997801,0.53
12,1,002,002,002,1,1,-0.297803,-1.505914,7.002891,1
13,1,002,002,002,1,1,-1.534667,-0.861548,7.428366,1
14,2,102-200,102,102-200,2,0.67,0.393237,-7.893875,3.854567,0.67
14,2,102-200,200,102-200,2,0.33,5.94868,-2.170966,-1.762531,0.33
15,1,120,120,120,1,1,-0.134361,7.002891,-3.552263,1
16,1,220,220,220,1,1,2.612278,2.567437,-5.933945,1
17,1,220,220,021-220,1,1,3.22984,5.834855,-3.851144,1
18,2,002-200,200,002-200,2,0.9,7.427504,-1.748158,0.26359,0.9
18,2,002-200,002,002-200,2,0.1,0.983671,-1.454085,5.624103,0.1
