parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,01,01-10,1,100,3.838357,5.387161,01
2,1,00,00,1,100,3.12257,3.107243,00
3,1,01,01,1,100,4.38115,6.439306,01
4,1,00,00,1,100,4.460491,3.216451,00
5,1,01,01,1,100,0.911251,6.922778,01
6,1,10,01-10,1,100,5.963742,3.433907,10
7,1,01,01-10,1,100,2.833437,6.777881,01
8,1,00,01-10,1,100,5.14786,4.992259,00
9,1,00,10,1,100,5.566416,4.783585,00
10,1,10,01-10,1,100,6.021208,4.433944,10
11,1,01,01,1,100,0.993081,6.904416,01
12,1,10,10,1,100,6.681279,1.39179,10
13,1,10,10,1,100,6.188754,0.680474,10
14,1,10,10,1,100,6.239795,1.813836,10
15,1,01,01,1,100,0.66514,7.774513,01
16,1,01,01-10,1,100,2.532366,7.30953,01
17,1,00,10,1,100,5.927858,5.436403,00
18,1,10,01-10,1,100,7.417113,3.872115,10
19,1,10,10,1,100,6.617371,1.0269,10
20,1,10,01-10,1,100,6.39831,4.906319,10
21,1,01,01-10,1,100,4.88361,6.650845,01
22,1,01,01-10,1,100,2.408313,6.468711,01
23,1,10,01-10,1,100,6.822623,3.010327,10
24,1,10,10,1,100,7.214434,-1.090242,10
25,1,10,01-10,1,100,5.784222,3.959915,10
26,1,10,01-10,1,100,6.941755,2.49613,10
27,1,10,10,1,100,6.341611,2.476868,10
28,1,01,01-10,1,100,4.825033,7.520646,01
29,1,10,10,1,100,8.232199,2.562092,10
30,1,10,01-10,1,100,6.807053,5.851415,10
31,1,10,01-10,1,100,7.008012,5.383521,10
32,1,10,10,1,100,6.643907,3.957876,10
33,1,01,01-10,1,100,4.623287,6.575562,01
34,1,01,01-10,1,100,3.929325,7.662686,01
35,1,10,01-10,1,100,5.491343,3.387792,10
36,1,11,11,1,100,4.973742,6.133994,11
37,1,01,01,1,100,1.879749,7.967453,01
38,1,01,01,1,100,3.868546,7.731834,01
39,1,10,01-10,1,100,8.318154,3.321523,10
40,1,10,01-10,1,100,7.96801,4.757737,10
41,1,00,00,1,100,3.542635,5.358941,00
42,1,01,01,1,100,2.804566,7.424875,01
43,1,10,01-10,1,100,5.900697,4.991227,10
44,1,01,01-10,1,100,3.694206,5.785916,01
45,1,01,01-10,1,100,5.279546,7.163078,01
46,1,10,01-10,1,100,6.625051,4.824864,10
47,1,01,01-10,1,100,5.287719,6.786048,01
48,1,01,01-10,1,100,3.117536,7.536629,01
49,1,01,01-10,1,100,5.409435,2.672534,01
50,1,10,10,1,100,8.577852,1.734723,10
51,1,10,01-10,1,100,5.574538,4.184607,10
52,1,01,01-10,1,100,2.840043,8.465033,01
53,1,01,01-10,1,100,4.614956,4.953941,01
54,1,10,01-10,1,100,5.727863,5.695256,10
55,1,00,00,1,100,4.455215,5.472484,00
56,1,10,01-10,1,100,7.042473,4.946995,10
57,1,10,01-10,1,100,6.28201,5.1514,10
58,1,10,01-10,1,100,5.392067,3.749804,10
59,1,01,01,1,100,1.162434,8.468903,01
60,1,10,10,1,100,7.255435,2.104061,10
61,1,10,01-10,1,100,5.510583,5.40456,10
62,1,00,00,1,100,2.880701,5.077079,00
63,1,01,01,1,100,3.88581,6.369679,01
64,1,10,10,1,100,5.42812,2.765163,10
65,1,10,01-10,1,100,6.471228,3.813682,10
66,1,00,10,1,100,5.649937,2.959793,00
67,1,01,01-10,1,100,4.8009829999999996,7.198007,01
68,1,01,01-10,1,100,3.904972,6.821179,01
69,1,01,01-10,1,100,4.382232,5.843957,01
70,1,10,10,1,100,8.502872,1.810326,10
71,1,10,01-10,1,100,6.541716,3.318945,10
72,1,10,01-10,1,100,4.864971,6.020081,10
73,1,01,01-10,1,100,3.489393,7.093758,01
74,1,00,00,1,100,2.512206,5.584828,00
75,1,01,01,1,100,0.137391,7.230546,01
76,1,10,10,1,100,6.407033,1.765748,10
77,1,00,00,1,100,4.974362,5.303834,00
78,1,01,01,1,100,3.10323,8.47555,01
79,1,01,01,1,100,3.385428,7.967655,01
80,1,10,01-10,1,100,8.123849,4.42436,10
81,1,10,10,1,100,7.334659,2.077116,10
82,1,11,01-10,1,100,7.473545,5.804308,11
83,1,01,01,1,100,3.166642,5.687619,01
84,1,01,01,1,100,-0.088769,7.955365,01
