parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,70,6.325877,-0.383528,10
1,2,01-10,01-10,2,30,0.191812,5.992176,01
2,1,10,10,1,100,4.012824,-2.522621,10
3,2,01-10,01-10,2,51,0.569781,6.774244,01
3,2,01-10,01-10,2,49,5.73551,0.755766,10
4,2,01-10,01-10,2,91,4.894289,2.116328,10
4,2,01-10,01-10,2,9,-0.003055,5.937707,01
5,1,10,10,1,100,6.68772,0.203977,10
6,2,01-10,01-10,2,93,-3.626298,5.432944,01
6,2,01-10,01-10,2,7,2.496527,1.099346,10
7,1,01,01,1,100,-0.271276,5.159162,01
8,2,01-10,01-10,2,71,6.725435,0.631318,10
8,2,01-10,01-10,2,29,0.570997,5.940481,01
9,2,01-10,01-10,2,91,-2.031281,4.002788,01
9,2,01-10,01-10,2,9,3.836749,0.151446,10
10,1,10,10,1,100,5.13773,1.573918,10
11,1,10,10,1,100,6.503905,-2.956745,10
12,1,01,01,1,100,0.613196,5.92225,01
13,2,01-10,01-10,2,55,6.693956,2.885266,10
13,2,01-10,01-10,2,45,0.568614,6.846109,01
14,1,01,01,1,100,-3.078861,2.659568,01
15,2,01-10,01-10,2,17,6.115523,1.655023,10
15,2,01-10,01-10,2,83,-0.250623,7.671503,01
16,2,01-10,01-10,2,90,1.003833,6.980474,01
16,2,01-10,01-10,2,10,7.096451,0.72519,10
17,2,01-10,01-10,2,92,-1.708232,4.211844,01
17,2,01-10,01-10,2,8,4.55339,-1.122185,10
18,2,01-10,01-10,2,96,7.448423,1.199677,10
18,2,01-10,01-10,2,4,3.22024,6.52589,01
19,2,01-10,01-10,2,81,4.298548,1.508586,10
19,2,01-10,01-10,2,19,0.96526,4.691195,01
20,2,01-10,01-10,2,75,1.6018,5.055201,01
20,2,01-10,01-10,2,25,5.339468,2.328689,10
21,2,01-10,01-10,2,79,5.98685,1.625727,10
21,2,01-10,01-10,2,21,2.463654,7.64339,01
22,2,01-10,01-10,2,73,0.324153,7.028678,01
22,2,01-10,01-10,2,27,6.815328,1.626772,10
23,2,01-10,01-10,2,99,7.285136,-0.97483,10
23,2,01-10,01-10,2,1,2.367671,2.692591,01
24,2,01-10,01-10,2,43,6.381795,-1.059507,10
24,2,01-10,01-10,2,57,2.268674,5.520501,01
25,1,01,01,1,100,-3.576098,6.664172,01
26,2,01-10,01-10,2,82,6.724436,0.545698,10
26,2,01-10,01-10,2,18,4.553674,6.986505,01
27,2,01-10,01-10,2,29,5.461426,-1.513981,10
27,2,01-10,01-10,2,71,-0.662456,5.019684,01
28,1,01,01,1,100,-4.74175,6.283611,01
29,1,10,10,1,100,7.214812,-3.662484,10
30,2,01-10,01-10,2,74,5.695157,0.762344,10
30,2,01-10,01-10,2,26,-0.213824,6.226785,01
31,2,01-10,01-10,2,76,1.209449,5.5916,01
31,2,01-10,01-10,2,24,6.258202,3.108135,10
32,2,01-10,01-10,2,96,7.670433,-2.068915,10
32,2,01-10,01-10,2,4,1.858018,4.368602,01
33,2,01-10,01-10,2,87,6.783973,-0.465611,10
33,2,01-10,01-10,2,13,1.12348,6.002776,01
34,1,11,11,1,100,-0.02912,2.458245,11
35,1,01,01,1,100,-2.846055,4.935393,01
36,2,01-10,01-10,2,51,2.713785,7.339621,01
