parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,10,10,1,100,4.565899,-1.194118,10
2,2,01-10,01-10,2,96,1.088975,6.842525,01
2,2,01-10,01-10,2,4,6.070279,0.832974,10
3,2,01-10,01-10,2,78,6.652485,0.888437,10
3,2,01-10,01-10,2,22,0.851909,5.287886,01
4,2,01-10,01-10,2,90,4.836609,-0.479716,10
4,2,01-10,01-10,2,10,-1.21156,3.701993,01
5,2,01-10,01-10,2,82,-0.140478,7.584227,01
5,2,01-10,01-10,2,18,5.958814,1.012071,10
6,2,01-10,01-10,2,73,0.395952,3.425197,01
6,2,01-10,01-10,2,27,6.909855,-2.93502,10
7,1,01,01,1,100,3.479268,6.696093,01
8,2,01-10,01-10,2,49,6.973395,2.616767,10
8,2,01-10,01-10,2,51,0.980774,5.913334,01
9,2,01-10,01-10,2,96,-3.212496,5.727111,01
9,2,01-10,01-10,2,4,3.042292,0.720705,10
10,2,01-10,01-10,2,47,1.445033,7.504372,01
10,2,01-10,01-10,2,53,7.891835,1.330281,10
11,1,01,01,1,100,1.837888,4.031801,01
12,1,01,01,1,100,-0.543544,6.42312,01
13,2,01-10,01-10,2,96,7.058335,-3.070238,10
13,2,01-10,01-10,2,4,3.175259,3.537184,01
14,1,01,01,1,100,-1.908423,5.553128,01
15,2,01-10,01-10,2,3,2.260989,5.558504,01
15,2,01-10,01-10,2,97,7.031811,-0.246055,10
16,2,01-10,01-10,2,76,-0.948122,4.425048,01
16,2,01-10,01-10,2,24,5.371032,0.336603,10
17,2,01-10,01-10,2,90,-3.120507,6.001636,01
17,2,01-10,01-10,2,10,2.752134,1.690503,10
18,2,01-10,01-10,2,77,7.31272,1.971909,10
18,2,01-10,01-10,2,23,0.779637,6.964047,01
19,2,01-10,01-10,2,74,7.117929,-0.925125,10
19,2,01-10,01-10,2,26,0.523323,5.379372,01
20,1,01,01-10,1,100,3.457001,7.581041,01
21,2,01-10,01-10,2,30,6.520283,0.085816,10
21,2,01-10,01-10,2,70,0.10817,6.355474,01
22,2,01-10,01-10,2,40,3.347973,6.125973,01
22,2,01-10,01-10,2,60,7.790033,1.481504,10
23,2,01-10,01-10,2,76,4.811775,0.70815,10
23,2,01-10,01-10,2,24,2.261736,7.207948,01
24,1,10,10,1,100,6.557374,0.950883,10
25,1,01,01,1,100,0.391504,6.679288,01
26,1,10,10,1,100,4.613958,-3.37578,10
27,2,01-10,01-10,2,49,6.876135,0.96798,10
27,2,01-10,01-10,2,51,0.2342,6.577396,01
28,2,01-10,01-10,2,33,6.115307,1.453805,10
28,2,01-10,01-10,2,67,0.531085,6.116877,01
29,1,01,01,1,100,0.185177,7.409865,01
30,2,01-10,01-10,2,59,6.380551,1.654554,10
30,2,01-10,01-10,2,41,0.67104,6.903834,01
31,2,01-10,01-10,2,74,6.375094,3.330434,10
31,2,01-10,01-10,2,26,-0.073879,4.549895,01
32,2,01-10,01-10,2,94,7.781722,0.2459,10
32,2,01-10,01-10,2,6,1.841274,5.807884,01
33,1,10,10,1,100,8.194792,0.783814,10
34,2,01-10,01-10,2,51,0.388324,6.68309,01
34,2,01-10,01-10,2,49,5.920218,0.672499,10
35,2,01-10,01-10,2,83,2.691865,8.439212,01
35,2,01-10,01-10,2,17,7.464432,2.023529,10
36,2,01-10,01-10,2,27,5.780611,1.051987,10
36,2,01-10,01-10,2,73,-0.70596,7.035971,01
37,2,01-10,01-10,2,44,5.388232,0.224154,10
37,2,01-10,01-10,2,56,-0.596905,6.200176,01
38,1,10,10,1,100,5.991938,-2.633348,10
39,1,01,01,1,100,0.092113,5.349196,01
40,1,01,01,1,100,-2.9080530000000002,7.451556,01
41,2,01-10,01-10,2,6,5.115362,1.361918,10
41,2,01-10,01-10,2,94,-0.924554,7.493777,01
42,2,01-10,01-10,2,68,8.188216,-0.236262,10
42,2,01-10,01-10,2,32,2.36513,6.335426,01
43,2,01-10,01-10,2,74,6.833798,-0.435854,10
43,2,01-10,01-10,2,26,1.435896,5.390635,01
44,2,01-10,01-10,2,89,-0.413249,4.317977,01
44,2,01-10,01-10,2,11,4.67515,-1.327493,10
45,1,01,01,1,100,2.006075,6.10352,01
46,1,01,01,1,100,0.967674,7.951678,01
47,2,01-10,01-10,2,95,6.937663,0.094762,10
47,2,01-10,01-10,2,5,2.20673,6.271009,01
48,1,10,10,1,100,6.52136,-0.437228,10
49,2,01-10,01-10,2,78,6.17309,0.146456,10
49,2,01-10,01-10,2,22,0.65556,5.500987,01
50,1,10,10,1,100,6.508416,0.28288,10
51,2,01-10,01-10,2,77,0.40039400000000003,6.087367,01
51,2,01-10,01-10,2,23,5.182294,0.058071,10
52,2,01-10,01-10,2,87,7.373305,-0.57698,10
52,2,01-10,01-10,2,13,0.78969,4.756211,01
53,2,01-10,01-10,2,97,1.641988,6.571579,01
53,2,01-10,01-10,2,3,4.777101,2.550064,10
54,1,01,01,1,100,1.761735,5.637401,01
55,2,01-10,01-10,2,80,1.462118,7.25263,01
55,2,01-10,01-10,2,20,5.659523,1.338246,10
56,2,01-10,01-10,2,93,2.154187,8.66382,01
56,2,01-10,01-10,2,7,6.824145,3.85309,10
57,2,01-10,01-10,2,90,1.82797,7.49015,01
57,2,01-10,01-10,2,10,6.904187,2.37122,10
58,2,01-10,01-10,2,47,6.321521,0.175742,10
58,2,01-10,01-10,2,53,-0.170371,6.772637,01
59,2,01-10,01-10,2,35,3.381342,5.547054,01
59,2,01-10,01-10,2,65,6.478254,-0.899922,10
60,1,01,01,1,100,-1.579275,6.010229,01
61,1,10,10,1,100,7.237167,3.178509,10
62,1,10,10,1,100,5.291552,-0.116774,10
63,2,01-10,01-10,2,40,1.324398,6.718924,01
63,2,01-10,01-10,2,60,6.772298,0.142266,10
64,1,10,10,1,100,6.428459,0.41723,10
65,2,01-10,01-10,2,66,5.449725,1.645764,10
65,2,01-10,01-10,2,34,0.644853,4.382172,01
66,1,01,01,1,100,-0.527237,5.883304,01
67,1,01,01,1,100,-0.215702,6.666746,01
68,1,01,01,1,100,-1.797779,7.326122,01
69,1,11,11,1,100,4.086345,4.86956,11
70,2,01-10,01-10,2,24,2.74748,7.655148,01
70,2,01-10,01-10,2,76,8.568241,1.27335,10
71,2,01-10,01-10,2,40,5.608334,-0.257866,10
71,2,01-10,01-10,2,60,0.253426,5.7418,01
72,2,01-10,01-10,2,54,3.596555,7.771391,01
72,2,01-10,01-10,2,46,6.995798,2.123565,10
73,2,01-10,01-10,2,86,8.922563,-0.32186,10
73,2,01-10,01-10,2,14,2.420822,4.341978,01
74,1,01,01,1,100,1.523403,6.60983,01
75,1,10,10,1,100,8.561456,-4.061073,10
76,1,10,10,1,100,6.664551,0.618158,10
77,1,01,01,1,100,-3.657596,7.445111,01
78,2,01-10,01-10,2,36,2.661175,7.802386,01
78,2,01-10,01-10,2,64,7.94152,1.903007,10
79,2,01-10,01-10,2,74,0.05577,4.051935,01
79,2,01-10,01-10,2,26,6.125671,2.555743,10
80,1,10,10,1,100,7.528257,-1.601252,10
81,1,10,10,1,100,8.643025,0.160588,10
82,2,01-10,01-10,2,59,0.409509,5.155833,01
82,2,01-10,01-10,2,41,6.21916,0.418141,10
83,2,01-10,01-10,2,83,6.885438,0.815167,10
83,2,01-10,01-10,2,17,1.643751,6.584711,01
84,2,01-10,01-10,2,94,-1.920461,7.312955,01
84,2,01-10,01-10,2,6,4.465701,0.972895,10
85,1,01,01,1,100,-3.447895,6.833443,01
86,2,01-10,01-10,2,87,-1.038449,9.167159,01
86,2,01-10,01-10,2,13,5.297078,2.708314,10
87,2,01-10,01-10,2,97,0.613513,4.475615,01
87,2,01-10,01-10,2,3,7.001113,-1.165025,10
88,2,01-10,01-10,2,33,7.340479,1.938845,10
88,2,01-10,01-10,2,67,1.220395,6.827698,01
89,2,01-10,01-10,2,29,3.963942,-0.543327,10
89,2,01-10,01-10,2,71,0.12962,6.005408,01
90,1,10,10,1,100,6.770733,1.063187,10
91,2,01-10,01-10,2,95,7.941633,-1.929691,10
91,2,01-10,01-10,2,5,2.527155,4.603565,01
92,1,01,01,1,100,0.923769,6.992717,01
93,2,01-10,01-10,2,86,3.651778,8.830685,01
93,2,01-10,01-10,2,14,7.224351,3.688499,10
94,2,01-10,01-10,2,70,1.849595,6.082987,01
94,2,01-10,01-10,2,30,6.615429,0.699301,10
95,2,01-10,01-10,2,87,-0.082242,6.414178,01
95,2,01-10,01-10,2,13,6.489878,1.163351,10
96,2,01-10,01-10,2,40,0.415576,6.555302,01
96,2,01-10,01-10,2,60,6.886224,-0.082088,10
97,2,01-10,01-10,2,81,6.922236,1.112317,10
97,2,01-10,01-10,2,19,0.391879,6.079787,01
98,2,01-10,01-10,2,84,7.734516,1.873252,10
98,2,01-10,01-10,2,16,1.11901,6.954732,01
99,1,01,01,1,100,-2.614259,7.776218,01
100,1,10,10,1,100,6.163468,-1.584996,10
101,2,01-10,01-10,2,92,-0.162315,7.25037,01
101,2,01-10,01-10,2,8,5.560855,0.621705,10
102,1,10,10,1,100,8.618063,-2.878497,10
103,1,01,01,1,100,-1.449636,5.765502,01
104,2,01-10,01-10,2,91,8.1623,-0.724523,10
104,2,01-10,01-10,2,9,2.065933,4.745453,01
105,1,01,01,1,100,2.419932,4.721575,01
106,1,01,01,1,100,-3.752829,5.373526,01
107,2,01-10,01-10,2,57,5.432624,1.020992,10
107,2,01-10,01-10,2,43,0.047965,6.623913,01
108,2,01-10,01-10,2,88,6.249742,-0.394338,10
108,2,01-10,01-10,2,12,0.411238,4.917827,01
109,1,10,10,1,100,8.451309,1.166617,10
110,1,01,01,1,100,-2.352738,7.554588,01
111,2,01-10,01-10,2,59,7.376793,0.160355,10
111,2,01-10,01-10,2,41,1.524611,6.588662,01
112,2,01-10,01-10,2,84,0.585085,7.151465,01
112,2,01-10,01-10,2,16,6.584622,2.024262,10
113,2,01-10,01-10,2,98,8.785756,-2.083191,10
113,2,01-10,01-10,2,2,2.223532,3.690768,01
114,1,00,00,1,100,3.663116,1.545129,00
115,2,01-10,01-10,2,55,2.289128,8.049293,01
115,2,01-10,01-10,2,45,7.214068,1.613351,10
116,2,01-10,01-10,2,93,0.201014,6.861148,01
116,2,01-10,01-10,2,7,5.652251,0.309333,10
117,2,01-10,01-10,2,90,7.363536,-0.026087,10
117,2,01-10,01-10,2,10,2.602139,6.526544,01
118,1,01,01,1,100,1.701005,7.618703,01
119,2,01-10,01-10,2,61,7.19928,-0.174397,10
119,2,01-10,01-10,2,39,1.318623,5.986252,01
120,2,01-10,01-10,2,69,7.47941,1.39819,10
120,2,01-10,01-10,2,31,2.547445,6.885573,01
121,2,01-10,01-10,2,89,6.089614,-0.576047,10
121,2,01-10,01-10,2,11,0.092184,4.327725,01
122,2,01-10,01-10,2,91,8.5634150000000009,-0.558058,10
122,2,01-10,01-10,2,9,2.870831,5.428218,01
123,2,01-10,01-10,2,97,-0.638231,6.559416,01
123,2,01-10,01-10,2,3,5.037299,1.760601,10
124,1,01,01,1,100,-2.145304,5.325495,01
125,2,01-10,01-10,2,83,1.911665,8.181998,01
125,2,01-10,01-10,2,17,6.55207,2.316614,10
126,2,01-10,01-10,2,90,6.856764,-0.015333,10
126,2,01-10,01-10,2,10,1.220929,6.433365,01
127,2,01-10,01-10,2,99,7.488514,0.376969,10
127,2,01-10,01-10,2,1,2.855233,6.061366,01
128,1,10,10,1,100,7.186405,-1.919206,10
129,1,01,01,1,100,0.380786,7.110962,01
130,2,01-10,01-10,2,83,0.778911,8.051857,01
130,2,01-10,01-10,2,17,7.409098,2.418028,10
131,2,01-10,01-10,2,67,5.375604,-2.579286,10
131,2,01-10,01-10,2,33,0.986975,3.905713,01
132,2,01-10,01-10,2,79,6.856764,1.868445,10
