parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-0303-1010-1013,0300-0303-1003-1010-1103,4,5,0.75
2,1011,1010-1011,1,2,1
3,1010,0300-1010,1,2,1
4,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
5,0300-1010,0300-0303-1010-1103,2,4,1
6,0303-1010-1013,0303-1010-1013,3,3,1
7,0303-1003,0300-0303-1003-1010,2,4,1
8,0310-1010,0210-1010,2,2,0.5
9,0303-1003-1010,0300-0303-1003-1010,3,4,1
10,0300-0303-1010,0300-0303-1010-1103,3,4,1
11,1010,-1,1,2,0
12,0300-0303-1010,0300-0303-1010,3,3,1
13,0303,0303,1,1,1
14,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
15,0303-1010-1013,0303-1010-1013,3,3,1
16,1010,0300-0301-1010-1011,1,4,1
17,0303-1010-1013,0303-1010-1013,3,3,1
18,0300-1010,0300-1010,2,2,1
19,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
20,0303-1103,0300-0303-1003-1010,2,4,0.5
21,1010,1003-1010-1303,1,3,1
22,0303-1010-1013,0303-1010-1013,3,3,1
23,0303-1010-1013,0303-1010-1013,3,3,1
24,1010,0300-1010,1,2,1
25,1003-1010-1300-1303,1003-1010-1303,4,3,0.75
26,0300-0303-1010,0300-0303-1010,3,3,1
27,1010-1303,1010-1113-1303,2,3,1
28,1010-1011,1010-1011,2,2,1
29,0301-0303-1001-1201,0301-0303-1001-1201,4,4,1
30,0010-0300,0010-0300,2,2,1
31,0303-1003,0300-0303-1003-1010,2,4,1
32,0303,0303-1003,1,2,1
33,0010-0300-0303,0010-0110-0300-0303,3,4,1
34,0300-1010,0300-1010,2,2,1
35,0010-0300-0303,0010-0300-0303,3,3,1
36,0010-0210-0303,0010-0210-0303,3,3,1
37,0303-1010-1013,0303-1010-1013-1113,3,4,1
38,1010,1010,1,1,1
39,1010,1010,1,1,1
40,0300-1010,0300-1010,2,2,1
41,0303-1010-1013,0303-1010-1013,3,3,1
42,1003-1010-1300-1303,1003-1010-1303,4,3,0.75
43,0010,0010-0300,1,2,1
44,0301-0303-1003-1011,0301-0303-1003-1011,4,4,1
45,0300-0303-1010,0210-0300-0303-1010,3,4,1
46,1010,1010-1012,1,2,1
47,0300-1010,0300-0303-1010-1013,2,4,1
48,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
49,0303,0300-0303-1010,1,3,1
50,1010,0303-1010-1013,1,3,1
51,0301-1011,0301-0303-1001-1003,2,4,0.5
52,0300-1010,0300-0303-1003-1010,2,4,1
53,0303-1003-1010,0300-0303-1003-1010,3,4,1
54,1010,1010,1,1,1
55,0301-0303-1011,0301-0303-1011-1101-1103,3,5,1
56,0303-1003-1010,0303-1003-1010,3,3,1
57,0303-1010-1013,0303-1010,3,2,0.6666666666666666
58,1010,0303-1003-1010,1,3,1
59,0310-1010,0310-1010,2,2,1
60,0301-0303,0301-0303-1001-1003,2,4,1
61,1010,1010,1,1,1
62,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
63,0303-1003-1010,0303-1003-1010,3,3,1
64,0303,0300-0303-1003-1010,1,4,1
65,0300-1010,0300-1010,2,2,1
66,1010,1010,1,1,1
67,1303,1010-1300-1303,1,3,1
68,0010-0303,0010-0303,2,2,1
69,0300-0303-1010,0300-0303-1010-1103,3,4,1
70,0312-1010-1012,0312-1010-1012,3,3,1
71,0300-0303-1010,0300-0303-1003-1010,3,4,1
72,0010,0010,1,1,1
73,0010-0300-0303,0010-0300-0303,3,3,1
74,0010-0303,0010-0303,2,2,1
75,1010,0302-1010-1012,1,3,1
76,0300-0303-1000,0300-0303-1000,3,3,1
77,1010,0300-1010,1,2,1
78,0300-0303-1010,-1,3,2,0
79,0303,0300-0303-1010,1,3,1
80,0303,0303-0311,1,2,1
81,0300-1010,0300-1010,2,2,1
