Phase,Count,Frequency
0002-2020,1,1e-4
0012,1,1e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,10,0.001
0012-0022-0202-2020,2,2e-4
0012-0202,5,5e-4
0012-0202-1020,1,1e-4
0012-0202-2011-2020,11,0.0011
0012-0202-2020,58,0.0058
0012-0202-2020-2101,1,1e-4
0012-0202-2020-2200,1,1e-4
0012-0212-2011-2020,1,1e-4
0012-2011-2020,2,2e-4
0012-2020,6,6e-4
0021-0022-0202,1,1e-4
0021-0121-0202-2020,1,1e-4
0021-0202,7,7e-4
0021-0202-0211-2020,5,5e-4
0021-0202-0211-2020-2210,1,1e-4
0021-0202-1020,2,2e-4
0021-0202-2020,74,0.0074
0021-0202-2020-2100,1,1e-4
0021-1020,1,1e-4
0021-2020,6,6e-4
0022,1,1e-4
0022-0102-2020,1,1e-4
0022-0122-0202-2020,1,1e-4
0022-0202,25,0.0025
0022-0202-1020,1,1e-4
0022-0202-1021,1,1e-4
0022-0202-1022,1,1e-4
0022-0202-1210-2020,2,2e-4
0022-0202-2020,136,0.0136
0022-0202-2020-2201,1,1e-4
0022-0202-2021,11,0.0011
0022-0212,2,2e-4
0022-0212-2020,8,8e-4
0022-0212-2021,1,1e-4
0022-2020,18,0.0018
0102-1020-1110,1,1e-4
0102-1101-2001-2020,1,1e-4
0102-2001-2002-2020,1,1e-4
0102-2020,8,8e-4
0112,1,1e-4
0112-0120-0202-2020,10,0.001
0112-0120-2020,1,1e-4
0112-0121-0202-1012-1021-2020,1,1e-4
0112-0121-0202-1120-2020,1,1e-4
0112-0121-0202-2020,5,5e-4
0112-0122-0202-2020,2,2e-4
0112-0202,3,3e-4
0112-0202-1012,1,1e-4
0112-0202-1012-2011-2020,1,1e-4
0112-0202-1012-2020,5,5e-4
0112-0202-1022,1,1e-4
0112-0202-1111-1120-1201-2011-2020,1,1e-4
0112-0202-1120-1200-2020,1,1e-4
0112-0202-1120-2020,2,2e-4
0112-0202-2011-2020,1,1e-4
0112-0202-2011-2020-2201,3,3e-4
0112-0202-2012-2020,5,5e-4
0112-0202-2020,27,0.0027
0112-0202-2120,2,2e-4
0112-1012-2011-2020,1,1e-4
0112-2012-2020,2,2e-4
0112-2020,6,6e-4
0112-2111-2120,1,1e-4
0120,1,1e-4
0120-0122-0202-2020,1,1e-4
0120-0202,7,7e-4
0120-0202-0210-2020,9,9e-4
0120-0202-0220-2020,4,4e-4
0120-0202-2020,66,0.0066
0120-0210-2020,2,2e-4
0120-2020,5,5e-4
0121-0122-0202-1021-1022-2020,1,1e-4
0121-0202,9,9e-4
0121-0202-0211,1,1e-4
0121-0202-0211-2020,8,8e-4
0121-0202-0221,1,1e-4
0121-0202-0221-2020,1,1e-4
0121-0202-1021-2020,9,9e-4
0121-0202-1120,1,1e-4
0121-0202-1120-1200-2020,1,1e-4
0121-0202-1120-2020,3,3e-4
0121-0202-1200-2020,1,1e-4
0121-0202-2020,68,0.0068
0121-0202-2021,1,1e-4
0121-0211,1,1e-4
0121-0211-2020,1,1e-4
0121-0212-2020,2,2e-4
0121-1120-2020,1,1e-4
0121-2020,9,9e-4
0122,2,2e-4
0122-0202,18,0.0018
0122-0202-0212-1120-1220-2020,1,1e-4
0122-0202-0212-2020,1,1e-4
0122-0202-1022,2,2e-4
0122-0202-1022-2020,11,0.0011
0122-0202-1022-2021,1,1e-4
0122-0202-1120-1210-2020,1,1e-4
0122-0202-1120-2020,11,0.0011
0122-0202-1210-2020,2,2e-4
0122-0202-2020,93,0.0093
0122-0202-2020-2021,2,2e-4
0122-0202-2020-2201,1,1e-4
0122-0202-2021,4,4e-4
0122-0202-2021-2022,1,1e-4
0122-0202-2022,2,2e-4
0122-0202-2120,3,3e-4
0122-0212,2,2e-4
0122-0212-1022-2020,1,1e-4
0122-0212-1120-2020,1,1e-4
0122-0212-2020,4,4e-4
0122-1022-2020,2,2e-4
0122-2020,12,0.0012
0122-2020-2022,1,1e-4
0122-2021,4,4e-4
0122-2120,2,2e-4
0200-2020,1,1e-4
0201-2010,1,1e-4
0201-2020,7,7e-4
0201-2020-2200,3,3e-4
0202,706,0.0706
0202-0210,9,9e-4
0202-0210-0211-2020,1,1e-4
0202-0210-1020,3,3e-4
0202-0210-1210-2020,1,1e-4
0202-0210-2020,57,0.0057
0202-0210-2020-2102,1,1e-4
0202-0210-2020-2102-2110,1,1e-4
0202-0210-2020-2110,8,8e-4
0202-0210-2020-2210,1,1e-4
0202-0211,7,7e-4
0202-0211-0221-2020-2210,1,1e-4
0202-0211-1002-2020,1,1e-4
0202-0211-1012-1021-2020,1,1e-4
0202-0211-1021-1102-2020,1,1e-4
0202-0211-1021-2020,3,3e-4
0202-0211-1210-2020,3,3e-4
0202-0211-1210-2020-2210,1,1e-4
0202-0211-2020,17,0.0017
0202-0211-2020-2021,1,1e-4
0202-0211-2020-2110,3,3e-4
0202-0211-2020-2210,10,0.001
0202-0211-2021-2102-2111,1,1e-4
0202-0211-2110,1,1e-4
0202-0211-2120,1,1e-4
0202-0211-2210,2,2e-4
0202-0212-1012-2020,1,1e-4
0202-0212-1022-1102-1112-2020,1,1e-4
0202-0212-1022-2020-2210,1,1e-4
0202-0212-2020,8,8e-4
