parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,63,0.535509,5.685612,01
1,2,01-10,01-10,2,37,5.502343,-0.21975,10
2,1,01,01,1,100,0.359333,5.336924,01
3,2,01-10,01-10,2,87,5.972701,0.30289,10
3,2,01-10,01-10,2,13,0.599052,5.113762,01
4,1,10,10,1,100,6.479517,-2.443179,10
5,2,01-10,01-10,2,86,1.653149,5.800187,01
5,2,01-10,01-10,2,14,5.552799,-0.710851,10
6,1,01,01,1,100,-2.449989,4.964034,01
7,1,10,10,1,100,5.420989,-4.066113,10
8,2,01-10,01-10,2,85,1.653149,5.800187,01
8,2,01-10,01-10,2,15,5.552799,-0.710851,10
9,1,01,01,1,100,-2.656111,5.663735,01
10,2,01-10,01-10,2,83,2.677121,6.407341,01
10,2,01-10,01-10,2,17,5.784579,0.490796,10
11,2,01-10,01-10,2,80,0.947093,5.242223,01
11,2,01-10,01-10,2,20,6.668435,-0.53871,10
12,1,01,01,1,100,-2.304138,7.251384,01
13,2,01-10,01-10,2,6,4.007073,1.603192,10
13,2,01-10,01-10,2,94,-2.238445,7.251384,01
14,1,01,01,1,100,-0.809187,6.343818,01
15,2,01-10,01-10,2,33,7.190737,3.183217,10
15,2,01-10,01-10,2,67,1.8267,7.186133,01
16,2,01-10,01-10,2,98,-1.370383,6.035868,01
16,2,01-10,01-10,2,2,4.741893,0.395652,10
17,1,01,01,1,100,-0.513217,7.837782,01
18,1,10,10,1,100,6.689183,0.297548,10
19,1,01,01,1,100,1.402432,7.768076,01
20,1,01,01,1,100,-0.567172,7.768076,01
21,2,01-10,01-10,2,88,0.419665,7.539092,01
21,2,01-10,01-10,2,12,5.098029,0.905727,10
22,1,10,10,1,100,7.596632,-5.023243,10
23,2,01-10,01-10,2,79,7.514886,0.734645,10
23,2,01-10,01-10,2,21,1.583257,6.39687,01
24,1,10,10,1,100,5.686532,1.717565,10
25,2,01-10,01-10,2,35,1.12868,6.418963,01
25,2,01-10,01-10,2,65,7.586634,0.237362,10
26,2,01-10,01-10,2,99,8.829959,0.643046,10
26,2,01-10,01-10,2,1,2.954974,5.994578,01
27,1,10,10,1,100,6.175804,-1.003714,10
28,1,10,10,1,100,6.206625,-1.687294,10
29,2,01-10,01-10,2,51,7.762179,2.559091,10
29,2,01-10,01-10,2,49,2.037504,6.645843,01
30,1,01,01,1,100,-1.714086,5.979676,01
31,2,01-10,01-10,2,14,5.685612,3.512822,10
31,2,01-10,01-10,2,86,-0.209457,8.275837,01
32,2,01-10,01-10,2,93,-0.00513,7.650629,01
32,2,01-10,01-10,2,7,3.808446,1.14499,10
33,1,01,01,1,100,0.131371,6.740215,01
34,2,01-10,01-10,2,43,6.227886,0.737208,10
34,2,01-10,01-10,2,57,1.540286,6.652184,01
35,2,01-10,01-10,2,80,7.59657,-1.43725,10
35,2,01-10,01-10,2,20,3.495135,5.151523,01
36,1,10,10,1,100,5.227741,-2.585401,10
37,2,01-10,01-10,2,82,1.942677,6.459334,01
37,2,01-10,01-10,2,18,6.444762,2.041093,10
38,1,10,10,1,100,6.810955,-0.591498,10
39,1,10,10,1,100,7.807669,0.005472,10
40,2,01-10,01-10,2,81,1.235502,5.410075,01
40,2,01-10,01-10,2,19,5.813481,4.06783,10
41,2,01-10,01-10,2,4,4.73928,4.535547,01
41,2,01-10,01-10,2,96,7.882101,-0.479974,10
42,2,01-10,01-10,2,88,-0.02953,6.377424,01
42,2,01-10,01-10,2,12,6.508219,1.300903,10
43,2,01-10,01-10,2,64,0.740709,6.446397,01
43,2,01-10,01-10,2,36,6.929064,0.077993,10
44,2,01-10,01-10,2,88,6.423005,-0.355896,10
44,2,01-10,01-10,2,12,0.291632,5.846884,01
45,1,01,01,1,100,1.44451,6.135826,01
46,2,01-10,01-10,2,39,0.087793,6.092704,01
46,2,01-10,01-10,2,61,5.958493,-0.334025,10
47,2,01-10,01-10,2,93,7.59657,-0.196751,10
47,2,01-10,01-10,2,7,1.836095,4.902481,01
48,2,01-10,01-10,2,96,1.632565,5.656185,01
48,2,01-10,01-10,2,4,5.648411,1.368242,10
49,2,01-10,01-10,2,74,6.579892,0.985985,10
49,2,01-10,01-10,2,26,1.724479,7.356629,01
50,1,10,10,1,100,7.405689,-2.670147,10
51,1,01,01,1,100,-1.193992,6.909956,01
52,1,01,01,1,100,2.226764,6.306001,01
53,2,01-10,01-10,2,80,-0.317191,7.389413,01
53,2,01-10,01-10,2,20,6.133148,1.256898,10
54,2,01-10,01-10,2,91,0.543086,7.740273,01
54,2,01-10,01-10,2,9,6.714577,2.121541,10
55,1,01,01,1,100,-0.960302,6.867071,01
56,1,10,10,1,100,8.798133,-0.558402,10
57,2,01-10,01-10,2,91,1.866663,8.486776,01
57,2,01-10,01-10,2,9,6.797052,2.258004,10
58,2,01-10,01-10,2,80,-0.440756,3.866672,01
58,2,01-10,01-10,2,20,5.8104,-1.822926,10
59,2,01-10,01-10,2,83,7.393232,-0.75306,10
59,2,01-10,01-10,2,17,1.871194,5.785393,01
60,2,01-10,01-10,2,99,6.755216,1.404863,10
60,2,01-10,01-10,2,1,1.29035,4.447489,01
61,2,01-10,01-10,2,42,5.82521,0.931194,10
61,2,01-10,01-10,2,58,0.483776,7.187896,01
62,1,01,01,1,100,0.506222,7.861064,01
63,2,01-10,01-10,2,6,2.14667,6.144147,01
63,2,01-10,01-10,2,94,7.431762,0.859053,10
64,2,01-10,01-10,2,74,-0.406535,5.541724,01
64,2,01-10,01-10,2,26,5.580726,-0.154172,10
65,1,01,01,1,100,1.5449,7.735888,01
66,2,01-10,01-10,2,63,1.740233,7.557051,01
66,2,01-10,01-10,2,37,7.56297,4.358654,10
67,2,01-10,01-10,2,34,1.824383,7.686345,01
67,2,01-10,01-10,2,66,7.700597,1.514854,10
68,1,10,10,1,100,7.375718,-0.456147,10
69,1,01,01,1,100,1.789376,5.626266,01
70,2,01-10,01-10,2,39,1.346416,7.910073,01
70,2,01-10,01-10,2,61,7.988653,2.517135,10
71,2,01-10,01-10,2,94,1.670445,7.167451,01
71,2,01-10,01-10,2,6,7.217043,0.913853,10
72,2,01-11,01,2,98,1.089734,8.745124,01
72,2,01-11,01,2,2,4.193985,4.043815,11
73,2,01-10,01-10,2,81,-0.484897,8.745398,01
73,2,01-10,01-10,2,19,5.579567,2.289742,10
74,1,10,10,1,100,7.223768,-2.295642,10
75,1,01,01,1,100,0.263195,8.463481,01
76,2,01-10,01-10,2,86,-1.586824,8.68293,01
76,2,01-10,01-10,2,14,4.775639,2.882261,10
77,1,10,10,1,100,7.188759,-0.187954,10
78,1,11,11,1,100,2.057907,3.698941,11
79,1,01,01,1,100,-0.088163,8.011726,01
80,2,01-10,01-10,2,34,6.497958,2.682381,10
80,2,01-10,01-10,2,66,0.602653,8.738502,01
81,1,01,01,1,100,-0.861506,8.853335,01
82,2,01-10,01-10,2,91,0.371583,6.171822,01
82,2,01-10,01-10,2,9,6.363308,-0.150906,10
83,2,01-10,01-10,2,76,6.755294,0.478629,10
83,2,01-10,01-10,2,24,1.363118,6.894274,01
84,2,01-10,01-10,2,41,1.328809,6.532863,01
84,2,01-10,01-10,2,59,6.902105,0.676271,10
85,1,11,11,1,100,5.686601,2.888457,11
86,2,01-10,01-10,2,22,3.628934,3.614035,01
86,2,01-10,01-10,2,78,6.101386,-1.64955,10
87,2,01-10,01-10,2,66,5.590956,0.896793,10
