parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,20,6.616907,1.30717,10
1,2,01-10,01-10,2,80,0.068115,6.454051,01
2,1,00,00,1,100,1.508673,2.462193,00
3,1,01,01,1,100,-2.128601,6.538922,01
4,2,01-10,01-10,2,66,6.894187,2.78065,10
4,2,01-10,01-10,2,34,1.643802,5.878753,01
5,2,01-10,01-10,2,85,0.156186,6.643268,01
5,2,01-10,01-10,2,15,5.989819,1.531878,10
6,1,10,01-10,1,100,6.331036,-2.558449,10
7,2,01-10,01-10,2,90,4.931096,-1.144167,10
7,2,01-10,01-10,2,10,-1.651023,4.683397,01
8,2,01-10,01-10,2,85,-0.492872,6.418631,01
8,2,01-10,01-10,2,15,4.9998,1.303693,10
9,2,01-10,01-10,2,98,-2.090396,5.862156,01
9,2,01-10,01-10,2,2,4.33541,3.937583,10
10,1,01,01,1,100,-3.443079,4.727857,01
11,1,01,01,1,100,-2.056774,6.456436,01
12,2,01-10,01-10,2,92,-0.500689,6.841594,01
12,2,01-10,01-10,2,8,4.6571,1.032636,10
13,1,10,10,1,100,7.289662,-0.556875,10
14,1,01,01,1,100,2.559198,7.234837,01
15,1,01,01,1,100,0.274118,7.387277,01
16,2,01-10,01-10,2,54,6.272232,0.445217,10
16,2,01-10,01-10,2,46,0.493088,7.061319,01
17,2,01-10,01-10,2,80,0.265153,6.739847,01
17,2,01-10,01-10,2,20,6.839532,1.436417,10
18,2,01-10,01-10,2,51,6.438085,2.604199,10
18,2,01-10,01-10,2,49,0.226751,7.35348,01
19,1,10,10,1,100,6.759841,2.511243,10
20,2,01-10,01-10,2,47,1.538892,7.337152,01
20,2,01-10,01-10,2,53,6.175142,1.914425,10
21,2,01-10,01-10,2,38,1.457279,7.807891,01
21,2,01-10,01-10,2,62,7.203862,2.421812,10
22,2,01-10,01-10,2,94,0.013194000000000001,6.792656,01
22,2,01-10,01-10,2,6,6.309721,3.919224,10
23,1,01,01-10,1,100,-1.380061,7.851257,01
24,1,10,10,1,100,5.712731,-3.128368,10
25,1,10,10,1,100,6.882578,-0.648335,10
26,1,01,01,1,100,2.387644,6.091257,01
27,1,10,10,1,100,6.211179,0.329172,10
28,1,01,01,1,100,-2.527651,6.32323,01
29,2,01-10,01-10,2,73,2.407678,7.382711,01
29,2,01-10,01-10,2,27,6.48329,1.752021,10
30,2,01-10,01-10,2,54,6.726126,3.062368,10
30,2,01-10,01-10,2,46,0.574817,6.2039859999999996,01
31,2,01-10,01-10,2,93,7.139824,1.75032,10
31,2,01-10,01-10,2,7,0.916486,6.726809,01
32,2,01-10,01-10,2,65,1.719399,3.370812,01
32,2,01-10,01-10,2,35,6.30901,-2.964099,10
33,2,01-10,01-10,2,86,7.093658,1.105179,10
33,2,01-10,01-10,2,14,2.038305,6.362805,01
34,1,10,10,1,100,7.944465,0.104765,10
35,2,01-10,01-10,2,85,-0.994543,6.324077,01
35,2,01-10,01-10,2,15,5.63573,1.883281,10
36,2,01-10,01-10,2,43,6.487048,1.688105,10
36,2,01-10,01-10,2,57,1.268438,6.493,01
37,2,01-10,01-10,2,34,-0.65943,5.946805,01
37,2,01-10,01-10,2,66,5.63198,-0.599204,10
38,1,10,10,1,100,7.283533,-2.438231,10
39,2,01-10,01-10,2,82,4.860758,-0.017961,10
39,2,01-10,01-10,2,18,-0.706477,5.008848,01
40,2,01-10,01-10,2,98,7.209285,-0.321387,10
40,2,01-10,01-10,2,2,3.272156,4.679299,01
41,2,01-10,01-10,2,94,0.778175,7.211109,01
41,2,01-10,01-10,2,6,6.433514,1.147252,10
