parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,69,6.20358,1.142167,10
1,2,01-10,01-10,2,31,0.375591,6.042111,01
2,2,01-10,01-10,2,14,2.09837,6.531648,01
2,2,01-10,01-10,2,86,6.370792,-0.032138,10
3,2,01-10,01-10,2,78,1.004275,6.292716,01
3,2,01-10,01-10,2,22,6.83972,0.545019,10
4,2,01-10,01-10,2,69,-0.036076,5.763897,01
4,2,01-10,01-10,2,31,6.311112,-0.849046,10
5,1,10,10,1,100,7.701436,1.156659,10
6,2,01-10,01-10,2,88,-0.945754,7.331785,01
6,2,01-10,01-10,2,12,4.786676,0.919391,10
7,2,01-10,01-10,2,86,1.27696,4.882039,01
7,2,01-10,01-10,2,14,6.47932,1.004045,10
8,2,01-10,01-10,2,93,0.165631,6.375916,01
8,2,01-10,01-10,2,7,5.12394,1.315245,10
9,2,01-10,01-10,2,75,6.866943,-0.032094,10
9,2,01-10,01-10,2,25,4.289626,5.86711,01
10,2,01-10,01-10,2,74,-0.197769,5.895256,01
10,2,01-10,01-10,2,26,4.780259,-0.541881,10
11,2,01-10,01-10,2,79,6.278793,-1.000603,10
11,2,01-10,01-10,2,21,2.371187,5.577307,01
12,2,01-10,01-10,2,81,5.918107,3.241085,10
12,2,01-10,01-10,2,19,1.991492,6.13882,01
13,2,01-10,01-10,2,90,-0.629218,5.334397,01
13,2,01-10,01-10,2,10,5.233869,0.220084,10
14,1,10,10,1,100,6.499572,-1.294073,10
15,1,01,01,1,100,1.86387,7.468851,01
16,1,10,10,1,100,5.891706,0.133185,10
17,2,01-10,01-10,2,42,2.893534,5.157017,01
17,2,01-10,01-10,2,58,7.748627,2.269188,10
18,2,01-10,01-10,2,99,-1.418971,5.526404,01
18,2,01-10,01-10,2,1,4.068028,3.597674,10
19,2,01-10,01-10,2,99,-0.466121,5.187909,01
19,2,01-10,01-10,2,1,5.878795,-0.42778,10
20,2,01-10,01-10,2,86,0.19471,7.074951,01
20,2,01-10,01-10,2,14,6.158604,1.545795,10
21,2,01-10,01-10,2,94,-0.236733,6.602191,01
21,2,01-10,01-10,2,6,4.986797,0.461854,10
22,2,01-10,01-10,2,66,6.70077,0.588879,10
22,2,01-10,01-10,2,34,0.219775,5.940326,01
23,1,01,01,1,100,2.166471,7.10093,01
24,2,01-10,01-10,2,57,6.989298,3.728912,10
24,2,01-10,01-10,2,43,1.236168,6.278793,01
25,1,01,01,1,100,-0.112133,6.602191,01
26,1,11,11,1,100,4.630978,3.241467,11
27,1,10,10,1,100,5.63338,-2.225251,10
28,1,01,01,1,100,-0.929271,6.797222,01
29,2,01-10,01-10,2,59,1.595922,2.807662,01
29,2,01-10,01-10,2,41,7.19186,-3.069866,10
30,2,01-10,01-10,2,10,1.126425,5.876963,01
30,2,01-10,01-10,2,90,7.547945,-0.227586,10
31,1,10,10,1,100,8.04682,0.503264,10
32,1,01,01,1,100,0.369867,7.793875,01
33,2,01-10,01-10,2,92,6.372713,0.047199,10
33,2,01-10,01-10,2,8,0.026222,6.393689,01
34,2,01-10,01-10,2,74,2.462438,6.755011,01
34,2,01-10,01-10,2,26,5.796271,2.03023,10
