parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,002-020,002,002-020-200,2,0.15,-1.909266,1.669361,5.175139,0.15
1,2,002-020,020,002-020-200,2,0.85,-1.757959,7.073399,-1.250315,0.85
2,1,002,002,002-201,1,1,-0.127628,0.684032,6.561689,1
3,2,020-200,020,020-200,2,0.24,-0.103506,6.472086,-1.399844,0.24
3,2,020-200,200,020-200,2,0.76,6.23808,0.829005,-3.288183,0.76
4,2,020-210,020,020-210,2,0.34,1.000078,6.550709,-2.228763,0.34
4,2,020-210,210,020-210,2,0.66,6.768082,1.961275,-8.250506,0.66
5,1,002,002,002,1,1,0.007931,0.338499,6.798263,1
6,2,002-200,200,002-200,2,0.9,6.111886,-3.744146,0.323919,0.9
6,2,002-200,002,002-200,2,0.1,-0.382109,-4.097381,5.933352,0.1
7,3,002-020-210,020,002-020,3,0.84,-0.128134,5.711434,-1.754996,0.84
7,3,002-020-210,210,002-020,3,0.15,5.166508,1.227065,-1.499476,0.15
7,3,002-020-210,002,002-020,3,0.01,1.45858,0.885955,3.873663,0.01
8,3,002-020-200,200,002-020-200,3,0.66,6.538189,1.427174,1.794801,0.66
8,3,002-020-200,002,002-020-200,3,0.08,0.215882,1.091857,5.630831,0.08
8,3,002-020-200,020,002-020-200,3,0.26,-0.085993,6.177663,-0.716798,0.26
9,2,002-201,002,002-201,2,0.69,-0.324686,0.257191,6.543357,0.69
9,2,002-201,201,002-201,2,0.31,5.250079,-0.468829,1.497436,0.31
10,1,200,200,200,1,1,6.466618,-3.455966,1.074216,1
11,2,020-210,020,020-210,2,0.76,-3.439886,6.154063,-0.966152,0.76
11,2,020-210,210,020-210,2,0.24,3.320814,-0.390041,-5.483106,0.24
12,2,102-200,102,102-200,2,0.18,1.559803,0.343361,6.169545,0.18
12,2,102-200,200,102-200,2,0.82,7.099213,1.284117,-0.179989,0.82
13,3,002-020-200,200,002-020-200,3,0.45,7.00111,0.780103,1.657231,0.45
13,3,002-020-200,020,002-020-200,3,0.28,1.677243,6.596466,0.3956,0.28
13,3,002-020-200,002,002-020-200,3,0.27,1.04859,1.26554,7.261667,0.27
14,2,102-200,200,020-102-200,2,0.19,6.086724,0.121655,0.392942,0.19
14,2,102-200,102,020-102-200,2,0.81,0.354012,-3.789827,6.257299,0.81
15,1,020,020,012-020,1,1,-0.146802,5.144687,-1.855336,1
16,1,200,200,120-200,1,1,7.382484,-1.739828,-1.279498,1
17,3,002-020-200,002,002-020-200,3,0.34,0.368942,0.818796,6.767861,0.34
17,3,002-020-200,020,002-020-200,3,0.49,2.838781,6.199343,1.178657,0.49
17,3,002-020-200,200,002-020-200,3,0.17,6.755507,0.508838,0.842576,0.17
18,3,002-020-201,201,002-020-201,3,0.64,6.411851,-1.716661,1.435108,0.64
18,3,002-020-201,002,002-020-201,3,0.17,0.868894,0.499326,5.946551,0.17
18,3,002-020-201,020,002-020-201,3,0.19,0.096764,6.88882,-0.142611,0.19
19,1,002,002,002,1,1,2.242842,-3.010216,7.999203,1
20,2,022-200,022,210,2,0.78,-1.796889,3.150691,3.590341,0.78
20,2,022-200,200,210,2,0.22,6.761734,1.027177,0.218168,0.22
21,2,102-210,102,012-102,2,0.57,-1.278071,-1.741105,6.779936,0.57
21,2,102-210,210,012-102,2,0.43,3.610496,0.87684,2.280585,0.43
22,3,002-020-200,020,002-020-200,3,0.28,0.454259,5.961103,0.150263,0.28
22,3,002-020-200,200,002-020-200,3,0.29,6.084716,0.177147,0.924027,0.29
22,3,002-020-200,002,002-020-200,3,0.43,0.199647,1.380498,5.313342,0.43
23,3,102-120-200,200,120-200,3,0.55,6.858223,-1.405415,1.529008,0.55
23,3,102-120-200,102,120-200,3,0.34,2.05459,-1.087641,5.669592,0.34
23,3,102-120-200,120,120-200,3,0.11,1.92541,5.128555,0.822072,0.11
24,2,120-200,200,120-200,2,0.7,7.048565,0.067619,-0.054522,0.7
24,2,120-200,120,120-200,2,0.3,3.007045,6.158918,-2.763819,0.3
25,1,002,002,002,1,1,-0.080414,-0.444369,7.194086,1
26,3,012-021-202,202,012-120-202,3,0.55,4.27702,-1.822215,3.544065,0.55
26,3,012-021-202,021,012-120-202,3,0.19,1.089904,3.459288,0.932751,0.19
26,3,012-021-202,012,012-120-202,3,0.26,2.342605,0.907764,5.35822,0.26
27,1,002,002,002,1,1,-0.931203,-0.206775,6.862449,1
28,2,120-200,120,120-200,2,0.47,1.105988,5.614247,-4.673552,0.47
28,2,120-200,200,120-200,2,0.53,5.76971,1.733877,1.767516,0.53
29,2,021-201,201,021-201,2,0.43,4.630734,1.903357,1.786328,0.43
29,2,021-201,021,021-201,2,0.57,-1.047469,7.366118,1.619526,0.57
30,3,002-020-200,002,002-020-200,3,0.63,-0.115132,-0.332965,7.012742,0.63
30,3,002-020-200,200,002-020-200,3,0.24,6.366019,0.538913,1.143484,0.24
30,3,002-020-200,020,002-020-200,3,0.13,0.180279,6.222815,0.382011,0.13
31,2,021-120,021,021-120,2,0.43,-2.73097,5.775302,0.362688,0.43
31,2,021-120,120,021-120,2,0.57,0.649464,6.164042,-3.19445,0.57
32,2,012-022,022,012,2,0.56,-0.648322,6.658003,0.875159,0.56
32,2,012-022,012,012,2,0.44,-1.226835,1.675099,6.343599,0.44
33,2,002-201,002,002-201,2,0.54,0.653955,-0.269606,7.945725,0.54
33,2,002-201,201,002-201,2,0.46,6.522172,-4.993571,2.361702,0.46
34,1,002,002,002,1,1,-0.187048,1.715261,7.125589,1
35,2,102-201,102,102-201,2,0.42,1.2133100000000001,-4.967593,5.267168,0.42
35,2,102-201,201,102-201,2,0.58,7.158176,-5.921077,1.538197,0.58
36,2,021-022,022,021,2,0.56,-2.319417,3.09643,5.606296,0.56
36,2,021-022,021,021,2,0.44,-0.780523,7.601718,0.971646,0.44
37,2,002-201,201,-1,2,0.21,5.532436,-4.434212,0.45634,0.21
37,2,002-201,002,-1,2,0.79,-0.204127,0.231893,5.489122,0.79
38,1,020,020,-1,1,1,-0.006944,8.399584,0.966835,1
39,3,002-120-200,002,002-120-200,3,0.31,-0.309102,-1.204031,7.054364,0.31
39,3,002-120-200,120,002-120-200,3,0.33,1.468675,4.306024,-1.841007,0.33
39,3,002-120-200,200,002-120-200,3,0.36,6.127627,-1.549074,1.651717,0.36
40,2,002-201,201,002-201,2,0.22,6.734514,-1.783561,0.689988,0.22
40,2,002-201,002,002-201,2,0.78,1.341058,0.330178,6.215451,0.78
41,2,020-200,020,020-200,2,0.06,1.258541,4.7701,0.399786,0.06
41,2,020-200,200,020-200,2,0.94,7.1906,-0.894363,0.247842,0.94
42,2,120-200,120,002-120-200,2,0.16,0.729573,5.095717,-2.325821,0.16
42,2,120-200,200,002-120-200,2,0.84,6.277339,-0.146093,0.320827,0.84
43,2,012-021,012,012-021-120,2,0.76,-1.957719,1.422882,7.035844,0.76
43,2,012-021,021,012-021-120,2,0.24,-0.369801,5.341842,1.546533,0.24
44,1,012,012,012,1,1,-8.353495,1.05268,5.586746,1
45,1,002,002,002,1,1,2.439377,2.026788,6.233233,1
46,1,210,210,201-210,1,1,5.33784,1.380484,-5.081023,1
47,2,002-200,002,002-020-200,2,0.25,0.762198,-1.149693,5.839976,0.25
47,2,002-200,200,002-020-200,2,0.75,6.647231,-1.854749,-0.511133,0.75
48,2,012-020,020,012-020,2,0.73,1.326267,5.240388,1.453307,0.73
48,2,012-020,012,012-020,2,0.27,-3.4790740000000002,-0.427625,6.153534,0.27
49,2,020-210,210,020-210,2,0.47,6.696869,2.067795,-1.637663,0.47
49,2,020-210,020,020-210,2,0.53,1.320698,8.11667,-0.220823,0.53
50,1,002,002,002-021,1,1,1.355014,-2.44033,6.191039,1
51,2,120-200,200,012-120-200,2,0.2,7.830518,0.429798,-1.853703,0.2
51,2,120-200,120,012-120-200,2,0.8,3.369798,6.03968,-1.484556,0.8
52,3,002-020-200,002,002-020-200,3,0.69,2.384208,0.310089,5.155359,0.69
52,3,002-020-200,020,002-020-200,3,0.11,-0.883379,6.02818,0.289099,0.11
52,3,002-020-200,200,002-020-200,3,0.2,5.636653,0.299167,0.030574,0.2
53,2,012-022,012,012,2,0.73,-0.705474,1.798215,8.452758,0.73
53,2,012-022,022,012,2,0.27,-1.860969,6.09719,2.829397,0.27
54,1,201,201,201,1,1,6.613076,-1.019012,0.243681,1
55,1,020,020,020-210,1,1,-2.34311,6.146967,-1.120829,1
56,1,022,022,021,1,1,0.459431,3.532572,3.442405,1
57,1,020,020,002-020,1,1,-3.253739,7.515416,-3.029092,1
58,2,021-200,200,021-200,2,0.22,7.580999,1.677264,-0.947553,0.22
58,2,021-200,021,021-200,2,0.78,-0.601506,8.12904,1.250489,0.78
59,2,021-210,210,021-210,2,0.2,6.899647,0.789242,-3.955674,0.2
59,2,021-210,021,021-210,2,0.8,-2.708232,6.582452,1.967137,0.8
60,2,102-120,120,102-120,2,0.37,-0.401642,6.402532,-1.390862,0.37
60,2,102-120,102,102-120,2,0.63,0.914372,1.881594,4.228543,0.63
61,3,002-020-200,020,002-020-200,3,0.29,0.120953,4.931252,0.3004,0.29
61,3,002-020-200,002,002-020-200,3,0.55,-0.501886,-1.433037,6.51618,0.55
61,3,002-020-200,200,002-020-200,3,0.16,6.062739,-1.081887,0.294972,0.16
62,2,020-210,020,020-210,2,0.35,1.417914,7.04008,-0.787076,0.35
62,2,020-210,210,020-210,2,0.65,7.433563,1.178256,-3.14068,0.65
63,2,021-022,022,021,2,0.68,-1.580511,3.759351,4.960191,0.68
63,2,021-022,021,021,2,0.32,-5.439357,7.48707,1.038937,0.32
64,1,120,120,012-120,1,1,3.400398,1.717404,-0.2765,1
65,1,200,200,200,1,1,7.527838,-3.03005,1.132231,1
66,1,002,002,002-020,1,1,-4.007931,-1.812821,7.472917,1
67,3,002-020-200,200,002-020-200,3,0.18,6.524871,0.398787,1.245379,0.18
67,3,002-020-200,002,002-020-200,3,0.19,0.416854,0.385267,6.878964,0.19
67,3,002-020-200,020,002-020-200,3,0.63,1.229192,6.694224,1.307291,0.63
68,1,200,200,200,1,1,7.090955,-2.270143,-5.014015,1
69,2,002-200,200,002-200,2,0.22,5.982704,-2.427924,0.813798,0.22
69,2,002-200,002,002-200,2,0.78,0.825548,-3.131455,6.35798,0.78
70,1,020,020,020,1,1,-0.383747,9.218539,-0.269399,1
71,3,002-020-200,020,002-020-200,3,0.38,-0.454375,5.717495,2.276712,0.38
71,3,002-020-200,200,002-020-200,3,0.14,5.621436,2.248024,0.363198,0.14
71,3,002-020-200,002,002-020-200,3,0.48,0.047673,0.873866,6.595625,0.48
72,1,020,020,020-210,1,1,1.092736,7.397614,-0.432482,1
73,1,002,002,002,1,1,1.43626,-0.852409,6.486921,1
74,2,102-202,102,102,2,0.23,2.239861,-0.417408,6.42397,0.23
74,2,102-202,202,102,2,0.77,6.494115,-1.621009,2.882484,0.77
75,1,120,120,102-120,1,1,0.020283,5.3447,1.731567,1
76,1,220,220,012-220,2,0.57,7.237544,1.768336,-1.742696,1
76,1,220,220,012-220,2,0.43,2.931134,6.144301,-4.341701,1
77,1,020,020,020,1,1,0.830326,5.496149,-2.320652,1
78,2,002-201,002,002-201,2,0.19,1.146394,-1.338666,5.374747,0.19
78,2,002-201,201,002-201,2,0.81,6.422371,-6.905178,0.529234,0.81
79,2,002-021,021,002-021,2,0.65,-4.124111,6.404568,1.488835,0.65
