parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,012-202,012,012-202,2,0.1,-2.121935,0.243028,6.638761,0.1
1,2,012-202,202,012-202,2,0.9,2.083556,-5.487391,2.063489,0.9
2,2,102-120,102,102-120,2,0.95,1.243528,-2.33505,2.228223,0.95
2,2,102-120,120,102-120,2,0.05,0.944562,3.187939,-1.424062,0.05
3,2,020-102,020,020-102,2,0.78,-2.416641,6.375672,-0.900918,0.78
3,2,020-102,102,020-102,2,0.22,-1.213851,-1.740154,4.84499,0.22
4,1,210,210,210,1,1,6.826684,1.062585,-7.834866,1
5,2,022-201,022,022-201,2,0.67,-2.445948,3.263408,3.4,0.67
5,2,022-201,201,022-201,2,0.33,5.926744,-3.342335,0.711885,0.33
6,1,012,012,012,1,1,-5.829381,-0.940067,6.777147,1
7,2,012-202,202,012-202,2,0.81,2.139319,-4.646181,3.374625,0.81
7,2,012-202,012,012-202,2,0.19,-1.387569,1.116318,7.157342,0.19
8,2,021-210,021,021-210,2,0.94,-6.483468,6.98565,-1.196324,0.94
8,2,021-210,210,021-210,2,0.06,5.181611,0.55289,-4.983886,0.06
9,2,201-220,220,201-220,2,0.67,2.206649,0.504921,-5.53347,0.67
9,2,201-220,201,201-220,2,0.33,6.475087,-3.779527,0.549463,0.33
10,1,020,020,-1,1,1,-5.516518,6.5815,0.734808,1
11,2,021-201,201,021-201,2,0.96,1.545248,-0.464346,-0.377209,0.96
11,2,021-201,021,021-201,2,0.04,-4.723506,3.187939,0.928912,0.04
12,1,200,200,200,1,1,6.030278,-3.620661,1.161933,1
13,1,022,022,022,1,1,-6.771677,1.926762,0.746461,1
14,3,022-202-220,202,022-202-220,3,0.18,1.573799,-2.69625,2.904684,0.18
14,3,022-202-220,220,022-202-220,3,0.31,1.490146,2.190161,-3.269585,0.31
14,3,022-202-220,022,022-202-220,3,0.51,-3.269632,2.041052,2.126914,0.51
15,2,012-202,202,012-202,2,0.83,2.13932,-4.646181,3.374624,0.83
15,2,012-202,012,012-202,2,0.17,-1.387569,1.116318,7.157342,0.17
16,1,220,220,220,1,1,1.479195,1.241268,-9.70855,1
17,2,022-201,022,022-201,2,0.75,-3.656544,0.905462,1.505368,0.75
17,2,022-201,201,022-201,2,0.25,6.512075,-3.528838,0.449178,0.25
18,1,202,202,202,1,1,2.662369,-5.320513,1.296082,1
19,2,012-201,012,012-201,2,0.85,-4.448557,0.450337,1.60059,0.85
19,2,012-201,201,012-201,2,0.15,1.846264,-5.2296,0.614737,0.15
20,2,022-201,022,022-201,2,0.74,-2.445948,3.263408,3.4,0.74
20,2,022-201,201,022-201,2,0.26,5.926744,-3.342335,0.711885,0.26
21,2,022-102,102,022-102,2,0.15,0.742844,-4.679295,6.046033,0.15
21,2,022-102,022,022-102,2,0.85,-5.418308,1.387285,4.311496,0.85
22,1,022,022,-2,1,1,-4.286931,0.915621,3.561562,1
23,2,120-201,120,120-201,2,0.02,0.426846,4.754859,-0.371176,0.02
23,2,120-201,201,120-201,2,0.98,1.150294,-0.883143,0.409493,0.98
24,1,220,220,220,1,1,2.229944,3.833657,-8.782407,1
25,1,012,012,-1,1,1,-7.423597,0.658691,7.929918,1
26,1,201,201,201,1,1,8.067351,-6.641029,-0.274101,1
27,2,002-020,002,-1,2,0.17,-1.052164,-1.280933,5.228973,0.17
27,2,002-020,020,-1,2,0.83,-1.22794,5.288588,-1.079829,0.83
28,1,210,210,210,1,1,7.425633,1.023498,-9.013924,1
29,1,202,202,202,1,1,3.30475,-5.193885,1.998901,1
30,1,102,102,102,1,1,-1.07215,0.048748,5.601646,1
31,2,022-202,022,022,2,0.93,-5.414728,3.33888,2.241552,0.93
31,2,022-202,202,022,2,0.07,3.729727,-1.241626,1.570054,0.07
32,2,102-220,102,102-220,2,0.05,0.666223,-2.481487,5.984045,0.05
32,2,102-220,220,102-220,2,0.95,2.624123,3.635799,-4.231621,0.95
33,2,211-220,220,211-220,2,0.78,2.068991,5.406977,-5.044302,0.78
33,2,211-220,211,211-220,2,0.22,2.06899,0.292199,-0.003611,0.22
34,2,022-210,210,022-210,2,0.05,4.78389,0.425106,-3.543903,0.05
34,2,022-210,022,022-210,2,0.95,-7.786713,3.059103,2.610086,0.95
35,2,102-120,102,102-120,2,0.97,-0.128885,-2.347772,2.044599,0.97
35,2,102-120,120,102-120,2,0.03,0.927304,4.274281,-3.012478,0.03
36,1,120,120,120,1,1,0.048498,7.543009,-6.968262,1
37,1,120,120,120,1,1,-1.668507,6.926457,-4.43067,1
38,3,012-202-220,220,012-202-220,3,0.42,1.856394,0.821006,-3.331087,0.42
38,3,012-202-220,202,012-202-220,3,0.17,0.964226,-5.801039,1.725525,0.17
38,3,012-202-220,012,012-202-220,3,0.41,-3.470074,-0.413046,7.235387,0.41
39,2,102-220,220,102-220,2,0.93,1.7645980000000001,2.473713,-5.606325,0.93
39,2,102-220,102,102-220,2,0.07,0.891258,-2.012787,6.410428,0.07
40,1,002,002,002,1,1,0.220568,-2.051791,5.992258,1
41,1,200,200,200,1,1,6.852315,0.711526,0.414272,1
42,2,012-020,012,012-020,2,0.06,-5.672029,1.009721,4.536781,0.06
42,2,012-020,020,012-020,2,0.94,-0.5259,7.063704,-1.794947,0.94
43,2,002-120,120,002-120,2,0.77,0.89965,4.176732,-6.917184,0.77
43,2,002-120,002,002-120,2,0.23,0.173603,-2.190318,5.468968,0.23
44,2,102-120,102,102-120,2,0.2,0.134516,-4.419884,5.991639,0.2
44,2,102-120,120,102-120,2,0.8,-0.381282,0.721862,0.374275,0.8
45,1,220,220,220,1,1,1.438614,1.928572,-3.483585,1
46,2,022-201,022,022-201,2,0.99,-3.307748,0.101241,2.863199,0.99
46,2,022-201,201,022-201,2,0.01,3.916765,-6.392177,1.321566,0.01
47,1,020,020,020,1,1,0.881863,6.133283,-1.777776,1
48,3,022-202-220,022,022-202-220,3,0.48,-4.295138,0.327246,2.800021,0.48
48,3,022-202-220,202,022-202-220,3,0.49,2.022171,-4.143158,3.891917,0.49
48,3,022-202-220,220,022-202-220,3,0.03,1.766769,2.37205,-2.249314,0.03
49,2,021-201,021,021-201,2,0.7,1.06437,3.307289,-1.269485,0.7
49,2,021-201,201,021-201,2,0.3,7.21926,-2.501435,0.568203,0.3
50,2,112-220,220,112-220,2,0.46,2.95321,2.530816,-1.643394,0.46
50,2,112-220,112,112-220,2,0.54,-1.105417,-2.829893,6.577274,0.54
51,1,022,022,-1,1,1,-5.724701,3.400001,2.631406,1
52,2,021-201,021,021-201,2,0.97,-1.254416,1.183721,1.377765,0.97
52,2,021-201,201,021-201,2,0.03,4.209301,-3.961886,1.306376,0.03
53,3,012-202-220,202,012-202-220,3,0.34,1.812383,-4.256071,2.603957,0.34
53,3,012-202-220,220,012-202-220,3,0.26,0.924352,1.942452,-3.442193,0.26
53,3,012-202-220,012,012-202-220,3,0.4,-4.514712,1.5313,6.639901,0.4
54,2,202-220,220,202-220,2,0.65,3.360354,2.00504,-5.760423,0.65
54,2,202-220,202,202-220,2,0.35,2.396182,-0.708315,0.740885,0.35
55,3,002-120-201,002,120-201,3,0.01,-0.193212,1.480897,5.159857,0.01
55,3,002-120-201,120,120-201,3,0.57,0.440398,7.952194,-6.409233,0.57
55,3,002-120-201,201,120-201,3,0.42,6.642095,-4.895821,0.170096,0.42
56,2,012-120,120,012-120,2,0.15,0.413686,6.176298,-2.584167,0.15
56,2,012-120,012,012-120,2,0.85,-5.925835,0.433483,7.326104,0.85
57,1,200,200,200,1,1,6.188803,-1.266825,0.804397,1
58,2,022-220,022,022-220,2,0.63,-0.152538,1.659524,3.642986,0.63
58,2,022-220,220,022-220,2,0.37,4.552651,2.625067,-2.956761,0.37
59,1,021,021,021,1,1,-2.801006,1.326556,0.840679,1
60,2,012-020,020,012-020,2,0.57,-0.269057,7.37601,-0.30008,0.57
