parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,002-020,002,002-020,2,0.77,-4.430446,0.242081,5.771556,0.77
1,2,002-020,020,002-020,2,0.23,-4.050937,5.974617,-0.663904,0.23
2,2,002-200,002,002-020-200,2,0.3,-2.43676,-2.459093,6.062703,0.3
2,2,002-200,200,002-020-200,2,0.7,3.590478,-2.996434,1.84014,0.7
3,2,002-022,002,002,2,0.62,0.57934,-0.712239,6.526617,0.62
3,2,002-022,022,002,2,0.38,-3.335936,4.614982,3.234588,0.38
4,1,002,002,002-200,1,1,-1.659288,1.600445,6.562625,1
5,2,021-202,202,021,2,0.13,4.884901,-4.876606,2.300798,0.13
5,2,021-202,021,021,2,0.87,-6.1e-5,1.1999,0.864616,0.87
6,2,020-200,020,020-200,2,0.77,-0.339656,4.918913,-1.455006,0.77
6,2,020-200,200,020-200,2,0.23,5.896621,-0.275836,-3.153173,0.23
7,2,012-020,020,012-020,2,0.36,-1.609321,5.58304,1.249635,0.36
7,2,012-020,012,012-020,2,0.64,-4.764269,1.03512,6.633724,0.64
8,1,002,002,002,1,1,-0.466933,0.605868,4.697177,1
9,3,022-200-220,220,200,3,0.17,1.357003,5.411997,-0.120273,0.17
9,3,022-200-220,022,200,3,0.67,-3.758774,2.984246,5.292269,0.67
9,3,022-200-220,200,200,3,0.16,6.706752,0.163011,0.253805,0.16
10,2,021-210,021,021-210,2,0.41,-0.216579,4.418904,2.677615,0.41
10,2,021-210,210,021-210,2,0.59,6.35645,1.246034,-2.434794,0.59
11,2,002-200,200,002-200,2,0.62,5.795718,-0.444253,0.645122,0.62
11,2,002-200,002,002-200,2,0.38,-0.657108,1.04929,6.083327,0.38
12,1,210,210,210,1,1,5.69512,1.713593,-0.213261,1
13,2,002-022,002,002,2,0.86,-0.096544,1.538405,8.128705,0.86
13,2,002-022,022,002,2,0.14,0.533411,5.233842,2.633611,0.14
14,1,210,210,210,1,1,6.996504,1.167316,-5.731915,1
15,2,102-210,210,102-210,2,0.97,6.011815,1.044523,-4.241793,0.97
15,2,102-210,102,102-210,2,0.03,2.502155,-4.453791,3.930425,0.03
16,1,022,022,022-210,1,1,-1.467868,3.16037,5.792142,1
17,1,120,120,102-120,1,1,0.433965,1.069131,-2.49927,1
18,2,020-202,020,102-120,2,0.07,1.844079,5.109688,1.807329,0.07
18,2,020-202,202,102-120,2,0.93,4.169643,-4.49833,4.66003,0.93
19,1,210,210,210,1,1,6.595885,2.071116,-2.613506,1
20,1,020,020,020,1,1,-1.981373,5.599985,0.661732,1
21,2,002-021,021,002-021,2,0.09,-3.410253,4.242501,0.811382,0.09
21,2,002-021,002,002-021,2,0.91,-0.52708,-1.744532,6.382391,0.91
22,2,021-201,201,-1,2,0.23,4.644687,-0.317087,-0.22376,0.23
22,2,021-201,021,-1,2,0.77,1.010498,4.28078,1.884865,0.77
23,2,020-200,200,020-200,2,0.81,4.719913,-2.39276,-3.169455,0.81
23,2,020-200,020,020-200,2,0.19,-0.249728,3.958938,-2.532098,0.19
24,1,002,002,002,1,1,-0.104261,-2.721074,6.912463,1
25,2,002-201,201,002-020-200,2,0.44,5.664121,-2.804194,2.60552,0.44
25,2,002-201,002,002-020-200,2,0.56,0.524043,0.406079,5.594343,0.56
26,2,002-220,220,002,2,0.18,2.927774,5.31752,1.819044,0.18
26,2,002-220,002,002,2,0.82,-0.035844,-0.386657,7.433225,0.82
27,1,012,012,012-220,1,1,-4.795834,2.274804,7.057691,1
28,1,120,120,002-120,1,1,2.516226,6.517626,-2.956581,1
29,1,210,210,020-210,1,1,7.023425,0.339981,-0.773861,1
30,2,021-022,022,021,2,0.97,-4.490972,3.366387,4.672604,0.97
30,2,021-022,021,021,2,0.03,-4.765187,7.118955,2.118048,0.03
31,2,102-200,200,102-200,2,0.35,7.60253,2.821756,0.610013,0.35
31,2,102-200,102,102-200,2,0.65,2.180688,-0.78734,6.967819,0.65
32,1,020,020,020-210,1,1,-1.864245,5.077106,-0.43066,1
33,1,002,002,002,1,1,0.124747,0.384233,9.119352,1
34,2,020-200,020,002-020-200,2,0.36,1.118493,5.883359,-0.612568,0.36
34,2,020-200,200,002-020-200,2,0.64,7.550939,-0.212291,0.210021,0.64
35,2,022-210,210,012-200,2,0.09,6.315676,2.575632,0.06245,0.09
35,2,022-210,022,012-200,2,0.91,-4.69059,5.683468,5.000969,0.91
36,2,012-202,202,202,2,0.57,5.417263,-1.094324,2.168821,0.57
36,2,012-202,012,202,2,0.43,1.785702,1.53438,6.056407,0.43
37,2,020-200,020,020-200,2,0.79,-2.57384,5.205259,-4.548688,0.79
