Phase,Count,Frequency
0001-0301-0303,2,2e-4
0002-0010-0300-0302,1,1e-4
0010,29,0.0029
0010-0011,3,3e-4
0010-0011-0100-0101-0300-0301,1,1e-4
0010-0011-0210-0211-0300-0301,1,1e-4
0010-0011-0300-0301,3,3e-4
0010-0011-0310-0311,1,1e-4
0010-0012,1,1e-4
0010-0012-0300-0302,1,1e-4
0010-0012-0302,1,1e-4
0010-0012-0302-0310,1,1e-4
0010-0012-0310-0312,2,2e-4
0010-0012-0312,1,1e-4
0010-0013-0100-0300-0303,1,1e-4
0010-0013-0210-0303,1,1e-4
0010-0013-0300-0303,6,6e-4
0010-0013-0303,35,0.0035
0010-0013-0303-0310,5,5e-4
0010-0013-0313,4,4e-4
0010-0100-0300,1,1e-4
0010-0100-0300-0302,1,1e-4
0010-0100-0300-0303,5,5e-4
0010-0102-0300-0302,1,1e-4
0010-0110-0303-0310,1,1e-4
0010-0111-0210-0311,1,1e-4
0010-0112-0302,1,1e-4
0010-0113-0210-0300-0303,1,1e-4
0010-0113-0300-0303,2,2e-4
0010-0113-0303,10,0.001
0010-0113-0303-0310,3,3e-4
0010-0113-0310-0313,1,1e-4
0010-0113-0313,2,2e-4
0010-0200-0300-0303,3,3e-4
0010-0210,3,3e-4
0010-0210-0300-0303,5,5e-4
0010-0210-0303,14,0.0014
0010-0300,21,0.0021
0010-0300-0301,1,1e-4
0010-0300-0302,2,2e-4
0010-0300-0303,116,0.0116
0010-0303,64,0.0064
0010-0303-0310,56,0.0056
0010-0310,15,0.0015
0010-0310-0312,1,1e-4
0010-0310-0313,5,5e-4
0010-0313,2,2e-4
0011-0013-0101-0301-0303,1,1e-4
0011-0013-0213-0301-0303,1,1e-4
0011-0013-0301-0303,2,2e-4
0011-0013-0303-0311,3,3e-4
0011-0101-0301-0303,2,2e-4
0011-0113-0301-0303,1,1e-4
0011-0211-0301-0303,1,1e-4
0011-0301-0303,10,0.001
0011-0303,1,1e-4
0011-0303-0311,1,1e-4
0011-0313,1,1e-4
0012-0013-0302-0303,1,1e-4
0012-0110-0312,2,2e-4
0012-0302,1,1e-4
0013-0110-0303,1,1e-4
0013-0303,13,0.0013
0100-0300-0303-1000,1,1e-4
0101-0301-0303-1001,5,5e-4
0101-0301-0303-1001-1003,2,2e-4
0102-0210-0300-0302-1002-1010,1,1e-4
0102-0300-0302-1002-1010,2,2e-4
0102-0300-1002-1010,1,1e-4
0103-0300-0303-1003-1010,1,1e-4
0110-0111,1,1e-4
0110-0111-0300-0301-1010-1011,1,1e-4
0110-0111-0310-0311-1010,1,1e-4
0110-0111-0310-0311-1010-1011,1,1e-4
0110-0112-0300-0302-1010-1012,1,1e-4
0110-0112-0302-0310-1010,1,1e-4
0110-0112-0302-0310-1010-1012,1,1e-4
0110-0113-0300-0303,1,1e-4
0110-0113-0300-0303-1010-1013,2,2e-4
0110-0113-0303-0310-1010-1013,4,4e-4
0110-0210-0300-0303-1010,1,1e-4
0110-0213-0303-0310-1010-1013,1,1e-4
0110-0300,1,1e-4
0110-0300-0302-1010,1,1e-4
0110-0300-0302-1010-1012,1,1e-4
0110-0300-0303,10,0.001
0110-0300-0303-1010,25,0.0025
0110-0300-0303-1010-1013,4,4e-4
0110-0300-1010,5,5e-4
0110-0302-0310,1,1e-4
