parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,2,01-10,01-10,2,59,7.282595,2.19152,10
1,2,01-10,01-10,2,41,1.971128,6.273264,01
2,1,01,01-10,1,100,-1.379092,6.180661,01
3,2,01-10,01-10,2,94,-2.26966,6.640681,01
3,2,01-10,01-10,2,6,3.383692,3.046203,10
4,2,01-10,01-10,2,21,6.213405,2.340966,10
4,2,01-10,01-10,2,79,0.530688,5.377884,01
5,2,01-11,01,2,93,1.2051,7.070419,01
5,2,01-11,01,2,7,5.137039,4.391344,11
6,1,01,01,1,100,-1.132984,5.493397,01
7,1,10,10,1,100,6.462211,1.472766,10
8,1,01,01,1,100,0.773284,5.820381,01
9,2,01-10,01-10,2,94,5.95672,0.790903,10
9,2,01-10,01-10,2,6,4.132625,5.203027,01
10,2,01-10,01-10,2,83,3.357367,-1.182509,10
10,2,01-10,01-10,2,17,-2.796624,4.636239,01
11,2,01-10,01-10,2,85,0.740785,7.289029,01
11,2,01-10,01-10,2,15,4.445407,4.731281,10
12,2,01-10,01-10,2,75,5.165482,0.712782,10
12,2,01-10,01-10,2,25,-0.617025,6.503685,01
13,2,01-11,01,2,84,-0.65782,6.576234,01
13,2,01-11,01,2,16,4.007103,4.952485,11
14,1,01,01-10,1,100,-0.392208,5.894879,01
15,1,01,01-10,1,100,0.325861,6.675568,01
16,1,01,01,1,100,1.036656,6.059604,01
17,1,01,01-10,1,100,-0.144529,7.343013,01
18,1,11,11,1,100,5.264053,1.055643,11
19,2,01-10,01-10,2,88,-0.143354,7.498357,01
19,2,01-10,01-10,2,12,6.348887,1.859401,10
20,1,10,10,1,100,6.259034,0.247351,10
21,2,01-10,01-10,2,95,0.412468,6.720511,01
21,2,01-10,01-10,2,5,5.470391,2.303206,10
22,1,01,01,1,100,1.0420180000000001,7.611209,01
23,2,01-10,01-10,2,96,1.405068,7.303374,01
23,2,01-10,01-10,2,4,7.223916,0.908542,10
24,2,01-10,01-10,2,93,1.1979629999999999,6.521309,01
24,2,01-10,01-10,2,7,5.437385,3.40255,10
25,2,01-10,01-10,2,67,-0.522026,6.529997,01
25,2,01-10,01-10,2,33,5.621529,1.85337,10
26,2,01-10,01-10,2,75,5.066988,-0.764788,10
26,2,01-10,01-10,2,25,0.127204,3.47106,01
27,1,01,01-10,1,100,2.729822,5.790427,01
28,1,10,10,1,100,8.113272,-1.265601,10
29,1,01,01,1,100,4.747291,6.63028,01
30,1,01,01,1,100,1.146754,6.798319,01
31,1,01,01-10,1,100,-0.960601,6.073018,01
32,2,01-10,01-10,2,75,2.196776,6.022226,01
32,2,01-10,01-10,2,25,8.060954,-0.184922,10
33,2,01-10,01-10,2,45,1.462146,7.865816,01
33,2,01-10,01-10,2,55,7.83254,1.52087,10
34,2,01-10,01-10,2,63,-0.725705,7.191313,01
34,2,01-10,01-10,2,37,5.130291,2.741019,10
35,2,01-10,01-10,2,80,0.607482,5.845641,01
35,2,01-10,01-10,2,20,5.263701,1.56845,10
36,1,01,01-10,1,100,0.974446,8.459139,01
37,1,11,11,1,100,-0.013413,8.048011,11
38,1,01,01,1,100,1.613821,5.191782,01
39,2,01-10,01-10,2,31,6.691569,2.205154,10
39,2,01-10,01-10,2,69,0.530577,7.825412,01
40,1,10,10,1,100,6.41104,1.402919,10
41,1,10,01-10,1,100,5.881017,-0.735258,10
42,2,01-10,01-10,2,66,7.208872,2.519657,10
42,2,01-10,01-10,2,34,1.477621,5.71514,01
43,2,01-10,01-10,2,64,1.463701,6.783336,01
43,2,01-10,01-10,2,36,7.814484,0.430956,10
44,2,01-10,01-10,2,63,-0.103653,8.372271,01
44,2,01-10,01-10,2,37,6.53128,3.88821,10
45,2,01-10,01-10,2,79,8.018506,2.749806,10
45,2,01-10,01-10,2,21,1.601337,6.978927,01
46,2,01-10,01-10,2,82,0.381008,8.093317,01
46,2,01-10,01-10,2,18,6.113614,2.919748,10
47,2,01-10,01-10,2,97,-2.515578,6.882688,01
47,2,01-10,01-10,2,3,2.943567,1.311279,10
48,1,10,10,1,100,5.126843,1.980077,10
49,1,01,01,1,100,-2.564794,6.491302,01
50,1,10,01-10,1,100,4.831448,0.425582,10
51,2,01-10,01-10,2,60,1.125633,8.094117,01
51,2,01-10,01-10,2,40,7.303374,1.743407,10
52,2,01-10,01-10,2,38,6.500571,1.410272,10
52,2,01-10,01-10,2,62,1.032982,7.189406,01
53,2,01-10,01-10,2,74,3.654999,6.649326,01
53,2,01-10,01-10,2,26,7.074739,3.288202,10
54,1,01,01,1,100,-0.574696,7.122377,01
55,2,01-10,01-10,2,80,4.882236,-0.826903,10
55,2,01-10,01-10,2,20,0.13583,5.528252,01
56,2,01-10,01-10,2,79,1.378418,2.593414,01
56,2,01-10,01-10,2,21,6.626027,-2.997368,10
57,1,01,01,1,100,-1.250304,6.105052,01
58,2,01-10,01-10,2,85,-0.014589,7.764657,01
58,2,01-10,01-10,2,15,6.44044,3.582661,10
59,2,01-10,01-10,2,44,1.841611,6.463929,01
59,2,01-10,01-10,2,56,7.122819,0.743937,10
60,2,01-10,01-10,2,92,8.525353,1.988385,10
60,2,01-10,01-10,2,8,3.110282,7.087693,01
61,2,01-10,01-10,2,95,1.14882,7.345517,01
61,2,01-10,01-10,2,5,6.105374,3.403049,10
62,2,01-10,01-10,2,79,7.395266,1.821033,10
62,2,01-10,01-10,2,21,1.230927,8.0162,01
63,1,10,10,1,100,5.462712,0.216201,10
64,1,01,01,1,100,-1.4149640000000001,6.557466,01
65,1,01,01,1,100,1.548769,8.236633,01
66,2,01-10,01-10,2,31,2.012801,6.367484,01
66,2,01-10,01-10,2,69,8.010793,-0.153904,10
67,2,01-10,01-10,2,94,5.539845,2.762543,10
67,2,01-10,01-10,2,6,0.604722,5.854586,01
68,2,01-10,01-10,2,91,1.4769,6.302469,01
68,2,01-10,01-10,2,9,6.813903,1.658938,10
69,2,01-10,01-10,2,22,6.196173,1.785913,10
69,2,01-10,01-10,2,78,1.483285,8.004129,01
70,1,10,10,1,100,7.79225,-1.382237,10
71,2,01-10,01-10,2,83,0.885389,6.780907,01
71,2,01-10,01-10,2,17,6.594539,0.824922,10
72,1,01,01,1,100,1.174582,6.530376,01
73,2,01-10,01-10,2,65,7.308698,0.705087,10
73,2,01-10,01-10,2,35,2.322193,6.319287,01
74,1,10,01-10,1,100,7.629465,-0.312049,10
75,1,01,01,1,100,2.331165,6.412668,01
76,2,01-10,01-10,2,80,7.090887,0.658808,10
76,2,01-10,01-10,2,20,0.65808,6.859028,01
77,2,01-10,01-10,2,34,5.931836,-8.05e-4,10
77,2,01-10,01-10,2,66,-0.420167,6.628528,01
78,2,01-10,01-10,2,75,3.419603,9.097383,01
78,2,01-10,01-10,2,25,8.2474,3.836277,10
79,2,01-10,01-10,2,91,6.791697,2.417589,10
79,2,01-10,01-10,2,9,2.857686,5.280239,01
80,2,01-10,01-10,2,88,6.852403,0.402722,10
80,2,01-10,01-10,2,12,2.126656,6.452426,01
81,2,01-10,01-10,2,22,1.006827,4.481125,01
81,2,01-10,01-10,2,78,6.346368,-1.141122,10
82,2,01-10,01-10,2,48,6.902793,-0.072363,10
82,2,01-10,01-10,2,52,0.915294,6.192741,01
83,2,01-10,01-10,2,67,6.783196,1.159511,10
83,2,01-10,01-10,2,33,1.202598,6.781719,01
84,1,01,01,1,100,-1.258518,6.504668,01
