parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,01,01,1,100,-0.613128,5.04331,01
2,2,01-10,01-10,2,74,6.802872,0.636068,10
2,2,01-10,01-10,2,26,2.100369,6.87296,01
3,1,10,10,1,100,5.659017,-3.52209,10
4,2,01-10,01-10,2,30,1.896123,6.0938040000000004,01
4,2,01-10,01-10,2,70,6.404463,-0.508935,10
5,2,01-10,01-10,2,74,5.262813,1.406056,10
5,2,01-10,01-10,2,26,-1.051544,7.156971,01
6,1,10,10,1,100,7.073387,-3.463399,10
7,2,01-10,01-10,2,94,5.460786,-1.069169,10
7,2,01-10,01-10,2,6,1.014317,5.369326,01
8,2,01-10,01-10,2,96,2.33734,6.497527,01
8,2,01-10,01-10,2,4,6.40729,2.983879,10
9,1,01,01,1,100,-0.519184,6.546357,01
10,2,01-10,01-10,2,93,-0.358126,6.291976,01
10,2,01-10,01-10,2,7,5.4166,0.024009,10
11,1,01,01,1,100,-3.954907,7.070936,01
12,2,01-10,01-10,2,61,5.127816,0.632591,10
12,2,01-10,01-10,2,39,1.11233,6.574402,01
13,2,01-10,01-10,2,34,-0.389641,6.105339,01
13,2,01-10,01-10,2,66,6.188389,-0.137316,10
14,2,01-10,01-10,2,82,-0.95358,7.039125,01
14,2,01-10,01-10,2,18,5.380662,0.917586,10
15,2,01-10,01-10,2,59,2.122669,6.485981,01
15,2,01-10,01-10,2,41,6.801927,0.282595,10
16,2,01-10,01-10,2,97,-0.644676,4.838442,01
16,2,01-10,01-10,2,3,5.157738,0.509436,10
17,2,01-10,01-10,2,78,0.654657,7.266287,01
17,2,01-10,01-10,2,22,6.631472,0.827881,10
18,2,01-10,01-10,2,90,-1.439516,7.039125,01
18,2,01-10,01-10,2,10,4.682025,0.575948,10
19,2,01-10,01-10,2,41,3.379727,6.905037,01
19,2,01-10,01-10,2,59,7.395212,2.286658,10
20,1,01,01,1,100,0.068039,7.815126,01
21,2,01-10,01-10,2,18,7.006075,1.927804,10
21,2,01-10,01-10,2,82,2.25339,7.702941,01
22,1,10,10,1,100,8.301708,0.660799,10
23,1,10,10,1,100,6.704601,2.302751,10
24,1,10,10,1,100,7.661544,-0.228759,10
25,2,01-10,01-10,2,66,7.187512,1.910678,10
25,2,01-10,01-10,2,34,2.831526,6.488223,01
26,2,01-10,01-10,2,27,6.317959,1.701141,10
26,2,01-10,01-10,2,73,0.262535,6.142391,01
27,1,10,10,1,100,5.698156,-0.294705,10
28,2,01-10,01-10,2,66,2.030032,7.929753,01
28,2,01-10,01-10,2,34,7.352786,3.100224,10
29,2,01-10,01-10,2,19,3.145242,6.179525,01
29,2,01-10,01-10,2,81,6.718922,0.269588,10
30,2,01-11,01,2,97,0.274801,6.5949159999999996,01
30,2,01-11,01,2,3,2.657266,3.27687,11
31,2,01-10,01-10,2,28,6.953245,1.967256,10
31,2,01-10,01-10,2,72,0.476352,7.937521,01
32,1,10,10,1,100,6.452736,-0.310974,10
33,2,01-10,01-10,2,87,7.912943,3.574055,10
33,2,01-10,01-10,2,13,4.354592,6.148989,01
34,2,01-10,01-10,2,51,3.266856,5.866363,01
34,2,01-10,01-10,2,49,6.895438,0.150682,10
35,2,01-10,01-10,2,87,-0.289541,6.186667,01
35,2,01-10,01-10,2,13,6.002713,1.000562,10
36,2,01-10,01-10,2,71,1.840036,7.061007,01
36,2,01-10,01-10,2,29,5.644898,1.039466,10
37,2,01-10,01-10,2,82,0.029725,7.353209,01
37,2,01-10,01-10,2,18,4.431236,1.141879,10
38,2,01-10,01-10,2,93,-0.720401,7.217703,01
