parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,10,01-10,1,100,6.963263,0.153394,10
2,1,10,10,1,100,6.856714,-1.130736,10
3,2,01-10,01-10,2,19,5.962542,1.968608,10
3,2,01-10,01-10,2,81,3.255523,6.525904,01
4,1,01,01,1,100,0.2938,6.062067,01
5,1,10,10,1,100,6.307826,-0.787292,10
6,1,01,01,1,100,2.779422,6.708885,01
7,1,00,00,1,100,2.979522,3.282478,00
8,2,01-10,01-10,2,98,-0.342547,4.994333,01
8,2,01-10,01-10,2,2,6.175127,-0.148691,10
9,1,10,01-10,1,100,7.581322,-0.548013,10
10,2,00-10,10,2,77,5.004582,4.967377,00
10,2,00-10,10,2,23,5.923796,2.319072,10
11,2,01-10,01-10,2,77,1.126082,6.951061,01
11,2,01-10,01-10,2,23,6.99343,0.823612,10
12,1,10,01-10,1,100,5.745117,3.929005,10
13,1,10,10,1,100,7.043335,1.624742,10
14,1,10,01-10,1,100,6.836014,0.120958,10
15,1,01,01,1,100,-4.654712,5.929507,01
16,1,10,01-10,1,100,7.623567,-0.819885,10
17,1,10,01-10,1,100,4.575485,-0.004905,10
18,2,01-10,01-10,2,91,-1.302896,7.21871,01
18,2,01-10,01-10,2,9,4.47755,2.997214,10
19,1,01,01-10,1,100,-0.539385,7.311125,01
20,2,01-10,01-10,2,26,-0.044872,6.010145,01
20,2,01-10,01-10,2,74,5.877364,1.647995,10
21,1,00,00,1,100,4.957209,4.502421,00
22,1,01,01,1,100,0.241469,7.540577,01
23,2,01-10,01-10,2,85,6.642917,0.297394,10
23,2,01-10,01-10,2,15,2.721959,5.990809,01
24,2,01-10,01-10,2,63,6.95435,1.40077,10
24,2,01-10,01-10,2,37,1.003594,7.926325,01
25,1,01,01,1,100,2.970383,6.574336,01
26,2,01-10,01-10,2,73,1.337958,8.455899,01
26,2,01-10,01-10,2,27,7.294289,4.529968,10
27,2,01-10,01-10,2,37,6.485211,1.689748,10
27,2,01-10,01-10,2,63,2.251936,7.945633,01
28,1,10,10,1,100,4.081097,0.53769,10
29,2,01-10,01-10,2,80,6.595909,1.433649,10
29,2,01-10,01-10,2,20,0.538333,5.388237,01
30,1,10,10,1,100,6.147243,-3.19723,10
31,1,01,01,1,100,-2.139111,6.749223,01
32,1,10,01-10,1,100,6.157036,-0.651269,10
33,1,01,01,1,100,-0.389317,5.749127,01
34,1,10,10,1,100,6.826376,1.03066,10
35,1,01,01,1,100,0.359179,6.195776,01
36,1,10,10,1,100,6.74161,-1.118185,10
37,2,01-10,01-10,2,99,-1.917819,7.430922,01
37,2,01-10,01-10,2,1,4.359741,2.658427,10
38,1,10,10,1,100,6.699107,2.176426,10
39,2,01-10,01-10,2,80,4.42507,0.42433,10
39,2,01-10,01-10,2,20,-1.614754,5.368405,01
40,2,01-10,01-10,2,25,0.889311,5.998389,01
40,2,01-10,01-10,2,75,6.742921,1.820389,10
41,1,01,01,1,100,-0.873119,8.540647,01
42,2,01-10,01-10,2,66,0.24831,8.079436,01
42,2,01-10,01-10,2,34,5.812002,2.336563,10
43,1,01,01,1,100,-2.005514,5.972673,01
44,1,10,01-10,1,100,7.616026,-1.998424,10
45,2,01-10,01-10,2,46,3.480013,6.71488,01
45,2,01-10,01-10,2,54,7.239209,2.325852,10
46,2,01-10,01-10,2,92,6.817696,0.328145,10
46,2,01-10,01-10,2,8,0.807145,6.096101,01
47,1,10,10,1,100,7.480615,0.513499,10
48,2,01-10,01-10,2,56,6.686872,0.666288,10
48,2,01-10,01-10,2,44,1.193111,5.8387,01
49,1,01,01,1,100,0.345135,8.325202,01
50,2,01-10,01-10,2,99,0.163311,6.156873,01
