parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,120-200,120,120-200,2,0.13,2.158759,5.377898,-7.819286,0.13
1,2,120-200,200,120-200,2,0.87,8.040115,0.419837,-2.145137,0.87
2,2,012-200,012,012-200,2,0.14,-1.840458,1.206621,5.232119,0.14
2,2,012-200,200,012-200,2,0.86,4.90147,-0.041603,-0.609914,0.86
3,1,020,020,012-020,1,1,-0.432306,6.052895,-2.575859,1
4,1,022,022,022,1,1,-6.68448,5.856737,0.315667,1
5,2,012-220,220,012,2,0.51,3.350613,5.195694,-1.703698,0.51
5,2,012-220,012,012,2,0.49,-2.834581,0.730203,5.146815,0.49
6,1,021,021,021-210,1,1,-6.157289,6.905939,0.199621,1
7,2,002-200,002,002-200,2,0.58,0.943464,-2.1866,6.651112,0.58
7,2,002-200,200,002-200,2,0.42,5.546615,-4.45017,1.336151,0.42
8,1,020,020,002-020,1,1,-3.236753,5.349277,1.11911,1
9,3,002-020-200,200,002-020-200,3,0.49,6.220937,1.374761,-0.974642,0.49
9,3,002-020-200,002,002-020-200,3,0.22,0.182915,-1.489977,5.556034,0.22
9,3,002-020-200,020,002-020-200,3,0.29,-0.184872,4.911598,-1.057917,0.29
10,2,020-200,020,020-200,2,0.79,0.789318,6.306253,-4.316627,0.79
10,2,020-200,200,020-200,2,0.21,5.815688,0.164097,-3.556398,0.21
11,1,020,020,020,1,1,0.748259,5.991691,-0.203767,1
12,3,002-201-220,201,002-201-220,3,0.19,6.787274,0.199047,0.084737,0.19
12,3,002-201-220,002,002-201-220,3,0.48,1.837502,-1.906218,4.846002,0.48
12,3,002-201-220,220,002-201-220,3,0.33,4.681259,2.48515,-3.553803,0.33
13,1,200,200,200,1,1,5.140122,-1.595725,-2.438312,1
14,1,012,012,012,1,1,0.424948,0.039319,5.145118,1
15,2,020-200,200,020-200,2,0.66,6.783845,1.611122,-5.77539,0.66
15,2,020-200,020,020-200,2,0.34,1.086986,6.818544,-4.813206,0.34
16,2,002-020,020,-1,2,0.19,1.268796,6.890428,-0.556716,0.19
16,2,002-020,002,-1,2,0.81,-0.215729,0.562011,5.486826,0.81
17,2,020-022,022,020,2,0.28,-6.714489,1.988456,5.759468,0.28
17,2,020-022,020,020,2,0.72,-4.513744,7.042802,1.865886,0.72
18,1,200,200,200,1,1,7.354551,2.423574,0.148738,1
19,1,201,201,201,1,1,7.904275,-1.343077,0.556303,1
20,2,201-220,201,201-220,2,0.57,7.389655,-2.116873,-0.029556,0.57
20,2,201-220,220,201-220,2,0.43,1.138849,6.898588,-4.881875,0.43
21,1,012,012,012,1,1,-1.583958,2.444074,6.540004,1
22,2,020-102,102,020-102,2,0.91,2.045772,-3.983731,5.859116,0.91
22,2,020-102,020,020-102,2,0.09,0.09905,5.494987,0.644879,0.09
23,3,102-120-220,220,102-120,3,0.43,4.940418,2.004522,-2.727418,0.43
23,3,102-120-220,102,102-120,3,0.03,0.711624,-0.726969,4.395166,0.03
