parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,1001,-1,1,2,0
2,0303-1003,0303-1003,2,2,1
3,0300-0301-1010-1011,0300-0301-1010-1011,4,4,1
4,0300-0303-1010,0300-0303-1010,3,3,1
5,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
6,0303-0310-1003-1010,0303-0310-1003-1010,4,4,1
7,0303-1003-1010,0303-1003-1010-1203,3,4,1
8,0300-1010,0300-1010,2,2,1
9,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
10,0300-0303-1010-1103,0300-0303-1010,4,3,0.75
11,0300-0303-1010,0210-0300-0303-1010,3,4,1
12,0300-1010,0300-1010,2,2,1
13,0312-1010-1012,0312-1010-1012,3,3,1
14,0303-1003-1010,0303-1003-1010,3,3,1
15,0303-1010-1013,0303-1010-1013,3,3,1
16,0310-1010,1010,2,1,0.5
17,0010-0300,0010-0011-0300-0301,2,4,1
18,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
19,0011,0011,1,1,1
20,0300-0303-1010,0300-0303-1010,3,3,1
21,1011-1301-1303,1003-1011-1301-1303,3,4,1
22,0300-0303-1010,0300-0303-1010,3,3,1
23,0010-0300,0010-0300,2,2,1
24,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
25,0303-1010,0303-1010,2,2,1
26,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
27,1010-1013-1303,1010-1013,3,2,0.6666666666666666
28,0300-0303-1010-1103,0300-0303-1010-1103,4,4,1
29,0301-0303-1011-1013-1213,0211-0301-0303-1011-1013,5,5,0.8
30,0303-1010,0303-1010,2,2,1
31,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
32,0303-1013,0303-1013-1103,2,3,1
33,0303-1010,0300-0303-1010,2,3,1
34,0303-1010,0303-1010-1013,2,3,1
35,0303-1010,0303-1010,2,2,1
36,0303,0010-0013-0110-0303,1,4,1
37,0303-1013,0303-1010-1013,2,3,1
38,0010-0013-0303,0010-0013-0303,3,3,1
39,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
40,0303-0310-1003-1010,0303-1003-1010,4,3,0.75
41,0300-0303-1010,0300-0303-1010,3,3,1
42,0303-1010,0303-1010,2,2,1
43,1010,1010,1,1,1
44,0303-1003-1010,0300-0303-1003-1010,3,4,1
45,0300-0303-1010,0300-0303-1003-1010,3,4,1
46,1010,1010,1,1,1
47,0300-0303-1000-1003,0300-0303-1000-1003,4,4,1
48,0303-1010-1013,0303-1010-1013-1113,3,4,1
49,0300-1010,0300-0303-1010,2,3,1
50,0300-0303-1010,0300-0303-1010,3,3,1
51,0300-1010,0300-0302-1002-1010,2,4,1
52,0303-1003-1010,0303-1003-1010,3,3,1
53,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
54,0300-1010,0300-1010,2,2,1
55,0303-1003,0303-1003,2,2,1
56,0303-1013,0113-0303-1010-1013,2,4,1
57,0303-1010-1013,0303-1010-1013,3,3,1
58,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
59,0013-0303,0010-0013-0303,2,3,1
60,0303-0310-1010-1110,0303-0310-1010-1110,4,4,1
61,1010-1303,1010-1303,2,2,1
62,0300-0303-1010,0300-0303-1010,3,3,1
63,0303-1010-1013,0300-0303-1010-1013-1103,3,5,1
64,1010,1010-1011,1,2,1
65,1010,0312-1010-1012,1,3,1
66,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
67,0300-0303-1010,0300-0303-1003-1010,3,4,1
68,0300-0303,0300-0303-1010-1110,2,4,1
69,0301-0303-1001-1003-1203,0303-1001-1003-1203,5,4,0.8
70,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
71,0303-1003-1010,0103-0303-1003-1010,3,4,1
72,0301-1001,0301-0303-1001,2,3,1
73,0010-0013-0303,0003-0010-0300-0303,3,4,0.6666666666666666
74,0300-0303-1010-1013,0300-0303-1003-1010,4,4,0.75
75,1010,1010,1,1,1
