parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-1010,0300-1010,2,2,1
2,0300-1010,0300-0303-1003-1010,2,4,1
3,0010-0302,0010-0303,2,2,0.5
4,0001-0301,0001-0301,2,2,1
5,0303-1003-1010,0303-1003-1010,3,3,1
6,0010-0300-0303,0010-0300-0303,3,3,1
7,0303-1003,0303-1003,2,2,1
8,0303-0310-1010-1013,0303-1010-1013,4,3,0.75
9,0303-0310,0010-0110-0303,2,3,0.5
10,0300-0303-1010,0300-0303-1003-1010,3,4,1
11,1010,1010,1,1,1
12,0303-1003-1010,0303-1003-1010,3,3,1
13,0300-0303-1010,0300-0303-1010,3,3,1
14,0303-1003-1010,0303-1003-1010,3,3,1
15,0300-1010,0300-0303-1010,2,3,1
16,0300-0303-1010,0300-0303-1003-1010,3,4,1
17,0300-1010,0200-0300-1010,2,3,1
18,0300-0310-1010,0300-1010,3,2,0.6666666666666666
19,0300-1010,0300-0302-1010,2,3,1
20,0300-0303-1010,0300-0303-1003-1010,3,4,1
21,1010,0303-1010,1,2,1
22,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
23,1010-1013-1303,1010-1013-1303,3,3,1
24,1003-1010-1303,1003-1010-1303,3,3,1
25,0303-1010-1013,0303-1010-1013,3,3,1
26,0300-0303-1010-1103,0300-0303-1010-1103,4,4,1
27,0303-1010,0303-1010,2,2,1
28,0303-0310-1010-1013,0203-0303-1010-1013,4,4,0.75
29,0010-0210-0302-0310,0010-0012-0210-0302,4,4,0.75
30,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
31,1010-1303,1010-1303,2,2,1
32,0313-1010-1013,0313-1010-1013,3,3,1
33,1010,1010,1,1,1
34,0300-0303-1010-1103,0300-0303-1010-1103,4,4,1
35,0300-0303-1010-1013,0300-0303-1003-1010,4,4,0.75
36,0210-0300-1010,-1,3,2,0
37,0303-1003-1010,0300-0303-1003-1010,3,4,1
38,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
39,0303-1003-1010,0303-1003-1010,3,3,1
40,1010,1010,1,1,1
41,0010-0300,0010-0210-0300,2,3,1
42,1003-1303,1003-1303,2,2,1
43,0311-1010-1011-1211,1010-1011,4,2,0.5
44,0300-0303-1010,0300-0303-1010-1013-1200,3,5,1
45,1010,1010,1,1,1
46,0301-1011,0301-1011,2,2,1
47,0311-1010-1011,1010-1011,3,2,0.6666666666666666
48,0310-1010,0310-1010,2,2,1
49,0010-0300,0010-0300-0303,2,3,1
50,0300-0302-1002-1010,-1,4,2,0
51,0303-1013,0303-1010-1013,2,3,1
52,0010,0010,1,1,1
53,0300-0303-1003-1010,0300-0303-1003-1010-1203,4,5,1
54,0302-1010-1012,0302-1010-1012,3,3,1
55,1010-1303,1010-1303,2,2,1
56,0010-0013-0300-0303,0010-0300-0303,4,3,0.75
57,1010,0300-0302-1010-1012,1,4,1
58,0303-1010-1013,0303-1010-1013,3,3,1
59,0300-0303-1010-1013,0300-0303-1003-1010,4,4,0.75
60,0300-0303-1010-1013,0300-0303-1010-1013-1103,4,5,1
61,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
62,0313-1010-1013,0313-1010-1013,3,3,1
63,1010,0302-1010-1012,1,3,1
64,0303-1010,0303-1003-1010,2,3,1
65,1010,0303-1010-1013-1103,1,4,1
66,0303-1010,0303-1003-1010,2,3,1
67,0303-1013,0303-0310-1010-1013-1113,2,5,1
68,0303-1003,0301-0303-1001-1003,2,4,1
69,0300-0303-1010,0300-0303-1010,3,3,1
70,0303-1003-1010,0303-1003-1010,3,3,1
71,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
72,0310-1010,1010,2,1,0.5
73,0300-1010,0210-0300-1010,2,3,1
74,0303-1003-1010,0303-1003-1010,3,3,1
75,1010,0300-1010,1,2,1
76,0300-1010,0112-0300-0302-1010-1012,2,5,1
77,1011-1311,1011,2,1,0.5
78,1010,1010-1011,1,2,1
79,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
80,1003-1303,1003-1010-1303,2,3,1
81,1010-1203,1003-1010-1203,2,3,1
82,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
83,1010,0303-1010-1013,1,3,1
84,0300-0303-1010,0210-0300-0303-1010,3,4,1
85,0210-0303-0310-1010,0210-0303-1003-1010,4,4,0.75
86,0303-1010-1013,0303-1010-1013,3,3,1
87,0310-1010,0302-1002-1010,2,3,0.5
88,0303-1010,0303-1003-1010,2,3,1
89,0300-0303-1010-1013,0300-0303-1003-1010,4,4,0.75
90,1010,1010,1,1,1
