Phase,Count,Frequency
0000,38,0.0038
0001,9,9e-4
0002,3,3e-4
0003,20,0.002
0010,440,0.044
0010-0300,1,1e-4
0011,76,0.0076
0012,46,0.0046
0012-0312,1,1e-4
0013,110,0.011
0013-0313,4,4e-4
0100,7,7e-4
0101,8,8e-4
0102,7,7e-4
0103,12,0.0012
0103-1013,1,1e-4
0110,37,0.0037
0110-1010,1,1e-4
0111,12,0.0012
0112,6,6e-4
0113,9,9e-4
0200,16,0.0016
0201,4,4e-4
0202,4,4e-4
0202-1002,1,1e-4
0203,16,0.0016
0210,23,0.0023
0210-1010,4,4e-4
0211,12,0.0012
0212,5,5e-4
0213,14,0.0014
0300,354,0.0354
0300-1000,1,1e-4
0300-1010,12,0.0012
0301,434,0.0434
0301-1011,15,0.0015
0302,462,0.0462
0302-1002,2,2e-4
0302-1012,14,0.0014
0303,2455,0.2455
0303-1003,2,2e-4
0303-1013,37,0.0037
0310,74,0.0074
0310-1010,3,3e-4
0311,73,0.0073
0311-1011,7,7e-4
0312,55,0.0055
0312-1012,3,3e-4
0313,141,0.0141
0313-1013,12,0.0012
1000,187,0.0187
1000-1200,1,1e-4
1001,66,0.0066
1002,53,0.0053
1002-1302,1,1e-4
1003,269,0.0269
1003-1303,3,3e-4
1010,1980,0.198
1010-1200,1,1e-4
1010-1300,6,6e-4
1010-1310,1,1e-4
1011,486,0.0486
1011-1301,2,2e-4
1011-1311,1,1e-4
1012,326,0.0326
1012-1212,1,1e-4
1012-1302,6,6e-4
1013,720,0.072
1013-1303,13,0.0013
1013-1313,1,1e-4
1100,14,0.0014
1100-1200,1,1e-4
1101,12,0.0012
1103,59,0.0059
1110,48,0.0048
1111,23,0.0023
1112,14,0.0014
1113,40,0.004
1200,9,9e-4
1201,7,7e-4
1202,7,7e-4
1203,25,0.0025
1210,11,0.0011
1211,10,0.001
1212,4,4e-4
1213,9,9e-4
1300,47,0.0047
1301,52,0.0052
1302,62,0.0062
1303,278,0.0278
1310,5,5e-4
1311,4,4e-4
1312,10,0.001
1313,22,0.0022
