parIndex,nStates,Phase,DSGRNPhase,nStatesRAC,basin,A,B,State
1,1,01,01-10,1,100,3.083669,6.237584,01
2,1,00,00,1,100,3.864872,0.032048,00
3,1,10,01-10,1,100,6.767653,1.715894,10
4,1,10,10,1,100,4.472441,2.780958,10
5,1,01,01-10,1,100,2.067946,6.145142,01
6,1,10,10,1,100,5.761007,2.290836,10
7,1,10,01-10,1,100,6.46861,1.349524,10
8,1,10,01-10,1,100,6.120982,3.198546,10
9,1,10,01-10,1,100,7.141212,2.208672,10
10,1,01,01-10,1,100,1.066498,6.93988,01
11,2,01-10,01-10,2,52,6.920513,2.266405,10
11,2,01-10,01-10,2,48,1.589094,7.610043,01
12,1,01,01,1,100,3.237702,8.836186,01
13,1,10,01-10,1,100,6.317933,3.076693,10
14,1,10,01-10,1,100,8.286252,3.76589,10
15,1,10,10,1,100,7.993423,2.166663,10
16,1,10,01-10,1,100,8.558906,1.066188,10
17,2,01-10,01-10,2,78,8.571508,3.325661,10
17,2,01-10,01-10,2,22,4.597628,7.910713,01
18,1,10,10,1,100,5.549004,2.319184,10
19,1,01,01-10,1,100,4.205581,3.545634,01
20,1,10,10,1,100,6.44943,3.116652,10
21,1,10,10,1,100,5.875067,-3.603455,10
22,1,10,01-10,1,100,7.365261,2.636095,10
23,1,10,01-10,1,100,6.846315,0.579718,10
24,1,01,01,1,100,5.232075,7.040968,01
25,1,01,01,1,100,1.695832,7.657968,01
26,1,01,01,1,100,2.289218,8.382653,01
27,1,10,01-10,1,100,8.195052,1.77924,10
28,1,01,01,1,100,-0.438125,8.775727,01
29,1,01,01,1,100,1.082541,6.630211,01
30,2,01-11,01-10,2,71,2.29879,4.8216850000000004,01
30,2,01-11,01-10,2,29,6.165037,2.002734,11
31,2,01-10,01-10,2,79,6.303419,4.210789,10
31,2,01-10,01-10,2,21,3.132118,6.634832,01
32,1,10,10,1,100,9.034299,1.061645,10
33,1,01,01,1,100,1.573721,6.672995,01
34,1,10,01-10,1,100,6.53038,1.111622,10
35,1,10,10,1,100,8.478251,0.945665,10
36,1,10,01-10,1,100,6.851381,2.008311,10
37,1,10,01-10,1,100,6.549096,2.661189,10
38,1,00,00,1,100,5.021287,5.116531,00
39,1,01,01-10,1,100,-0.454294,8.361014,01
40,1,10,01-10,1,100,7.049124,2.544097,10
41,2,01-10,01-10,2,29,7.277657,2.691829,10
41,2,01-10,01-10,2,71,3.882475,6.606486,01
42,1,01,01-10,1,100,-0.905115,6.949247,01
43,1,01,01-10,1,100,3.784715,8.396009,01
44,1,01,01-10,1,100,-0.056986,7.307605,01
45,1,01,01-10,1,100,2.800858,9.361341,01
46,2,01-10,01-10,2,80,2.798119,7.146664,01
46,2,01-10,01-10,2,20,7.126355,4.098303,10
47,1,10,01-10,1,100,7.911283,-0.924251,10
48,1,10,01-10,1,100,8.280777,1.785382,10
49,2,01-10,01-10,2,75,1.560267,7.227353,01
49,2,01-10,01-10,2,25,7.398616,2.559595,10
50,1,10,10,1,100,7.129348,1.978354,10
51,1,10,10,1,100,7.166147,-0.364892,10
52,1,10,01-10,1,100,9.012569,0.335569,10
53,1,01,01-10,1,100,2.90868,6.551655,01
54,1,01,01,1,100,4.563967,5.83142,01
55,1,01,01-10,1,100,2.364742,6.396585,01
56,2,01-10,01-10,2,84,3.295628,7.598546,01
56,2,01-10,01-10,2,16,7.382603,3.92365,10
57,1,10,01-10,1,100,6.626491,2.202718,10
58,1,01,01,1,100,1.725543,6.492024,01
59,1,01,01-10,1,100,0.179144,9.009103,01
60,1,01,01-10,1,100,2.242935,6.578514,01
61,1,01,01-10,1,100,0.566963,9.418183,01
62,1,10,01-10,1,100,6.440122,2.094837,10
63,1,01,01,1,100,-0.083994,6.566945,01
64,1,01,01,1,100,2.27873,6.194824,01
65,1,01,01-10,1,100,0.961177,7.184868,01
66,1,10,10,1,100,6.627295,-0.861606,10
67,1,01,01,1,100,1.251914,6.135337,01
68,1,01,01,1,100,-2.552942,7.243409,01
69,2,01-10,01-10,2,93,6.896394,1.269641,10
69,2,01-10,01-10,2,7,2.670572,6.088075,01
70,1,10,10,1,100,6.33219,2.209444,10
71,1,01,01-10,1,100,1.161094,7.265713,01
72,1,01,01,1,100,1.437646,6.948939,01
73,2,01-10,01-10,2,95,0.755507,6.831575,01
73,2,01-10,01-10,2,5,6.27707,2.404426,10
74,1,01,01,1,100,1.347442,5.57563,01
75,1,01,01-10,1,100,2.623082,5.962375,01
76,2,01-10,01-10,2,59,5.873284,2.502409,10
76,2,01-10,01-10,2,41,1.300553,7.573714,01
77,2,01-10,01-10,2,71,2.357819,6.633925,01
77,2,01-10,01-10,2,29,7.781375,1.274557,10
78,1,10,10,1,100,6.283614,1.057867,10
79,1,01,01-10,1,100,2.7484,6.568342,01
80,1,10,01-10,1,100,7.063507,1.036686,10
81,1,01,01-10,1,100,1.703684,4.871374,01
82,1,01,01,1,100,-0.96494,7.76111,01
83,1,10,01-10,1,100,6.647125,2.829453,10
84,1,01,01,1,100,2.225418,5.985411,01
85,1,01,01-10,1,100,1.126478,7.998771,01
