parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0010-0303,0010-0303,2,2,1
2,1010,1010,1,1,1
3,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
4,1000,0303-1000-1003,1,3,1
5,1010,0300-1010,1,2,1
6,0010,0010,1,1,1
7,1010,0303-1003-1010,1,3,1
8,1010,1010,1,1,1
9,0303-1010,0103-0300-0303-1003-1010,2,5,1
10,1010,1010,1,1,1
11,1010,0300-0302-1010-1012,1,4,1
12,1003-1010-1303,1010-1103-1303,3,3,0.6666666666666666
13,0010-0300,0010-0300,2,2,1
14,1010,1010,1,1,1
15,1010-1300,1010,2,1,0.5
16,0301-1011,0301-1011,2,2,1
17,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
18,0302-1010-1012,1002-1010,3,2,0.3333333333333333
19,0010,0010,1,1,1
20,0303-1010,0303-1003-1010,2,3,1
21,0303-1010-1013,0303-1010-1013,3,3,1
22,0301-0303-1011-1013,0301-0303-1003-1011,4,4,0.75
23,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
24,0010-0300,0010-0300,2,2,1
25,0303,0301-0303-1001,1,3,1
26,0303-1003,0303-1003-1010,2,3,1
27,0302-1012,0203-0303-1001-1003,2,4,0
28,0010,0010-0300,1,2,1
29,1010,0300-1010,1,2,1
30,0010-0300-0303,0010-0300-0303,3,3,1
31,1010,0303-1010-1013,1,3,1
32,0303,0303,1,1,1
33,0300-0302-1010-1012,0300-0302-1002-1010,4,4,0.75
34,0010-0300-0303,0010-0110-0300-0303,3,4,1
35,1010,0300-1010,1,2,1
36,0310-1010,0310-1010,2,2,1
37,0303-1013,0303-1010-1013,2,3,1
38,0303,0102-0103-0302-0303-1002-1003,1,6,1
39,1003-1303,1003,2,1,0.5
40,1010,1010,1,1,1
41,0303-1003-1011,0103-0300-0303-1003-1010,3,5,0.6666666666666666
42,0303,0010-0300-0303,1,3,1
43,0300-1000,0300-0303-1000-1003,2,4,1
44,0303-1013,0300-0303-1003-1010,2,4,0.5
45,0010,0010-0300-0303,1,3,1
46,0303-1010,0300-0303-1003-1010,2,4,1
47,0010,0010,1,1,1
48,1010-1013,1003-1010,2,2,0.5
49,0300-1010,0300-1010,2,2,1
50,0303-1010-1013,0203-0303-1003-1010,3,4,0.6666666666666666
51,0302-1010-1012,0300-0303-1003-1010,3,4,0.3333333333333333
52,0010,0010,1,1,1
53,1010,0300-1010,1,2,1
54,0303-1010-1013,0303-1003-1010,3,3,0.6666666666666666
55,0300-1010,0300-0303-1010,2,3,1
56,0303-1003-1010,0300-0303-1003-1010,3,4,1
57,0303-1013,0203-0303-1010-1013,2,4,1
58,1010,0300-0303-1003-1010,1,4,1
59,0300-0303-1000,0300-0303-1000-1003,3,4,1
60,1010,0302-1010-1012,1,3,1
61,0010,0010-0012-0300-0302,1,4,1
62,0303-1013,0303-1013,2,2,1
63,0303,0300-0303-1010,1,3,1
64,0303,0302-0303-1002-1003,1,4,1
65,0300-1010,0300-1010,2,2,1
66,0010-0013-0303,0003-0010-0303,3,3,0.6666666666666666
67,0010,0010-0303,1,2,1
68,1010,1010-1011,1,2,1
69,1010,1002-1010,1,2,1
70,0303,0200-0300-0303-1003-1010,1,5,1
71,0303,0300-0303-1003-1010,1,4,1
72,0303,0300-0303-1003-1010,1,4,1
73,0303-1010,0303-1010-1013,2,3,1
74,1010,1010,1,1,1
75,0303-1003-1010,0300-0303-1003-1010,3,4,1
76,1010,0303-1003-1010,1,3,1
77,0303-1013,0303-1010,2,2,0.5
78,1010,0203-0303-1003-1010,1,4,1
79,0303-1010-1013,0300-0303-1003-1010,3,4,0.6666666666666666
80,0303,0300-0303-1010,1,3,1
81,0010-0300,0010-0200-0300-0303,2,4,1
82,1010,1010,1,1,1
83,0303-1010-1013,0113-0300-0303-1010-1013,3,5,1
84,0010-0300-0303,0010-0300-0303,3,3,1
85,1010,1003-1010-1303,1,3,1
86,0302-1010-1012,0300-0302-1002-1010,3,4,0.6666666666666666
87,0300-0303-1010-1200,0300-0303-1010-1200,4,4,1
88,0303-1003,0303-1003-1010,2,3,1
89,0303-1003-1010,0303-1003-1010,3,3,1
90,0300-1010,0300-1010,2,2,1
91,0302-1002-1010,1002-1010,3,2,0.6666666666666666
