parIndex,Phase,DSGRNPhase,nStateRac,nStateDSGRN,Compare
1,0300-0303-1010,0300-0303-1010,3,3,1
2,0310-1010,0310-1010,2,2,1
3,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
4,0110-0300-0303-1010,0110-0300-0303-1010,4,4,1
5,0303-0310-1010-1013,0303-0310-1010-1013,4,4,1
6,1010,0303-1010-1013,1,3,1
7,0300-1010,0102-0210-0300-0302-1002-1010,2,6,1
8,0303,0303,1,1,1
9,0010-0303-0310,0010-0303-0310,3,3,1
10,0303-1010-1013-1103,0303-1010-1013-1103,4,4,1
11,0303-0310-1010-1013-1103,0303-0310-1010-1013-1103-1210,5,6,1
12,0301-0303-1011-1101-1103,-1,5,2,0
13,0303-0311-1003-1011,0303-0311-1003-1011,4,4,1
14,0113-0303-1010-1013,0113-0303-1010-1013,4,4,1
15,0303-1010-1013,0303-1010-1013,3,3,1
16,0300-0302-1010-1012-1102,0300-0302-1010-1012-1102,5,5,1
17,0010-0011,0010-0011,2,2,1
18,1003-1010-1303,1003-1010-1303,3,3,1
19,0303-1010-1013,0303-1010-1013,3,3,1
20,0301-0303-1101,0301-0303-1101,3,3,1
21,0300-1010,0300-1010,2,2,1
22,1010,1010,1,1,1
23,0300-0303-1010,0300-0303-1010,3,3,1
24,1010,1010,1,1,1
25,1010,1010,1,1,1
26,0303-0310-1010,-1,3,2,0
27,0303-0310-1010-1013,0303-1010-1013-1113,4,4,0.75
28,0010-0100-0300-0303,0010-0100-0300-0303,4,4,1
29,0303-1010-1013,0303-1010-1013,3,3,1
30,0301-0303-1011,0301-0303-1011-1111,3,4,1
31,0300-0303-1010,0300-0303-1010,3,3,1
32,1013-1313,1013-1313,2,2,1
33,0300-1010,0300-1010,2,2,1
34,0300-1010,0300-1010,2,2,1
35,0300-0303-1010,0300-0303-1010-1100,3,4,1
36,0310-1010,0310-1010,2,2,1
37,0303,0301-0303,1,2,1
38,0300-0303-1010,0300-0303-1010,3,3,1
39,0300-0303-1010-1103,0300-0303-1010-1103,4,4,1
40,0303-0310-1010,0303-0310-1010-1110,3,4,1
41,0303-1010-1013,0303-1010-1013-1103,3,4,1
42,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
43,0213-0303-1010-1013,0213-0303-1010-1013,4,4,1
44,0113-0303-1013,0113-0303-1013,3,3,1
45,0300-0303-1010,0300-0303-1010,3,3,1
46,0303-1003,0301-0303-1003-1011,2,4,1
47,1003-1010-1303,1003-1010-1303,3,3,1
48,0303-1003-1010,0303-1003-1010,3,3,1
49,0300-1010,0300-1010,2,2,1
50,0303-1010-1013,0303-1010-1013,3,3,1
51,0303-1010-1013,0303-1010-1013-1113,3,4,1
52,0300-0302-1010-1012,0300-0302-1010-1012,4,4,1
53,0303,0303,1,1,1
54,0303-0310-1010,0303-0310-1010,3,3,1
55,1010-1013-1203-1303,1010-1013-1203-1303,4,4,1
56,0303-1010-1013,0303-1010-1013,3,3,1
57,0303-1013,0300-0303-1010-1013-1200,2,5,1
58,1010-1013-1213-1303,1010-1013,4,2,0.5
59,0303-1010-1013,0303-1010-1013,3,3,1
60,0310-1010,-1,2,2,0
61,1010-1013-1303,1010-1013-1303,3,3,1
62,0300-0303-1010-1103,0300-0303-1010,4,3,0.75
63,0300-0303-1010-1013-1103,0300-0303-1010-1013-1103,5,5,1
64,0300-0302-1010,0300-0302-1010,3,3,1
65,1010,1010,1,1,1
66,1010-1011,1010-1011,2,2,1
67,0303-0310-1010,0303-0310-1010,3,3,1
68,0303-1013,0303-1013,2,2,1
69,0303-1010-1013,0303-1010-1013,3,3,1
70,0300-0303-1010,0300-0303-1010,3,3,1
71,0010-0012-0302,0010-0012-0110-0112-0302,3,5,1
72,0300-0303-1010,0300-0303-1010,3,3,1
73,1010,1010,1,1,1
74,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
75,0301-0303-1001-1003,0301-0303-1001-1003,4,4,1
76,1010-1303,1010-1303,2,2,1
77,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
78,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
79,0300-0303-1010,0300-0303-1010,3,3,1
80,0310-0313-1010-1013,0310-0313-1010-1013,4,4,1
81,0211-0301-0303-1011-1013,0211-0301-0303-1011-1013,5,5,1
82,0300-0303-1010,0300-0303-1010,3,3,1
83,0300-0303-1010,0300-0303-1010,3,3,1
84,1001-1201-1303,1001-1201-1303,3,3,1
85,0300-1010,0300-1010-1110,2,3,1
86,0300-0303-1010-1013,0300-0303-1010-1013,4,4,1
87,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
88,0300-0303-1010,0300-0303-1010-1103,3,4,1
89,1010-1013-1303,1010-1013-1303,3,3,1
90,1010-1013-1303,1010-1013-1303,3,3,1
91,0301-0303-1011-1013,0301-0303-1011-1013,4,4,1
92,0301-0303-1011,0301-0303-1011,3,3,1
93,0300-0303-1003-1010,0300-0303-1003-1010,4,4,1
94,0303-0311-1011-1013,0303-0311-1011-1013,4,4,1
95,1010-1013-1303,1010-1013-1303,3,3,1
96,0303-1013,0303-1013,2,2,1
97,0300-0303-1010,0300-0303-1010,3,3,1
98,0211-1010-1011,1010-1011,3,2,0.6666666666666666
99,0300-0303-1010,0300-0303-1010,3,3,1
100,0303,0303,1,1,1
101,0310-0312-1010-1012-1210-1212,0310-0312-1010-1012-1210-1212,6,6,1
102,1010-1013-1303,1010-1013-1303,3,3,1
103,1010-1013-1303,1010-1013-1113-1303,3,4,1
