parIndex,nStates,Phase,State,DSGRNPhase,nStatesRAC,basin,A,B,C,basinDiscret
1,2,012-200,012,012-200,2,0.01,1.269942,0.697526,5.21207,0.01
1,2,012-200,200,012-200,2,0.99,7.633703,-0.720026,-1.275233,0.99
2,1,022,022,022,1,1,-8.253102,2.438151,3.822978,1
3,2,120-200,120,120-200,2,0.29,0.42926,5.183825,-10.468961,0.29
3,2,120-200,200,120-200,2,0.71,5.088737,-0.293358,-4.421849,0.71
4,3,021-120-202,202,021-120-202,3,0.39,3.731852,-2.302296,1.309388,0.39
4,3,021-120-202,120,021-120-202,3,0.28,1.614899,6.980626,-4.952094,0.28
4,3,021-120-202,021,021-120-202,3,0.33,-1.124467,6.981389,0.037288,0.33
5,1,012,012,012,1,1,-0.536177,1.454978,0.278108,1
6,2,120-202,202,120-202,2,0.91,4.3445,-5.70736,1.829935,0.91
6,2,120-202,120,120-202,2,0.09,0.580888,6.714585,-0.877484,0.09
7,2,120-220,120,120,2,0.41,0.419099,6.342522,-4.179341,0.41
7,2,120-220,220,120,2,0.59,5.359794,0.358964,-4.179343,0.59
8,2,020-202,202,020-202,2,0.67,2.285296,-3.873559,3.586963,0.67
8,2,020-202,020,020-202,2,0.33,1.031472,6.315348,1.102087,0.33
9,2,102-200,200,102-200,2,0.32,6.685287,0.221955,0.586122,0.32
9,2,102-200,102,102-200,2,0.68,1.800102,-3.726112,6.45544,0.68
10,2,021-210,210,021-210,2,0.71,5.465388,0.765483,-4.79009,0.71
10,2,021-210,021,021-210,2,0.29,0.371444,6.647555,0.690324,0.29
11,2,012-200,200,012-200,2,0.57,3.841406,-0.042192,0.659382,0.57
11,2,012-200,012,012-200,2,0.43,-3.234204,1.063547,6.919494,0.43
12,1,022,022,022,1,1,-3.856412,3.496397,3.43487,1
13,2,002-201,002,002-201,2,0.96,-3.111585,0.814922,5.311318,0.96
13,2,002-201,201,002-201,2,0.04,1.980874,-2.99524,0.088267,0.04
14,3,002-020-200,002,002-020-200,3,0.05,1.167797,-1.32776,2.885338,0.05
14,3,002-020-200,020,002-020-200,3,0.19,0.378602,5.294293,-2.335596,0.19
14,3,002-020-200,200,002-020-200,3,0.76,6.882533,-0.689216,-3.255664,0.76
15,3,012-020-200,200,012-020-200,3,0.16,6.065002,0.066279,-0.171844,0.16
15,3,012-020-200,020,012-020-200,3,0.56,0.577007,6.477893,-0.492792,0.56
15,3,012-020-200,012,012-020-200,3,0.28,-5.455545,1.117133,5.853597,0.28
16,2,020-200,200,020-200,2,0.16,4.272956,0.56355,-2.635262,0.16
16,2,020-200,020,020-200,2,0.84,-1.206444,6.203903,-2.236708,0.84
17,2,020-210,020,020-210,2,0.88,-1.001041,6.600986,-0.628901,0.88
17,2,020-210,210,020-210,2,0.12,5.232405,0.47636,-6.328294,0.12
18,1,200,200,200,1,1,8.036363,-0.779726,-3.798362,1
19,2,012-210,012,012-210,2,0.4,-1.032777,1.61618,2.495328,0.4
19,2,012-210,210,012-210,2,0.6,5.433605,0.527753,-3.437297,0.6
20,3,102-120-211,102,102-120-201,3,0.04,0.724716,-3.778168,4.383828,0.04
20,3,102-120-211,120,102-120-201,3,0.9,0.665358,1.665487,-1.320296,0.9
20,3,102-120-211,211,102-120-201,3,0.06,4.955972,-1.606232,1.111718,0.06
