Phase,Count,Frequency
0002,7,7e-4
0002-0202-2020,1,1e-4
0002-2001-2020,1,1e-4
0002-2011,1,1e-4
0002-2020,23,0.0023
0002-2021,1,1e-4
0012,3,3e-4
0012-0020-0202,2,2e-4
0012-0021-0202,1,1e-4
0012-0021-0202-2020,4,4e-4
0012-0022-0202-2020,2,2e-4
0012-0202,6,6e-4
0012-0202-1021,1,1e-4
0012-0202-2011-2020,3,3e-4
0012-0202-2020,75,0.0075
0012-0202-2021,1,1e-4
0012-0212-2020,3,3e-4
0012-2012-2020,1,1e-4
0012-2020,21,0.0021
0020,3,3e-4
0020-0202,38,0.0038
0020-0202-0210,2,2e-4
0020-0202-2020,1,1e-4
0021,1,1e-4
0021-0022-0202,1,1e-4
0021-0202,19,0.0019
0021-0202-0211,1,1e-4
0021-0202-0211-2020,2,2e-4
0021-0202-2020,84,0.0084
0021-0202-2021,1,1e-4
0021-0212-2020,1,1e-4
0021-2020,6,6e-4
0022,4,4e-4
0022-0102,2,2e-4
0022-0102-2020,1,1e-4
0022-0112-0202-2020,2,2e-4
0022-0202,19,0.0019
0022-0202-2020,74,0.0074
0022-0212,1,1e-4
0022-0212-2020,6,6e-4
0022-0212-2021,1,1e-4
0022-0222,1,1e-4
0022-0222-2020,1,1e-4
0022-2020,16,0.0016
0022-2021,2,2e-4
0102,4,4e-4
0102-0121-2020,1,1e-4
0102-1002-2020,1,1e-4
0102-1020,1,1e-4
0102-2001-2020,2,2e-4
0102-2002-2020,1,1e-4
0102-2020,46,0.0046
0102-2021,1,1e-4
0102-2120,1,1e-4
0112,1,1e-4
0112-0120-0202,1,1e-4
0112-0120-0202-1012-2020,1,1e-4
0112-0120-0202-2020,3,3e-4
0112-0121-0202-2020,3,3e-4
0112-0122-0202-2020,1,1e-4
0112-0122-2020,1,1e-4
0112-0202,2,2e-4
0112-0202-1012-2020,1,1e-4
0112-0202-1120-2020,1,1e-4
0112-0202-2012-2020,1,1e-4
0112-0202-2020,21,0.0021
0112-0202-2021,1,1e-4
0112-0202-2120,1,1e-4
0112-1012-2020,1,1e-4
0112-1020,1,1e-4
0112-2020,8,8e-4
0120,1,1e-4
0120-0122-0202,1,1e-4
0120-0122-0202-2020,1,1e-4
0120-0122-0212-2020,1,1e-4
0120-0201-0220,1,1e-4
0120-0201-2020,2,2e-4
0120-0202,23,0.0023
0120-0202-0210,2,2e-4
0120-0202-0210-2020,6,6e-4
0120-0202-0220-2020,1,1e-4
0120-0202-1020,2,2e-4
0120-0202-1120-2020,1,1e-4
0120-0202-2020,78,0.0078
0120-0202-2120,1,1e-4
0120-0210-2020,1,1e-4
0120-0210-2120,1,1e-4
0120-0220-2020,1,1e-4
0120-2020,5,5e-4
0121,1,1e-4
0121-0201-2021,1,1e-4
0121-0202,9,9e-4
0121-0202-0211,1,1e-4
0121-0202-1012-1021-2020,1,1e-4
0121-0202-1021-2020,1,1e-4
0121-0202-1120-2020,1,1e-4
0121-0202-2020,48,0.0048
0121-0202-2120,1,1e-4
0121-0212-2020,2,2e-4
0121-2020,2,2e-4
0122,1,1e-4
0122-0202,10,0.001
0122-0202-1020,1,1e-4
0122-0202-1022-2020,2,2e-4
0122-0202-1120-2020,1,1e-4
0122-0202-1121-2020,1,1e-4
