72.730,0.023,68.078,0.001	1.398,0.444,0.909,8.758	0.024,16.624,0.081,8.758
24.423,0.002,97.299,0.040	0.003,9.511,0.030,29.922	0.256,0.198,1.014,29.922
30.103,0.118,153.630,0.013	0.769,2.378,153.630,0.013	0.009,193.304,0.222,33.945
1.692,126.208,0.289,0.637	9.865,0.028,25.827,0.008	1.692,2.643,25.827,0.008	0.024,126.208,0.005,26.287
56.661,0.293,96.362,0.009	56.661,2.576,0.043,0.845	0.025,51.340,0.043,48.068
0.071,29.182,0.001,69.768
218.686,0.724,62.306,1.173	2.270,3.082,3.655,1.173	0.023,84.166,0.055,57.205
0.973,95.401,2.906,0.457	93.883,0.056,234.868,0.007	0.010,95.401,0.135,19.243
134.109,0.044,6.719,0.015	134.109,0.433,0.134,1.463	2.478,17.309,0.001,1.463	0.034,17.309,0.001,34.044
21.909,0.024,1.754,1.629
43.801,0.002,251.368,0.233	0.037,11.314,0.467,159.717	0.556,0.164,6.414,22.020
2.784,0.879,14.455,0.043	0.067,155.463,1.931,121.402
0.751,13.159,0.062,0.268	44.969,0.002,5.050,0.007	0.016,13.159,0.001,17.154
42.222,0.156,148.503,0.004
59.417,0.035,124.666,0.036	0.020,126.581,0.123,112.037
16.500,0.211,12.332,0.003	0.065,48.088,0.016,16.065
5.533,0.498,2.635,1.841	0.001,120.996,0.055,280.877
17.236,0.012,42.811,0.023	1.544,1.163,1.327,35.858	0.018,87.081,0.013,35.858
0.012,65.633,0.063,224.228	1.134,0.128,1.463,52.715
0.235,186.075,0.022,8.629
47.141,0.065,15.514,0.019	0.016,137.861,0.200,62.059
12.237,0.066,101.558,0.092	0.005,81.101,0.017,151.105
0.114,155.455,0.081,151.976
124.666,0.282,57.412,0.028	1.806,4.810,0.265,0.412	0.056,112.037,0.265,39.317
-1
2.259,122.943,0.264,0.551	33.556,0.131,21.328,0.015	0.201,122.943,0.008,46.328
2.018,85.426,2.974,0.002	170.370,0.019,289.709,0.002	0.142,85.426,0.078,3.829
92.904,0.010,139.406,0.009	0.025,32.981,0.140,23.494
135.921,0.018,247.077,0.046	0.032,64.492,0.070,14.492
112.576,0.008,219.442,0.033	112.576,0.463,0.027,1.776	0.673,35.650,0.027,109.356
65.494,0.399,39.012,0.001	3.343,17.667,1.625,0.001
166.494,0.034,17.726,0.508	0.029,248.861,0.008,85.561
114.521,0.047,88.971,0.049	0.022,83.435,0.074,211.551
147.068,0.112,437.362,0.002	1.542,4.847,4.455,0.183	0.028,108.488,0.131,15.646
204.482,0.056,16.799,0.093	0.021,212.603,0.006,136.208
6.644,0.013,26.149,0.012	0.003,75.019,0.024,41.103
215.769,0.008,90.234,0.035	0.094,55.390,0.027,158.614
61.605,0.199,220.352,0.104	0.759,11.470,17.686,0.677
0.004,202.479,0.015,364.856
0.001,154.814,0.152,65.145
55.056,0.331,142.480,0.067
341.616,0.041,266.656,0.002	0.204,120.967,0.086,18.598
96.594,0.039,596.412,0.024	0.160,1.666,32.801,1.679	0.160,66.839,0.350,133.018
82.078,0.254,0.476,1.422	82.078,0.004,11.254,0.031	0.009,18.578,0.013,46.705
60.691,0.383,282.986,0.028	0.062,874.363,0.420,105.181
13.893,0.006,5.235,0.020	0.002,18.479,0.021,40.702
18.034,6.676,0.045,1.727	0.194,90.244,0.045,92.118
9.380,0.004,56.941,0.094	9.380,0.407,0.653,3.121	0.012,24.241,0.015,82.749
31.954,0.190,277.114,0.012	0.405,1.885,14.525,1.099	0.005,118.043,0.189,46.259
52.302,0.051,17.236,0.084	0.013,177.172,0.124,84.859	1.343,0.051,2.056,84.859
100.764,0.001,562.902,0.430	0.070,2.466,0.091,56.203	1.484,0.001,7.899,5.418
11.675,0.023,143.920,0.023	0.144,62.796,0.137,1.432
228.870,0.022,120.750,0.020	0.047,127.510,0.887,114.490
345.862,0.001,64.539,0.303	0.123,4.897,0.063,131.588	3.733,0.001,1.184,131.588
102.708,0.050,5.332,0.013	0.134,58.164,0.007,19.164
